0,1,2
Bus_No,Bus_Location,Date
138-1,구평e편한세상입구,2020/06/02 14:42:03
138-1,사하경찰서,2020/06/02 14:42:03
138-1,가락타운115동,2020/06/02 14:42:03
138-1,동원아파트앞,2020/06/02 14:42:03
138-1,개금주공아파트,2020/06/02 14:42:03
138-1,국제금융센터(부산은행역),2020/06/02 14:42:03
138-1,한신문화타운,2020/06/02 14:42:03
138-1,동명대학교후문,2020/06/02 14:42:03
138-1,경남공고(전포역),2020/06/02 14:42:03
138-1,당감1치안센터,2020/06/02 14:42:03
138-1,주례1동주민센터,2020/06/02 14:42:03
138-1,감전동이마트,2020/06/02 14:42:03
138-1,신평시장,2020/06/02 14:42:03
