0,1,2
Bus_No,Bus_Location,Date
138-1,사하경찰서,2020/06/04_17:00:26
138-1,엄궁동주민센터,2020/06/04_17:00:26
138-1,괘법르네시떼역.르네시떼,2020/06/04_17:00:26
138-1,럭키아파트(주례역),2020/06/04_17:00:26
138-1,진양교차로,2020/06/04_17:00:26
138-1,성동초등학교후문,2020/06/04_17:00:26
138-1,한신문화타운,2020/06/04_17:00:26
138-1,한신문화타운,2020/06/04_17:00:26
138-1,문전교차로,2020/06/04_17:00:26
138-1,당감3동우체국,2020/06/04_17:00:26
138-1,괘법르네시떼역.르네시떼,2020/06/04_17:00:26
138-1,"가락타운2,3단지",2020/06/04_17:00:26
138-1,장림,2020/06/04_17:00:26
138-1,사하경찰서,2020/06/04_17:00:46
138-1,엄궁동주민센터,2020/06/04_17:00:46
138-1,괘법르네시떼역.르네시떼,2020/06/04_17:00:46
138-1,럭키아파트(주례역),2020/06/04_17:00:46
138-1,부암역.당감입구,2020/06/04_17:00:46
138-1,성동초등학교후문,2020/06/04_17:00:46
138-1,한신문화타운,2020/06/04_17:00:46
138-1,한신문화타운,2020/06/04_17:00:46
138-1,문전교차로,2020/06/04_17:00:46
138-1,당감3동우체국,2020/06/04_17:00:46
138-1,괘법르네시떼역.르네시떼,2020/06/04_17:00:46
138-1,"가락타운2,3단지",2020/06/04_17:00:46
138-1,장림,2020/06/04_17:00:46
138-1,사하경찰서,2020/06/04_17:01:05
138-1,엄궁삼거리,2020/06/04_17:01:05
138-1,괘법르네시떼역.르네시떼,2020/06/04_17:01:05
138-1,럭키아파트(주례역),2020/06/04_17:01:05
138-1,부암역.당감입구,2020/06/04_17:01:05
138-1,성동초등학교후문,2020/06/04_17:01:05
138-1,한신문화타운,2020/06/04_17:01:05
138-1,한신문화타운,2020/06/04_17:01:05
138-1,문전교차로,2020/06/04_17:01:05
138-1,당감3동우체국,2020/06/04_17:01:05
138-1,괘법르네시떼역.르네시떼,2020/06/04_17:01:05
138-1,"가락타운2,3단지",2020/06/04_17:01:05
138-1,장림,2020/06/04_17:01:05
138-1,기점,2020/06/04_17:01:25
138-1,신평시장,2020/06/04_17:01:25
138-1,엄궁삼거리,2020/06/04_17:01:25
138-1,동원아파트앞,2020/06/04_17:01:25
138-1,럭키아파트(주례역),2020/06/04_17:01:25
138-1,부암역.당감입구,2020/06/04_17:01:25
138-1,성동초등학교후문,2020/06/04_17:01:25
138-1,유엔공원.부산문화회관,2020/06/04_17:01:25
138-1,동명대학교후문,2020/06/04_17:01:25
138-1,문전교차로,2020/06/04_17:01:25
138-1,당감3동우체국,2020/06/04_17:01:25
138-1,괘법르네시떼역.르네시떼,2020/06/04_17:01:25
138-1,"가락타운2,3단지",2020/06/04_17:01:25
138-1,장림,2020/06/04_17:01:25
138-1,기점,2020/06/04_17:01:44
138-1,신평시장,2020/06/04_17:01:44
138-1,엄궁삼거리,2020/06/04_17:01:44
138-1,동원아파트앞,2020/06/04_17:01:44
138-1,럭키아파트(주례역),2020/06/04_17:01:44
138-1,부암역.당감입구,2020/06/04_17:01:44
138-1,성동초등학교후문,2020/06/04_17:01:44
138-1,동명대학교후문,2020/06/04_17:01:44
138-1,석포여중,2020/06/04_17:01:44
138-1,문전교차로,2020/06/04_17:01:44
138-1,당감3동우체국,2020/06/04_17:01:44
138-1,괘법르네시떼역.르네시떼,2020/06/04_17:01:44
138-1,하남초등학교,2020/06/04_17:01:44
138-1,장림,2020/06/04_17:01:44
138-1,기점,2020/06/04_17:02:04
138-1,동매역,2020/06/04_17:02:04
138-1,엄궁삼거리,2020/06/04_17:02:04
138-1,동원아파트앞,2020/06/04_17:02:04
138-1,삼락생태공원,2020/06/04_17:02:04
138-1,부암역.당감입구,2020/06/04_17:02:04
138-1,성동초등학교후문,2020/06/04_17:02:04
138-1,부경대용당캠퍼스,2020/06/04_17:02:04
138-1,석포여중,2020/06/04_17:02:04
138-1,문전교차로,2020/06/04_17:02:04
138-1,개금주공아파트,2020/06/04_17:02:04
138-1,괘법르네시떼역.르네시떼,2020/06/04_17:02:04
138-1,하남초등학교,2020/06/04_17:02:04
138-1,장림,2020/06/04_17:02:04
138-1,기점,2020/06/04_17:02:23
138-1,동매역,2020/06/04_17:02:23
138-1,엄궁삼거리,2020/06/04_17:02:23
138-1,동원아파트앞,2020/06/04_17:02:23
138-1,삼락생태공원,2020/06/04_17:02:23
138-1,부암역.당감입구,2020/06/04_17:02:23
138-1,7부두,2020/06/04_17:02:23
138-1,용당동,2020/06/04_17:02:23
138-1,석포여중,2020/06/04_17:02:23
138-1,문전교차로,2020/06/04_17:02:23
138-1,개금주공아파트,2020/06/04_17:02:23
138-1,괘법르네시떼역.르네시떼,2020/06/04_17:02:23
138-1,하남초등학교,2020/06/04_17:02:23
138-1,장림,2020/06/04_17:02:23
138-1,기점,2020/06/04_17:02:42
138-1,동매역,2020/06/04_17:02:42
138-1,엄궁삼거리,2020/06/04_17:02:42
138-1,동원아파트앞,2020/06/04_17:02:42
138-1,좋은삼선병원,2020/06/04_17:02:42
138-1,부암역.당감입구,2020/06/04_17:02:42
138-1,7부두,2020/06/04_17:02:42
138-1,용당동,2020/06/04_17:02:42
138-1,유엔공원.부산문화회관,2020/06/04_17:02:42
138-1,문전교차로,2020/06/04_17:02:42
138-1,개포초등학교,2020/06/04_17:02:42
138-1,괘법르네시떼역.르네시떼,2020/06/04_17:02:42
138-1,신남초등학교,2020/06/04_17:02:42
138-1,장림,2020/06/04_17:02:42
138-1,기점,2020/06/04_17:03:02
138-1,동매역,2020/06/04_17:03:02
138-1,동성화학,2020/06/04_17:03:02
138-1,삼락생태공원,2020/06/04_17:03:02
138-1,좋은삼선병원,2020/06/04_17:03:02
138-1,롯데호텔백화점(서면역),2020/06/04_17:03:02
138-1,7부두,2020/06/04_17:03:02
138-1,신선대CNG충전소,2020/06/04_17:03:02
138-1,유엔공원.부산문화회관,2020/06/04_17:03:02
138-1,문전교차로,2020/06/04_17:03:02
138-1,개포초등학교,2020/06/04_17:03:02
138-1,감전동수문앞,2020/06/04_17:03:02
138-1,신남초등학교,2020/06/04_17:03:02
138-1,대동중고등학교,2020/06/04_17:03:02
138-1,기점,2020/06/04_17:03:21
138-1,동매역,2020/06/04_17:03:21
138-1,동성화학,2020/06/04_17:03:21
138-1,삼락생태공원,2020/06/04_17:03:21
138-1,좋은삼선병원,2020/06/04_17:03:21
138-1,롯데호텔백화점(서면역),2020/06/04_17:03:21
138-1,7부두,2020/06/04_17:03:21
138-1,신선대CNG충전소,2020/06/04_17:03:21
138-1,유엔공원.부산문화회관,2020/06/04_17:03:21
138-1,문전교차로,2020/06/04_17:03:21
138-1,개포초등학교,2020/06/04_17:03:21
138-1,감전동수문앞,2020/06/04_17:03:21
138-1,신남초등학교,2020/06/04_17:03:21
138-1,대동중고등학교,2020/06/04_17:03:21
138-1,기점,2020/06/04_17:03:41
138-1,동매역,2020/06/04_17:03:41
138-1,동성화학,2020/06/04_17:03:41
138-1,삼락생태공원,2020/06/04_17:03:41
138-1,좋은삼선병원,2020/06/04_17:03:41
138-1,롯데호텔백화점(서면역),2020/06/04_17:03:41
138-1,남부중앙새마을금고,2020/06/04_17:03:41
138-1,신선대CNG충전소,2020/06/04_17:03:41
138-1,시립박물관.부산문화회관,2020/06/04_17:03:41
138-1,문전교차로,2020/06/04_17:03:41
138-1,개포초등학교,2020/06/04_17:03:41
138-1,감전동수문앞,2020/06/04_17:03:41
138-1,신남초등학교,2020/06/04_17:03:41
138-1,대동중고등학교,2020/06/04_17:03:41
138-1,기점,2020/06/04_17:04:00
138-1,동매역,2020/06/04_17:04:00
138-1,엄궁정비,2020/06/04_17:04:00
138-1,한신아파트 2차,2020/06/04_17:04:00
138-1,좋은삼선병원,2020/06/04_17:04:00
138-1,롯데호텔백화점(서면역),2020/06/04_17:04:00
138-1,남부중앙새마을금고,2020/06/04_17:04:00
138-1,신선대CNG충전소,2020/06/04_17:04:00
138-1,시립박물관.부산문화회관,2020/06/04_17:04:00
138-1,경남공고(전포역),2020/06/04_17:04:00
138-1,개포초등학교,2020/06/04_17:04:00
138-1,감전동수문앞,2020/06/04_17:04:00
138-1,신남초등학교,2020/06/04_17:04:00
138-1,대동중고등학교,2020/06/04_17:04:00
138-1,기점,2020/06/04_17:04:20
138-1,동매역,2020/06/04_17:04:20
138-1,엄궁정비,2020/06/04_17:04:20
138-1,한신아파트 2차,2020/06/04_17:04:20
138-1,좋은삼선병원,2020/06/04_17:04:20
138-1,롯데호텔백화점(서면역),2020/06/04_17:04:20
138-1,남부중앙새마을금고,2020/06/04_17:04:20
138-1,신선대CNG충전소,2020/06/04_17:04:20
138-1,시립박물관.부산문화회관,2020/06/04_17:04:20
138-1,경남공고(전포역),2020/06/04_17:04:20
