0,1,2
Bus_No,Bus_Location,Date
40,송정2휴먼시아,2020/06/07_17:00:13
40,동신아파트,2020/06/07_17:00:13
40,수영구보건소,2020/06/07_17:00:13
40,운촌,2020/06/07_17:00:13
40,대남교차로(남천역),2020/06/07_17:00:13
40,YMCA,2020/06/07_17:00:13
40,영락교회,2020/06/07_17:00:13
40,대신중학교,2020/06/07_17:00:13
40,대신중학교,2020/06/07_17:00:13
40,중앙동(중앙역),2020/06/07_17:00:13
40,부산진역,2020/06/07_17:00:13
40,못골시장,2020/06/07_17:00:13
40,광안2동우편취급국,2020/06/07_17:00:13
40,센텀시티역 벡스코,2020/06/07_17:00:13
40,해운대구청어귀삼거리,2020/06/07_17:00:13
40,양운초등학교,2020/06/07_17:00:13
40,대우2차아파트,2020/06/07_17:00:13
40,송정2휴먼시아,2020/06/07_17:00:32
40,동부아파트,2020/06/07_17:00:32
40,수영구보건소,2020/06/07_17:00:32
40,동백역,2020/06/07_17:00:32
40,경성대 부경대역,2020/06/07_17:00:32
40,YMCA,2020/06/07_17:00:32
40,동아대부민캠퍼스,2020/06/07_17:00:32
40,대신중학교,2020/06/07_17:00:32
40,구덕운동장,2020/06/07_17:00:32
40,중앙동(중앙역),2020/06/07_17:00:32
40,부산진역,2020/06/07_17:00:32
40,못골시장,2020/06/07_17:00:32
40,광안2동우편취급국,2020/06/07_17:00:32
40,센텀시티역 벡스코,2020/06/07_17:00:32
40,해운대구청어귀삼거리,2020/06/07_17:00:32
40,대림3차아파트,2020/06/07_17:00:32
40,대우2차아파트,2020/06/07_17:00:32
40,송정2휴먼시아,2020/06/07_17:00:52
40,동부아파트,2020/06/07_17:00:52
40,수영구보건소,2020/06/07_17:00:52
40,동백역,2020/06/07_17:00:52
40,경성대 부경대역,2020/06/07_17:00:52
40,YMCA,2020/06/07_17:00:52
40,동아대부민캠퍼스,2020/06/07_17:00:52
40,대신중학교,2020/06/07_17:00:52
40,구덕운동장,2020/06/07_17:00:52
40,영주동,2020/06/07_17:00:52
40,부산진역,2020/06/07_17:00:52
40,대연동제일은행,2020/06/07_17:00:52
40,광안2동우편취급국,2020/06/07_17:00:52
40,센텀시티역 벡스코,2020/06/07_17:00:52
40,해운대구청어귀삼거리,2020/06/07_17:00:52
40,대림3차아파트,2020/06/07_17:00:52
40,대우2차아파트,2020/06/07_17:00:52
40,동해선 송정역,2020/06/07_17:01:11
40,동부아파트,2020/06/07_17:01:11
40,수영구보건소,2020/06/07_17:01:11
40,동백역,2020/06/07_17:01:11
40,경성대 부경대역,2020/06/07_17:01:11
40,YMCA,2020/06/07_17:01:11
40,동아대부민캠퍼스,2020/06/07_17:01:11
40,대신중학교,2020/06/07_17:01:11
40,구덕운동장,2020/06/07_17:01:11
40,영주동,2020/06/07_17:01:11
40,부산진역,2020/06/07_17:01:11
40,대연동제일은행,2020/06/07_17:01:11
40,수영중학교,2020/06/07_17:01:11
40,올림픽교차로 환승센터,2020/06/07_17:01:11
40,해운대구청어귀삼거리,2020/06/07_17:01:11
40,대림1차아파트,2020/06/07_17:01:11
40,대우2차아파트,2020/06/07_17:01:11
40,동해선 송정역,2020/06/07_17:01:30
40,대동상가,2020/06/07_17:01:30
40,수영구보건소,2020/06/07_17:01:30
40,동백역,2020/06/07_17:01:30
40,경성대 부경대역,2020/06/07_17:01:30
40,YMCA,2020/06/07_17:01:30
40,동아대부민캠퍼스,2020/06/07_17:01:30
40,대신중학교,2020/06/07_17:01:30
40,부경고교,2020/06/07_17:01:30
40,영주동,2020/06/07_17:01:30
40,부산진역,2020/06/07_17:01:30
40,대연동제일은행,2020/06/07_17:01:30
40,수영중학교,2020/06/07_17:01:30
40,올림픽교차로 환승센터,2020/06/07_17:01:30
40,해운대구청어귀삼거리,2020/06/07_17:01:30
40,대림1차아파트,2020/06/07_17:01:30
40,대우2차아파트,2020/06/07_17:01:30
40,동해선 송정역,2020/06/07_17:01:50
40,대동상가,2020/06/07_17:01:50
40,수영구보건소,2020/06/07_17:01:50
40,동백역,2020/06/07_17:01:50
40,경성대 부경대역,2020/06/07_17:01:50
40,YMCA,2020/06/07_17:01:50
40,서부교회,2020/06/07_17:01:50
40,대신중학교,2020/06/07_17:01:50
40,서대신역.서부경찰서,2020/06/07_17:01:50
40,영주동,2020/06/07_17:01:50
40,부산진역,2020/06/07_17:01:50
40,대연동제일은행,2020/06/07_17:01:50
40,수영중학교,2020/06/07_17:01:50
40,올림픽교차로 환승센터,2020/06/07_17:01:50
40,건널목삼거리,2020/06/07_17:01:50
40,대림1차아파트,2020/06/07_17:01:50
40,대우2차아파트,2020/06/07_17:01:50
40,동해선 송정역,2020/06/07_17:02:09
40,대림1차아파트,2020/06/07_17:02:09
40,신동아아파트,2020/06/07_17:02:09
40,동백역,2020/06/07_17:02:09
40,경성대 부경대역,2020/06/07_17:02:09
40,초량역,2020/06/07_17:02:09
40,서부교회,2020/06/07_17:02:09
40,대신중학교,2020/06/07_17:02:09
40,서대신역.서부경찰서,2020/06/07_17:02:09
40,영주동,2020/06/07_17:02:09
40,부산진시장,2020/06/07_17:02:09
40,대연동제일은행,2020/06/07_17:02:09
40,수영중학교,2020/06/07_17:02:09
40,올림픽교차로 환승센터,2020/06/07_17:02:09
40,건널목삼거리,2020/06/07_17:02:09
40,대동상가,2020/06/07_17:02:09
40,대우2차아파트,2020/06/07_17:02:09
40,동해선 송정역,2020/06/07_17:02:29
40,대림1차아파트,2020/06/07_17:02:29
40,신동아아파트,2020/06/07_17:02:29
40,동백역,2020/06/07_17:02:29
40,경성대 부경대역,2020/06/07_17:02:29
40,부산역,2020/06/07_17:02:29
40,서부교회,2020/06/07_17:02:29
40,대신중학교,2020/06/07_17:02:29
40,서대신역.서부경찰서,2020/06/07_17:02:29
40,영주동,2020/06/07_17:02:29
40,부산진시장,2020/06/07_17:02:29
40,대연동제일은행,2020/06/07_17:02:29
40,수영중학교,2020/06/07_17:02:29
40,올림픽교차로,2020/06/07_17:02:29
40,건널목삼거리,2020/06/07_17:02:29
40,대동상가,2020/06/07_17:02:29
40,대우2차아파트,2020/06/07_17:02:29
40,동해선 송정역,2020/06/07_17:02:48
40,대림1차아파트,2020/06/07_17:02:48
40,동백역,2020/06/07_17:02:48
40,광안역,2020/06/07_17:02:48
40,경성대학교,2020/06/07_17:02:48
40,부산역,2020/06/07_17:02:48
40,서부교회,2020/06/07_17:02:48
40,대신중학교,2020/06/07_17:02:48
40,서대신역.서부경찰서,2020/06/07_17:02:48
40,영주동,2020/06/07_17:02:48
40,부산진시장,2020/06/07_17:02:48
40,대연동제일은행,2020/06/07_17:02:48
40,수영중학교,2020/06/07_17:02:48
40,올림픽교차로,2020/06/07_17:02:48
40,건널목삼거리,2020/06/07_17:02:48
40,대동상가,2020/06/07_17:02:48
40,대우2차아파트,2020/06/07_17:02:48
40,동해선 송정역,2020/06/07_17:03:08
40,대림1차아파트,2020/06/07_17:03:08
40,동백역,2020/06/07_17:03:08
40,광안역,2020/06/07_17:03:08
40,경성대학교,2020/06/07_17:03:08
40,부산역,2020/06/07_17:03:08
40,서부교회,2020/06/07_17:03:08
40,대신중학교,2020/06/07_17:03:08
40,서대신역.서부경찰서,2020/06/07_17:03:08
40,부산역,2020/06/07_17:03:08
40,부산진시장,2020/06/07_17:03:08
40,대연동제일은행,2020/06/07_17:03:08
40,광안역,2020/06/07_17:03:08
40,올림픽교차로,2020/06/07_17:03:08
40,건널목삼거리,2020/06/07_17:03:08
40,대동상가,2020/06/07_17:03:08
40,대우2차아파트,2020/06/07_17:03:08
40,청강리공영차고지(입구),2020/06/07_17:03:27
40,동해선 송정역,2020/06/07_17:03:27
40,대림1차아파트,2020/06/07_17:03:27
40,동백역,2020/06/07_17:03:27
40,광안역,2020/06/07_17:03:27
40,경성대학교,2020/06/07_17:03:27
40,부산역,2020/06/07_17:03:27
40,서부교회,2020/06/07_17:03:27
40,대신중학교,2020/06/07_17:03:27
40,서대시장(동대신역),2020/06/07_17:03:27
40,부산역,2020/06/07_17:03:27
40,범일역,2020/06/07_17:03:27
40,대연동제일은행,2020/06/07_17:03:27
40,광안역,2020/06/07_17:03:27
40,올림픽교차로,2020/06/07_17:03:27
40,건널목삼거리,2020/06/07_17:03:27
40,대동상가,2020/06/07_17:03:27
40,대우2차아파트,2020/06/07_17:03:27
40,청강리공영차고지(입구),2020/06/07_17:03:46
40,대림1차아파트,2020/06/07_17:03:46
40,송정해수욕장입구,2020/06/07_17:03:46
40,동백역,2020/06/07_17:03:46
40,광안역,2020/06/07_17:03:46
40,대연동제일은행,2020/06/07_17:03:46
40,부산역,2020/06/07_17:03:46
40,구덕운동장(종점),2020/06/07_17:03:46
40,대신중학교,2020/06/07_17:03:46
40,서대시장(동대신역),2020/06/07_17:03:46
40,부산역,2020/06/07_17:03:46
40,범일역,2020/06/07_17:03:46
40,경성대학교,2020/06/07_17:03:46
40,광안역,2020/06/07_17:03:46
40,건널목삼거리,2020/06/07_17:03:46
40,부산문화여고,2020/06/07_17:03:46
40,대동상가,2020/06/07_17:03:46
40,대우2차아파트,2020/06/07_17:03:46
40,청강리공영차고지(입구),2020/06/07_17:04:06
40,대림1차아파트,2020/06/07_17:04:06
40,송정1단지주공,2020/06/07_17:04:06
40,동백역,2020/06/07_17:04:06
40,수영중학교,2020/06/07_17:04:06
40,대연동제일은행,2020/06/07_17:04:06
40,부산역,2020/06/07_17:04:06
40,구덕운동장(종점),2020/06/07_17:04:06
40,대신중학교,2020/06/07_17:04:06
40,동아대부민캠퍼스,2020/06/07_17:04:06
40,부산역,2020/06/07_17:04:06
40,자유시장,2020/06/07_17:04:06
40,경성대학교,2020/06/07_17:04:06
40,광안역,2020/06/07_17:04:06
40,건널목삼거리,2020/06/07_17:04:06
40,부산문화여고,2020/06/07_17:04:06
40,대동상가,2020/06/07_17:04:06
40,대우2차아파트,2020/06/07_17:04:06
40,청강리공영차고지(입구),2020/06/07_17:04:25
40,대림1차아파트,2020/06/07_17:04:25
40,송정1단지주공,2020/06/07_17:04:25
40,동백역,2020/06/07_17:04:25
40,수영중학교,2020/06/07_17:04:25
40,대연동제일은행,2020/06/07_17:04:25
40,영주동,2020/06/07_17:04:25
40,구덕운동장(종점),2020/06/07_17:04:25
40,대신중학교,2020/06/07_17:04:25
40,동아대부민캠퍼스,2020/06/07_17:04:25
40,부산역,2020/06/07_17:04:25
40,자유시장,2020/06/07_17:04:25
40,경성대학교,2020/06/07_17:04:25
40,수영역,2020/06/07_17:04:25
40,부산문화여고,2020/06/07_17:04:25
40,해운대고교,2020/06/07_17:04:25
40,동부아파트,2020/06/07_17:04:25
40,대우2차아파트,2020/06/07_17:04:25
40,연화교차로,2020/06/07_17:04:45
40,대림1차아파트,2020/06/07_17:04:45
40,송정1단지주공,2020/06/07_17:04:45
40,부산문화여고,2020/06/07_17:04:45
40,수영중학교,2020/06/07_17:04:45
40,대연동제일은행,2020/06/07_17:04:45
40,영주동,2020/06/07_17:04:45
40,구덕운동장(종점),2020/06/07_17:04:45
40,대신중학교,2020/06/07_17:04:45
40,동아대부민캠퍼스,2020/06/07_17:04:45
40,초량역,2020/06/07_17:04:45
40,자유시장,2020/06/07_17:04:45
40,경성대학교,2020/06/07_17:04:45
40,수영역,2020/06/07_17:04:45
40,동백역,2020/06/07_17:04:45
40,해운대고교,2020/06/07_17:04:45
40,동부아파트,2020/06/07_17:04:45
40,대우2차아파트,2020/06/07_17:04:45
40,연화교차로,2020/06/07_17:05:04
40,대림3차아파트,2020/06/07_17:05:04
40,송정1단지주공,2020/06/07_17:05:04
40,부산문화여고,2020/06/07_17:05:04
40,수영중학교,2020/06/07_17:05:04
40,못골시장,2020/06/07_17:05:04
40,영주동,2020/06/07_17:05:04
40,구덕운동장(종점),2020/06/07_17:05:04
40,대신중학교,2020/06/07_17:05:04
40,동아대부민캠퍼스,2020/06/07_17:05:04
40,초량역,2020/06/07_17:05:04
40,시민회관,2020/06/07_17:05:04
40,경성대학교,2020/06/07_17:05:04
40,수영역,2020/06/07_17:05:04
40,동백역,2020/06/07_17:05:04
40,해운대고교,2020/06/07_17:05:04
40,동신아파트,2020/06/07_17:05:04
40,대우2차아파트,2020/06/07_17:05:04
40,연화교차로,2020/06/07_17:05:24
40,대림3차아파트,2020/06/07_17:05:24
40,대우2차아파트,2020/06/07_17:05:24
40,올림픽교차로,2020/06/07_17:05:24
40,금련산역,2020/06/07_17:05:24
40,못골시장,2020/06/07_17:05:24
40,영주동,2020/06/07_17:05:24
40,구덕운동장(종점),2020/06/07_17:05:24
40,대신중학교,2020/06/07_17:05:24
40,동아대부민캠퍼스,2020/06/07_17:05:24
40,초량역,2020/06/07_17:05:24
40,시민회관,2020/06/07_17:05:24
40,경성대 부경대역,2020/06/07_17:05:24
40,수영역,2020/06/07_17:05:24
40,동백역,2020/06/07_17:05:24
40,해운대고교,2020/06/07_17:05:24
40,동신아파트,2020/06/07_17:05:24
40,대우2차아파트,2020/06/07_17:05:24
40,연화교차로,2020/06/07_17:05:43
40,대림3차아파트,2020/06/07_17:05:43
40,대우2차아파트,2020/06/07_17:05:43
40,올림픽교차로,2020/06/07_17:05:43
40,금련산역,2020/06/07_17:05:43
40,못골시장,2020/06/07_17:05:43
40,영주동,2020/06/07_17:05:43
40,구덕운동장(종점),2020/06/07_17:05:43
40,대신중학교,2020/06/07_17:05:43
40,동아대부민캠퍼스,2020/06/07_17:05:43
40,YMCA,2020/06/07_17:05:43
40,시민회관,2020/06/07_17:05:43
40,경성대 부경대역,2020/06/07_17:05:43
40,수영역,2020/06/07_17:05:43
40,동백역,2020/06/07_17:05:43
40,해운대고교,2020/06/07_17:05:43
40,동신아파트,2020/06/07_17:05:43
40,대우2차아파트,2020/06/07_17:05:43
40,오신,2020/06/07_17:06:03
40,대림3차아파트,2020/06/07_17:06:03
40,대우2차아파트,2020/06/07_17:06:03
40,올림픽교차로,2020/06/07_17:06:03
40,금련산역,2020/06/07_17:06:03
40,못골시장,2020/06/07_17:06:03
40,남구청(못골역),2020/06/07_17:06:03
40,구덕운동장(종점),2020/06/07_17:06:03
40,대신중학교,2020/06/07_17:06:03
40,동아대부민캠퍼스,2020/06/07_17:06:03
40,YMCA,2020/06/07_17:06:03
40,시민회관,2020/06/07_17:06:03
40,경성대 부경대역,2020/06/07_17:06:03
40,수영역,2020/06/07_17:06:03
40,운촌,2020/06/07_17:06:03
40,부대앞,2020/06/07_17:06:03
40,동신아파트,2020/06/07_17:06:03
40,대우2차아파트,2020/06/07_17:06:03
40,오신,2020/06/07_17:06:22
40,대림3차아파트,2020/06/07_17:06:22
40,대우2차아파트,2020/06/07_17:06:22
40,올림픽교차로,2020/06/07_17:06:22
40,금련산역,2020/06/07_17:06:22
40,못골시장,2020/06/07_17:06:22
40,남구청(못골역),2020/06/07_17:06:22
40,대신중학교,2020/06/07_17:06:22
40,동아대부민캠퍼스,2020/06/07_17:06:22
40,YMCA,2020/06/07_17:06:22
40,시민회관,2020/06/07_17:06:22
