0,1,2
Bus_No,Bus_Location,Date
81,연제공용버스차고지,2020/06/10_07:00:28
81,삼광사입구,2020/06/10_07:00:28
81,부암교차로,2020/06/10_07:00:28
81,봉생병원,2020/06/10_07:00:28
81,서면한전,2020/06/10_07:00:28
81,고관입구,2020/06/10_07:00:28
81,부산역,2020/06/10_07:00:28
81,국제시장,2020/06/10_07:00:28
81,대신중학교,2020/06/10_07:00:28
81,서부교육청,2020/06/10_07:00:28
81,경성전자고등학교,2020/06/10_07:00:28
81,부경고교,2020/06/10_07:00:28
81,영락교회,2020/06/10_07:00:28
81,백산기념관.영화체험박물관,2020/06/10_07:00:28
81,중앙시장,2020/06/10_07:00:28
81,초량역,2020/06/10_07:00:28
81,서면역 서면지하상가,2020/06/10_07:00:28
81,부암역.당감입구,2020/06/10_07:00:28
81,부산진구청,2020/06/10_07:00:28
81,초읍삼거리,2020/06/10_07:00:28
81,연제공용버스차고지,2020/06/10_07:00:47
81,삼광사입구,2020/06/10_07:00:47
81,부암교차로,2020/06/10_07:00:47
81,봉생병원,2020/06/10_07:00:47
81,서면한전,2020/06/10_07:00:47
81,고관입구,2020/06/10_07:00:47
81,초량역,2020/06/10_07:00:47
81,영주동,2020/06/10_07:00:47
81,보수동책방골목,2020/06/10_07:00:47
81,대신중학교,2020/06/10_07:00:47
81,서부교육청,2020/06/10_07:00:47
81,경성전자고등학교,2020/06/10_07:00:47
81,부경고교,2020/06/10_07:00:47
81,영락교회,2020/06/10_07:00:47
81,중앙동(중앙역),2020/06/10_07:00:47
81,범내골역,2020/06/10_07:00:47
81,YMCA,2020/06/10_07:00:47
81,롯데호텔백화점(서면역),2020/06/10_07:00:47
81,부암역.당감입구,2020/06/10_07:00:47
81,부산진구청,2020/06/10_07:00:47
81,초읍삼거리,2020/06/10_07:00:47
81,연제공용버스차고지,2020/06/10_07:01:07
81,성곡시장입구,2020/06/10_07:01:07
81,봉생병원,2020/06/10_07:01:07
81,범내골역,2020/06/10_07:01:07
81,부산진구청,2020/06/10_07:01:07
81,고관입구,2020/06/10_07:01:07
81,초량역,2020/06/10_07:01:07
81,영주동,2020/06/10_07:01:07
81,보수동책방골목,2020/06/10_07:01:07
81,대신중학교,2020/06/10_07:01:07
81,서부교육청,2020/06/10_07:01:07
81,경성전자고등학교,2020/06/10_07:01:07
81,서대신역.서부경찰서,2020/06/10_07:01:07
81,영락교회,2020/06/10_07:01:07
81,범내골역,2020/06/10_07:01:07
81,부산진역,2020/06/10_07:01:07
81,영주동,2020/06/10_07:01:07
81,롯데호텔백화점(서면역),2020/06/10_07:01:07
81,부산진구청정문,2020/06/10_07:01:07
81,부암교차로,2020/06/10_07:01:07
81,초읍삼거리,2020/06/10_07:01:07
81,연제공용버스차고지,2020/06/10_07:01:26
81,성곡시장입구,2020/06/10_07:01:26
81,부산진역,2020/06/10_07:01:26
81,범내골역,2020/06/10_07:01:26
81,부전시장입구,2020/06/10_07:01:26
81,고관입구,2020/06/10_07:01:26
81,초량역,2020/06/10_07:01:26
81,영주동,2020/06/10_07:01:26
81,보수동책방골목,2020/06/10_07:01:26
81,구덕운동장,2020/06/10_07:01:26
81,서부교육청,2020/06/10_07:01:26
81,경성전자고등학교,2020/06/10_07:01:26
81,서대신역.서부경찰서,2020/06/10_07:01:26
81,보수사거리,2020/06/10_07:01:26
81,범내골역,2020/06/10_07:01:26
81,부산진역,2020/06/10_07:01:26
81,영주동,2020/06/10_07:01:26
81,롯데호텔백화점(서면역),2020/06/10_07:01:26
81,부산진구청정문,2020/06/10_07:01:26
81,부암교차로,2020/06/10_07:01:26
81,초읍삼거리,2020/06/10_07:01:26
81,연제공용버스차고지,2020/06/10_07:01:45
81,성곡시장,2020/06/10_07:01:45
81,부암교차로,2020/06/10_07:01:45
81,범내골역,2020/06/10_07:01:45
81,부전시장입구,2020/06/10_07:01:45
81,고관입구,2020/06/10_07:01:45
81,초량역,2020/06/10_07:01:45
81,영주동,2020/06/10_07:01:45
81,보수동책방골목,2020/06/10_07:01:45
81,구덕운동장,2020/06/10_07:01:45
81,서부교육청,2020/06/10_07:01:45
81,경성전자고등학교,2020/06/10_07:01:45
81,서대신역.서부경찰서,2020/06/10_07:01:45
81,보수사거리,2020/06/10_07:01:45
81,범내골역,2020/06/10_07:01:45
81,부산진역,2020/06/10_07:01:45
81,영주동,2020/06/10_07:01:45
81,롯데호텔백화점(서면역),2020/06/10_07:01:45
81,부산진구청정문,2020/06/10_07:01:45
81,부암교차로,2020/06/10_07:01:45
81,초읍삼거리,2020/06/10_07:01:45
81,연제공용버스차고지,2020/06/10_07:02:05
81,성곡시장,2020/06/10_07:02:05
81,부암교차로,2020/06/10_07:02:05
81,범내골역,2020/06/10_07:02:05
81,부전시장입구,2020/06/10_07:02:05
81,고관입구,2020/06/10_07:02:05
81,초량역,2020/06/10_07:02:05
81,영주동,2020/06/10_07:02:05
81,보수동책방골목,2020/06/10_07:02:05
81,구덕운동장,2020/06/10_07:02:05
81,서대신금호아파트(종점),2020/06/10_07:02:05
81,경성전자고등학교,2020/06/10_07:02:05
81,서대시장(동대신역),2020/06/10_07:02:05
81,보수사거리,2020/06/10_07:02:05
81,범내골역,2020/06/10_07:02:05
81,부산진역,2020/06/10_07:02:05
81,영주동,2020/06/10_07:02:05
81,롯데호텔백화점(서면역),2020/06/10_07:02:05
81,부산진구청정문,2020/06/10_07:02:05
81,부암교차로,2020/06/10_07:02:05
81,초읍삼거리,2020/06/10_07:02:05
81,연제공용버스차고지,2020/06/10_07:02:24
81,성곡시장,2020/06/10_07:02:24
81,부암교차로,2020/06/10_07:02:24
81,범내골역,2020/06/10_07:02:24
81,부전시장입구,2020/06/10_07:02:24
81,초량역,2020/06/10_07:02:24
81,부산역,2020/06/10_07:02:24
81,영주동,2020/06/10_07:02:24
81,보수사거리,2020/06/10_07:02:24
81,구덕운동장,2020/06/10_07:02:24
81,서대신금호아파트(종점),2020/06/10_07:02:24
81,서부교육청,2020/06/10_07:02:24
81,서대시장(동대신역),2020/06/10_07:02:24
81,보수동책방골목,2020/06/10_07:02:24
81,범내골역,2020/06/10_07:02:24
81,부산진역,2020/06/10_07:02:24
81,부산역,2020/06/10_07:02:24
81,부암역.당감입구,2020/06/10_07:02:24
