0,1,2
Bus_No,Bus_Location,Date
138-1,엄궁한신1차아파트,2020/06/06_17:00:38
138-1,삼대한의원,2020/06/06_17:00:38
138-1,개금역.개금초등학교,2020/06/06_17:00:38
138-1,NC서면점,2020/06/06_17:00:38
138-1,우암뉴서울아파트,2020/06/06_17:00:38
138-1,한신문화타운,2020/06/06_17:00:38
138-1,전포사거리,2020/06/06_17:00:38
138-1,개금역.개금초등학교,2020/06/06_17:00:38
138-1,감전동이마트,2020/06/06_17:00:38
138-1,하단SK뷰아파트앞,2020/06/06_17:00:38
138-1,대동중고등학교,2020/06/06_17:00:38
138-1,엄궁한신1차아파트,2020/06/06_17:00:58
138-1,삼대한의원,2020/06/06_17:00:58
138-1,개금역.개금초등학교,2020/06/06_17:00:58
138-1,NC서면점,2020/06/06_17:00:58
138-1,우암뉴서울아파트,2020/06/06_17:00:58
138-1,한신문화타운,2020/06/06_17:00:58
138-1,전포사거리,2020/06/06_17:00:58
138-1,개금역.개금초등학교,2020/06/06_17:00:58
138-1,감전동이마트,2020/06/06_17:00:58
138-1,하단SK뷰아파트앞,2020/06/06_17:00:58
138-1,대동중고등학교,2020/06/06_17:00:58
138-1,엄궁한신1차아파트,2020/06/06_17:01:17
138-1,삼대한의원,2020/06/06_17:01:17
138-1,개금역.개금초등학교,2020/06/06_17:01:17
138-1,전포사거리,2020/06/06_17:01:17
138-1,우암뉴서울아파트,2020/06/06_17:01:17
138-1,유엔공원.부산문화회관,2020/06/06_17:01:17
138-1,전포사거리,2020/06/06_17:01:17
138-1,개금역.개금초등학교,2020/06/06_17:01:17
138-1,감전동이마트,2020/06/06_17:01:17
138-1,하단SK뷰아파트앞,2020/06/06_17:01:17
138-1,대동중고등학교,2020/06/06_17:01:17
138-1,엄궁한신1차아파트,2020/06/06_17:01:37
138-1,삼대한의원,2020/06/06_17:01:37
138-1,개금역.개금초등학교,2020/06/06_17:01:37
138-1,전포사거리,2020/06/06_17:01:37
138-1,성지고등학교,2020/06/06_17:01:37
138-1,유엔공원.부산문화회관,2020/06/06_17:01:37
138-1,전포사거리,2020/06/06_17:01:37
138-1,개금역.개금초등학교,2020/06/06_17:01:37
138-1,감전동이마트,2020/06/06_17:01:37
138-1,동매역,2020/06/06_17:01:37
138-1,대동중고등학교,2020/06/06_17:01:37
138-1,엄궁동주민센터,2020/06/06_17:01:56
138-1,삼대한의원,2020/06/06_17:01:56
