0,1,2
Bus_No,Bus_Location,Date
68,용당동,2020/06/10_07:00:24
68,한신문화타운,2020/06/10_07:00:24
68,범내골역,2020/06/10_07:00:24
68,문현교차로,2020/06/10_07:00:24
68,우암자유아파트,2020/06/10_07:00:24
68,부암역,2020/06/10_07:00:24
68,가야1치안센터,2020/06/10_07:00:24
68,개금삼거리,2020/06/10_07:00:24
68,개금역,2020/06/10_07:00:24
68,학장교,2020/06/10_07:00:24
68,부산구치소,2020/06/10_07:00:24
68,엄궁럭키아파트,2020/06/10_07:00:24
68,엄궁한신1차아파트,2020/06/10_07:00:24
68,하단역,2020/06/10_07:00:24
68,하단역,2020/06/10_07:00:24
68,엄궁시장,2020/06/10_07:00:24
68,반도보라아파트,2020/06/10_07:00:24
68,동양아파트,2020/06/10_07:00:24
68,롯데호텔백화점(서면역),2020/06/10_07:00:24
68,개금역,2020/06/10_07:00:24
68,자유시장,2020/06/10_07:00:24
68,7부두,2020/06/10_07:00:24
68,우암자유아파트,2020/06/10_07:00:24
68,용당동,2020/06/10_07:00:24
68,유엔공원.부산문화회관,2020/06/10_07:00:24
68,용당동,2020/06/10_07:00:43
68,석포여중,2020/06/10_07:00:43
68,범내골역,2020/06/10_07:00:43
68,문현교차로,2020/06/10_07:00:43
68,우암초등학교,2020/06/10_07:00:43
68,부암역,2020/06/10_07:00:43
68,가야1치안센터,2020/06/10_07:00:43
68,개금삼거리,2020/06/10_07:00:43
68,개금역,2020/06/10_07:00:43
68,학장교,2020/06/10_07:00:43
68,부산구치소,2020/06/10_07:00:43
68,엄궁삼거리,2020/06/10_07:00:43
68,하단SK뷰아파트앞,2020/06/10_07:00:43
68,하단역,2020/06/10_07:00:43
68,하단역,2020/06/10_07:00:43
68,엄궁시장,2020/06/10_07:00:43
68,학장중학교,2020/06/10_07:00:43
68,동양아파트,2020/06/10_07:00:43
68,서면시장,2020/06/10_07:00:43
68,개금역,2020/06/10_07:00:43
68,자유시장,2020/06/10_07:00:43
68,7부두,2020/06/10_07:00:43
68,우암자유아파트,2020/06/10_07:00:43
68,석포여중,2020/06/10_07:00:43
68,용당동,2020/06/10_07:01:03
68,유엔공원.부산문화회관,2020/06/10_07:01:03
68,남광시장,2020/06/10_07:01:03
68,문현교차로,2020/06/10_07:01:03
68,우암초등학교,2020/06/10_07:01:03
68,부암역,2020/06/10_07:01:03
68,가야1치안센터,2020/06/10_07:01:03
68,개금삼거리,2020/06/10_07:01:03
68,냉정고개,2020/06/10_07:01:03
68,학장중학교,2020/06/10_07:01:03
68,부산구치소,2020/06/10_07:01:03
68,엄궁삼거리,2020/06/10_07:01:03
68,하단SK뷰아파트앞,2020/06/10_07:01:03
68,하단교차로,2020/06/10_07:01:03
68,하단역,2020/06/10_07:01:03
68,엄궁사거리,2020/06/10_07:01:03
68,학장중학교,2020/06/10_07:01:03
68,동양아파트,2020/06/10_07:01:03
68,서면시장,2020/06/10_07:01:03
68,개금역,2020/06/10_07:01:03
68,자유시장,2020/06/10_07:01:03
68,7부두,2020/06/10_07:01:03
68,동천초등학교,2020/06/10_07:01:03
68,석포여중,2020/06/10_07:01:03
68,용당동,2020/06/10_07:01:22
68,유엔공원.부산문화회관,2020/06/10_07:01:22
68,문현교차로,2020/06/10_07:01:22
68,우암초등학교,2020/06/10_07:01:22
68,서면한전,2020/06/10_07:01:22
68,가야시장(가야역),2020/06/10_07:01:22
68,가야1치안센터,2020/06/10_07:01:22
68,개금삼거리,2020/06/10_07:01:22
68,학장중학교,2020/06/10_07:01:22
68,학장,2020/06/10_07:01:22
68,경남정보대(냉정역),2020/06/10_07:01:22
68,엄궁삼거리,2020/06/10_07:01:22
68,하단SK뷰아파트앞,2020/06/10_07:01:22
68,하단교차로,2020/06/10_07:01:22
68,하단역,2020/06/10_07:01:22
68,엄궁사거리,2020/06/10_07:01:22
68,학장교,2020/06/10_07:01:22
68,부산구치소,2020/06/10_07:01:22
68,서면시장,2020/06/10_07:01:22
68,개금역,2020/06/10_07:01:22
68,자유시장,2020/06/10_07:01:22
68,남부중앙새마을금고,2020/06/10_07:01:22
68,동천초등학교,2020/06/10_07:01:22
68,석포여중,2020/06/10_07:01:22
68,용당동,2020/06/10_07:01:42
68,유엔공원.부산문화회관,2020/06/10_07:01:42
68,문현교차로,2020/06/10_07:01:42
68,우암초등학교,2020/06/10_07:01:42
68,서면한전,2020/06/10_07:01:42
68,가야시장(가야역),2020/06/10_07:01:42
68,가야1치안센터,2020/06/10_07:01:42
68,개금삼거리,2020/06/10_07:01:42
68,학장중학교,2020/06/10_07:01:42
68,학장,2020/06/10_07:01:42
68,럭키아파트(주례역),2020/06/10_07:01:42
68,엄궁동주민센터,2020/06/10_07:01:42
68,하단SK뷰아파트앞,2020/06/10_07:01:42
68,하단교차로,2020/06/10_07:01:42
68,엄궁사거리,2020/06/10_07:01:42
68,하단교차로,2020/06/10_07:01:42
68,학장교,2020/06/10_07:01:42
68,부산구치소,2020/06/10_07:01:42
68,서면시장,2020/06/10_07:01:42
68,개금삼거리,2020/06/10_07:01:42
68,자유시장,2020/06/10_07:01:42
68,남부중앙새마을금고,2020/06/10_07:01:42
68,동천초등학교,2020/06/10_07:01:42
68,한신문화타운,2020/06/10_07:01:42
68,용당동,2020/06/10_07:02:01
68,유엔공원.부산문화회관,2020/06/10_07:02:01
68,시민회관,2020/06/10_07:02:01
68,우암초등학교,2020/06/10_07:02:01
68,서면역 서면지하상가,2020/06/10_07:02:01
68,가야시장(가야역),2020/06/10_07:02:01
68,가야1치안센터,2020/06/10_07:02:01
68,개금삼거리,2020/06/10_07:02:01
68,학장중학교,2020/06/10_07:02:01
68,학장교차로,2020/06/10_07:02:01
68,럭키아파트(주례역),2020/06/10_07:02:01
68,엄궁동주민센터,2020/06/10_07:02:01
68,하단SK뷰아파트앞,2020/06/10_07:02:01
68,하단교차로,2020/06/10_07:02:01
68,엄궁사거리,2020/06/10_07:02:01
68,하단교차로,2020/06/10_07:02:01
68,학장교,2020/06/10_07:02:01
68,주례사거리,2020/06/10_07:02:01
68,서면시장,2020/06/10_07:02:01
68,동의대학교입구(동의대역),2020/06/10_07:02:01
68,시민회관,2020/06/10_07:02:01
68,우암초등학교,2020/06/10_07:02:01
68,동천초등학교,2020/06/10_07:02:01
68,한신문화타운,2020/06/10_07:02:01
68,용당동,2020/06/10_07:02:20
68,유엔공원.부산문화회관,2020/06/10_07:02:20
68,시민회관,2020/06/10_07:02:20
68,우암초등학교,2020/06/10_07:02:20
68,서면역 서면지하상가,2020/06/10_07:02:20
68,가야시장(가야역),2020/06/10_07:02:20
68,가야1치안센터,2020/06/10_07:02:20
68,개금삼거리,2020/06/10_07:02:20
68,반도보라아파트,2020/06/10_07:02:20
68,학장교차로,2020/06/10_07:02:20
68,럭키아파트(주례역),2020/06/10_07:02:20
68,엄궁동주민센터,2020/06/10_07:02:20
68,하단SK뷰아파트앞,2020/06/10_07:02:20
68,하단교차로,2020/06/10_07:02:20
68,엄궁사거리,2020/06/10_07:02:20
68,하단교차로,2020/06/10_07:02:20
68,학장교차로,2020/06/10_07:02:20
68,주례사거리,2020/06/10_07:02:20
68,서면복개로,2020/06/10_07:02:20
68,동의대학교입구(동의대역),2020/06/10_07:02:20
68,시민회관,2020/06/10_07:02:20
68,우암자유아파트,2020/06/10_07:02:20
68,한신문화타운,2020/06/10_07:02:20
68,용당동,2020/06/10_07:02:40
68,유엔공원.부산문화회관,2020/06/10_07:02:40
68,시민회관,2020/06/10_07:02:40
68,우암초등학교,2020/06/10_07:02:40
68,서면역 서면지하상가,2020/06/10_07:02:40
68,가야시장(가야역),2020/06/10_07:02:40
68,가야전신전화국,2020/06/10_07:02:40
68,개금역,2020/06/10_07:02:40
68,반도보라아파트,2020/06/10_07:02:40
68,학장교차로,2020/06/10_07:02:40
68,럭키아파트(주례역),2020/06/10_07:02:40
68,엄궁한신1차아파트,2020/06/10_07:02:40
68,동아대입구,2020/06/10_07:02:40
68,하단교차로,2020/06/10_07:02:40
68,엄궁사거리,2020/06/10_07:02:40
68,에덴공원,2020/06/10_07:02:40
68,학장교차로,2020/06/10_07:02:40
68,주례사거리,2020/06/10_07:02:40
68,서면복개로,2020/06/10_07:02:40
68,동의대학교입구(동의대역),2020/06/10_07:02:40
68,시민회관,2020/06/10_07:02:40
68,우암자유아파트,2020/06/10_07:02:40
68,한신문화타운,2020/06/10_07:02:40
68,용당동,2020/06/10_07:02:59
68,유엔공원.부산문화회관,2020/06/10_07:02:59
68,시민회관,2020/06/10_07:02:59
68,남부중앙새마을금고,2020/06/10_07:02:59
68,서면역 서면지하상가,2020/06/10_07:02:59
