0,1,2
Bus_No,Bus_Location,Date
81,연제공용버스차고지,2020/06/05_17:00:34
81,삼광사입구,2020/06/05_17:00:34
81,부암교차로,2020/06/05_17:00:34
81,부산진시장,2020/06/05_17:00:34
81,부전시장입구,2020/06/05_17:00:34
81,고관입구,2020/06/05_17:00:34
81,영주동,2020/06/05_17:00:34
81,보수동책방골목,2020/06/05_17:00:34
81,서부교육청,2020/06/05_17:00:34
81,서부교육청,2020/06/05_17:00:34
81,서부교회,2020/06/05_17:00:34
81,부경고교,2020/06/05_17:00:34
81,영락교회,2020/06/05_17:00:34
81,백산기념관.영화체험박물관,2020/06/05_17:00:34
81,중앙동(중앙역),2020/06/05_17:00:34
81,범내골역,2020/06/05_17:00:34
81,범일역.범일동부산은행,2020/06/05_17:00:34
81,부산진시장,2020/06/05_17:00:34
81,부산역,2020/06/05_17:00:34
81,부암역.당감입구,2020/06/05_17:00:34
81,부산진구청정문,2020/06/05_17:00:34
81,부암교차로,2020/06/05_17:00:34
81,부암교차로,2020/06/05_17:00:34
81,연제공용버스차고지,2020/06/05_17:00:54
81,삼광사입구,2020/06/05_17:00:54
81,부암교차로,2020/06/05_17:00:54
81,부산진시장,2020/06/05_17:00:54
81,부전시장입구,2020/06/05_17:00:54
81,고관입구,2020/06/05_17:00:54
81,영주동,2020/06/05_17:00:54
81,보수동책방골목,2020/06/05_17:00:54
81,서부교육청,2020/06/05_17:00:54
81,서부교육청,2020/06/05_17:00:54
81,서부교회,2020/06/05_17:00:54
81,부경고교,2020/06/05_17:00:54
81,영락교회,2020/06/05_17:00:54
81,백산기념관.영화체험박물관,2020/06/05_17:00:54
81,중앙동(중앙역),2020/06/05_17:00:54
81,서면한전,2020/06/05_17:00:54
81,범일역.범일동부산은행,2020/06/05_17:00:54
81,부산진시장,2020/06/05_17:00:54
81,부산역,2020/06/05_17:00:54
81,부암역.당감입구,2020/06/05_17:00:54
81,부산진구청정문,2020/06/05_17:00:54
81,부암교차로,2020/06/05_17:00:54
81,부산시설공단,2020/06/05_17:00:54
81,연제공용버스차고지,2020/06/05_17:01:13
81,성곡시장입구,2020/06/05_17:01:13
81,부암교차로,2020/06/05_17:01:13
81,부산진시장,2020/06/05_17:01:13
81,부전시장입구,2020/06/05_17:01:13
81,고관입구,2020/06/05_17:01:13
81,영주동,2020/06/05_17:01:13
81,보수동책방골목,2020/06/05_17:01:13
81,대신중학교,2020/06/05_17:01:13
81,서부교육청,2020/06/05_17:01:13
81,서부교회,2020/06/05_17:01:13
81,부경고교,2020/06/05_17:01:13
81,보수사거리,2020/06/05_17:01:13
81,백산기념관.영화체험박물관,2020/06/05_17:01:13
81,중앙동(중앙역),2020/06/05_17:01:13
81,서면한전,2020/06/05_17:01:13
81,범일역.범일동부산은행,2020/06/05_17:01:13
81,부산진시장,2020/06/05_17:01:13
81,초량역,2020/06/05_17:01:13
81,부암역.당감입구,2020/06/05_17:01:13
81,부산진구청정문,2020/06/05_17:01:13
81,부암교차로,2020/06/05_17:01:13
81,부산시설공단,2020/06/05_17:01:13
81,연제공용버스차고지,2020/06/05_17:01:33
81,성곡시장입구,2020/06/05_17:01:33
81,부암교차로,2020/06/05_17:01:33
81,부산진시장,2020/06/05_17:01:33
81,부전시장입구,2020/06/05_17:01:33
81,고관입구,2020/06/05_17:01:33
81,영주동,2020/06/05_17:01:33
81,보수동책방골목,2020/06/05_17:01:33
81,대신중학교,2020/06/05_17:01:33
81,서부교육청,2020/06/05_17:01:33
81,구덕운동장,2020/06/05_17:01:33
81,부경고교,2020/06/05_17:01:33
81,보수사거리,2020/06/05_17:01:33
81,백산기념관.영화체험박물관,2020/06/05_17:01:33
81,서면한전,2020/06/05_17:01:33
81,중앙시장,2020/06/05_17:01:33
81,부산진시장,2020/06/05_17:01:33
81,초량역,2020/06/05_17:01:33
81,영주동,2020/06/05_17:01:33
81,부암역.당감입구,2020/06/05_17:01:33
81,부산진구청,2020/06/05_17:01:33
81,부암교차로,2020/06/05_17:01:33
