,num,name
0,,기점
1,10-277,구평동주민센터
2,10-279,구평e편한세상입구
3,10-136,장림
4,10-133,사하경찰서
5,10-130,신평시장
6,10-256,동매역
7,10-122,삼진냉장
8,10-121,무지개아파트
9,10-118,동성화학
10,10-116,신평역
11,10-114,신남초등학교
12,10-110,하남초등학교
13,10-108,가락타운2.3단지
14,10-103,강변아파트
15,10-101,가락타운104동
16,10-098,가락타운115동
17,15-199,엄궁한신1차아파트
18,15-200,엄궁동주민센터
19,15-187,엄궁삼거리
20,15-179,엄궁정비
21,15-180,감전동이마트
22,15-181,샤니케익
23,15-144,감전동
24,15-285,부산전문장례식장
25,15-086,감전동수문앞
26,15-084,산업용품상가
27,15-068,르네시떼
28,15-064,동원아파트앞
29,15-062,삼락생태공원
30,15-277,한신아파트 2차
31,15-063,한신아파트 1차
32,15-067,사상초등학교
33,15-072,서부시외버스터미널(사상역)
34,15-255,사상우체국
35,15-082,삼대한의원
36,15-097,북부산세무서(감전역)
37,15-284,온골마을입구
38,15-122,주례1동주민센터
39,15-118,럭키아파트(주례역)
40,15-115,좋은삼선병원
41,15-113,경남정보대(냉정역)
42,05-112,냉정고개
43,05-146,개금역.개금초등학교
44,05-147,개금3동주민센터
45,05-148,한국신발관
46,05-149,개포초등학교
47,05-150,개금주공아파트
48,05-152,당평초등학교
49,,당감입구교차로
50,05-154,당감1치안센터
51,05-158,진양교차로
52,05-193,부암역.당감입구
53,05-321,롯데호텔백화점(서면역)
54,05-277,서면부속상가
55,05-253,NC서면점
56,05-257,전포사거리
57,05-259,경남공고(전포역)
58,07-034,문전교차로
59,07-168,국제금융센터(부산은행역)
60,07-035,성동초등학교후문
61,07-080,7부두
62,07-081,남부중앙새마을금고
63,07-076,우암초등학교
64,07-210,우암뉴서울아파트
65,07-211,성지고등학교
66,07-212,동림맨션
67,07-213,부산공고
68,07-190,시립박물관.부산문화회관
69,07-108,유엔공원.부산문화회관
70,07-177,석포여중
71,07-111,한신문화타운
72,07-112,동명대학교후문
73,07-114,부경대용당캠퍼스
74,07-193,용당동
75,07-192,신선대CNG충전소
76,07-194,용당동
77,07-115,부경대용당캠퍼스
78,07-216,동명대학교후문
79,07-110,한신문화타운
80,07-176,석포여중
81,07-109,유엔공원.부산문화회관
82,07-191,시립박물관.부산문화회관
83,07-068,부산공고
84,07-070,동림맨션
85,07-071,성지고등학교
86,07-074,우암뉴서울아파트
87,07-075,우암초등학교
88,07-077,남부중앙새마을금고
89,07-079,7부두
90,07-045,문현교차로
91,07-036,성동초등학교후문
92,07-067,국제금융센터(부산은행역)
93,07-043,문전교차로
94,05-356,경남공고(전포역)
95,05-357,전포사거리
96,05-358,NC서면점
97,05-190,롯데호텔백화점(서면역)
98,05-192,부암역.당감입구
99,05-340,진양교차로
100,05-155,당감1치안센터
101,,당감입구교차로
102,05-153,당평초등학교
103,05-292,당감3동우체국
104,05-101,개금주공아파트
105,05-102,개포초등학교
106,05-103,한국신발관
107,05-104,개금3동주민센터
108,05-108,개금역.개금초등학교
109,05-110,냉정고개
110,15-111,경남정보대(냉정역)
111,15-117,럭키아파트(주례역)
112,15-121,주례1동주민센터
113,15-283,온골마을입구
114,15-098,북부산세무서(감전역)
115,15-081,삼대한의원
116,15-254,사상우체국
117,15-073,서부시외버스터미널(사상역)
118,15-069,르네시떼
119,15-085,감전동수문앞
120,,부산전문장례식장
121,15-143,감전동
122,15-182,샤니케익
123,15-183,감전동이마트
124,15-184,엄궁정비
125,15-185,중고차매매시장
126,15-188,엄궁삼거리
127,15-201,엄궁동주민센터
128,15-198,엄궁한신1차아파트
129,10-075,하단SK뷰아파트앞
130,10-099,가락타운115동
131,10-100,가락타운104동
132,10-102,강변아파트
133,10-109,가락타운2.3단지
134,10-111,하남초등학교
135,10-112,신남초등학교
136,10-115,신평역
137,10-119,동성화학
138,10-120,무지개아파트
139,10-123,삼진냉장
140,10-129,동매역
141,10-131,신평시장
142,10-132,사하경찰서
143,10-137,장림
144,10-230,대동중고등학교
145,10-280,구평e편한세상입구
146,10-278,구평동주민센터
147,10-140,제일제당
148,,기점
