,num,name
0,,용당동
1,07-115,부경대용당캠퍼스
2,07-216,동명대학교후문
3,07-110,한신문화타운
4,07-176,석포여중
5,07-109,유엔공원.부산문화회관
6,07-105,시립박물관
7,07-102,석포초등학교
8,,대연파크푸르지오
9,07-099,남광시장
10,07-097,동천초등학교
11,07-084,우암자유아파트
12,07-075,우암초등학교
13,07-077,남부중앙새마을금고
14,07-079,7부두
15,07-045,문현교차로
16,03-145,시민회관
17,03-150,자유시장
18,05-221,중앙시장
19,05-227,범내골역
20,05-712,서면한전
21,05-710,서면역.서면지하상가
22,05-190,롯데호텔백화점(서면역)
23,05-194,부암역
24,05-268,가야시장(가야역)
25,05-069,가야1치안센터
26,05-109,가야전신전화국
27,05-283,개금삼거리
28,05-345,개금역
29,05-110,냉정고개
30,15-111,경남정보대(냉정역)
31,15-116,럭키아파트(주례역)
32,15-125,주례사거리
33,15-151,부산구치소
34,15-153,학장
35,15-163,학장교차로
36,15-166,학장교
37,15-167,학장중학교
38,15-173,반도보라아파트
39,15-176,엄궁중학교
40,15-216,엄궁럭키아파트
41,15-188,엄궁삼거리
42,15-201,엄궁동주민센터
43,15-198,엄궁한신1차아파트
44,10-075,하단SK뷰아파트앞
45,10-088,동아대입구
46,10-084,에덴공원
47,10-232,하단교차로
48,10-077,하단역
49,10-078,하단역
50,10-081,하단교차로
51,10-087,에덴공원
52,10-092,동아대입구
53,10-093,동산삼거리
54,15-199,엄궁한신1차아파트
55,15-200,엄궁동주민센터
56,15-189,엄궁시장
57,15-196,엄궁사거리
58,15-186,엄궁럭키아파트
59,15-175,엄궁중학교
60,15-174,반도보라아파트
61,15-168,학장중학교
62,15-165,학장교
63,15-164,학장교차로
64,15-154,동양아파트
65,15-152,부산구치소
66,15-124,주례사거리
67,15-118,럭키아파트(주례역)
68,15-115,좋은삼선병원
69,15-113,경남정보대(냉정역)
70,05-112,냉정고개
71,05-343,개금역
72,05-144,개금삼거리
73,05-060,동의대학교입구(동의대역)
74,05-006,가야1치안센터
75,05-269,가야시장(가야역)
76,05-195,부암역
77,05-319,롯데호텔백화점(서면역)
78,05-236,서면시장
79,05-234,서면복개로
80,05-230,부산진초등학교
81,05-215,중앙시장
82,03-149,자유시장
83,03-144,시민회관
84,07-044,문현교차로
85,07-080,7부두
86,07-081,남부중앙새마을금고
87,07-076,우암초등학교
88,07-083,우암자유아파트
89,07-096,동천초등학교
90,07-098,남광시장
91,,대연파크푸르지오
92,07-101,석포초등학교
93,07-103,시립박물관
94,07-108,유엔공원.부산문화회관
95,07-177,석포여중
96,07-111,한신문화타운
97,07-112,동명대학교후문
98,07-114,부경대용당캠퍼스
99,,용당동
