,num,name
0,16-265,청강리공영차고지(종점)
1,16-264,청강리공영차고지(입구)
2,16-067,연화교차로
3,16-059,오신
4,16-203,내리초등학교
5,16-058,내리
6,09-001,당사입구
7,09-003,브라보주유소
8,09-004,송정2휴먼시아
9,09-006,동해선 송정역
10,09-008,송정해수욕장입구
11,09-012,송정1단지주공
12,09-257,대우2차아파트
13,09-038,부흥고 해운대백병원
14,09-046,동신아파트
15,09-047,동부아파트
16,09-051,대동상가
17,09-054,대림1차아파트
18,09-065,대림3차아파트
19,09-068,양운초등학교
20,09-066,부대앞
21,09-079,해운대고교
22,09-059,건널목삼거리
23,09-254,해운대구청어귀삼거리
24,09-093,우일시장
25,09-094,공작맨션
26,09-096,해운대관광고등학교
27,09-097,우1치안센터
28,09-099,아림비치맨션
29,09-100,신동아아파트
30,09-727,운촌
31,09-723,동백역
32,09-721,부산문화여고
33,09-719,올림픽교차로
34,09-717,벡스코 시립미술관
35,09-259,센텀시티역 벡스코
36,09-138,신세계센텀시티
37,14-030,수영현대아파트(민락역)
38,14-046,수영교차로(수영역)
39,14-056,수영구보건소
40,14-059,광안역
41,14-071,수영중학교
42,14-074,금련산역
43,14-080,금련산청소년수련원
44,14-087,대남교차로(남천역)
45,07-006,경성대 부경대역
46,07-013,경성대학교
47,07-016,대연동제일은행
48,07-063,못골시장
49,07-165,남구청(못골역)
50,07-058,대연고개
51,07-053,지게골역
52,07-047,문현교차로
53,03-143,자성대
54,03-134,부산진시장
55,03-108,부산진역
56,03-097,YMCA
57,03-089,초량역
58,03-058,부산역
59,01-033,영주동
60,01-042,중앙동(중앙역)
61,01-047,제일은행앞
62,01-097,국제시장
63,01-112,보수동책방골목
64,01-090,보수사거리
65,02-061,영락교회
66,02-058,동아대부민캠퍼스
67,02-053,서부교회
68,02-043,구덕운동장(종점)
69,02-169,대신중학교
70,02-007,구덕운동장
71,02-031,부경고교
72,02-040,서대신역.서부경찰서
73,02-051,서대시장(동대신역)
74,02-056,동아대부민캠퍼스
75,02-062,영락교회
76,01-091,보수사거리
77,01-111,보수동책방골목
78,01-093,국제시장
79,01-096,국제시장.부산근대역사관
80,01-041,중앙동(중앙역)
81,01-032,영주동
82,03-063,부산역
83,03-092,초량역
84,03-096,YMCA
85,03-122,부산진역
86,03-132,부산진시장
87,03-148,범일역
88,03-149,자유시장
89,03-144,시민회관
90,07-051,문현교차로
91,07-052,지게골역
92,07-231,대연고개
93,07-164,남구청(못골역)
94,07-061,못골시장
95,07-015,대연동제일은행
96,07-014,경성대학교
97,07-007,경성대 부경대역
98,14-083,남천역
99,14-082,금련산청소년수련원
100,14-072,광안2동우편취급국
101,14-070,수영중학교
102,14-061,광안역
103,14-053,수영역
104,14-094,수영교차로(수영역)
105,14-031,수영현대아파트(민락역)
106,09-137,신세계센텀시티
107,09-136,센텀시티역 벡스코
108,09-718,올림픽교차로 환승센터
109,09-720,올림픽교차로
110,09-722,부산문화여고
111,09-724,동백역
112,09-728,운촌
113,09-101,신동아아파트
114,09-098,우1치안센터
115,09-095,해운대관광고등학교
116,,공작맨션
117,09-092,우일시장
118,09-253,해운대구청어귀삼거리
119,09-091,건널목삼거리
120,09-078,해운대고교
121,09-067,부대앞
122,09-069,양운초등학교
123,09-064,대림3차아파트
124,09-055,대림1차아파트
125,09-052,대동상가
126,09-048,동부아파트
127,09-045,동신아파트
128,09-043,부흥고 해운대백병원
129,09-258,대우2차아파트
130,09-011,송정1단지주공
131,09-049,송정해수욕장입구
132,09-007,동해선 송정역
133,09-005,송정2휴먼시아
134,09-002,브라보주유소
135,09-194,당사입구
136,16-051,내리
137,16-204,내리초등학교
138,16-050,오신
139,16-068,연화교차로
140,16-266,청강리공영차고지
