,num,name
1,10277,구평동주민센터
2,10279,구평e편한세상입구
3,10136,장림
4,10133,사하경찰서
5,10130,신평시장
6,10256,동매역
7,10122,삼진냉장
8,10121,무지개아파트
9,10118,동성화학
10,10116,신평역
11,10114,신남초등학교
12,10110,하남초등학교
13,10108,가락타운2.3단지
14,10103,강변아파트
15,10101,가락타운104동
16,10098,가락타운115동
17,15199,엄궁한신1차아파트
18,15200,엄궁동주민센터
19,15187,엄궁삼거리
20,15179,엄궁정비
21,15180,감전동이마트
22,15181,샤니케익
23,15144,감전동
24,15285,부산전문장례식장
25,15086,감전동수문앞
26,15084,산업용품상가
27,15068,르네시떼
28,15064,동원아파트앞
29,15062,삼락생태공원
30,15277,한신아파트 2차
31,15063,한신아파트 1차
32,15067,사상초등학교
33,15072,서부시외버스터미널(사상역)
34,15255,사상우체국
35,15082,삼대한의원
36,15097,북부산세무서(감전역)
37,15284,온골마을입구
38,15122,주례1동주민센터
39,15118,럭키아파트(주례역)
40,15115,좋은삼선병원
41,15113,경남정보대(냉정역)
42,05112,냉정고개
43,05146,개금역.개금초등학교
44,05147,개금3동주민센터
45,05148,한국신발관
46,05149,개포초등학교
47,05150,개금주공아파트
48,05152,당평초등학교
50,05154,당감1치안센터
51,05158,진양교차로
52,05193,부암역.당감입구
53,05321,롯데호텔백화점(서면역)
54,05277,서면부속상가
55,05253,NC서면점
56,05257,전포사거리
57,05259,경남공고(전포역)
58,07034,문전교차로
59,07168,국제금융센터(부산은행역)
60,07035,성동초등학교후문
61,07080,7부두
62,07081,남부중앙새마을금고
63,07076,우암초등학교
64,07210,우암뉴서울아파트
65,07211,성지고등학교
66,07212,동림맨션
67,07213,부산공고
68,07190,시립박물관.부산문화회관
69,07108,유엔공원.부산문화회관
70,07177,석포여중
71,07111,한신문화타운
72,07112,동명대학교후문
73,07114,부경대용당캠퍼스
74,07193,용당동
75,07192,신선대CNG충전소
76,07194,용당동
77,07115,부경대용당캠퍼스
78,07216,동명대학교후문
79,07110,한신문화타운
80,07176,석포여중
81,07109,유엔공원.부산문화회관
82,07191,시립박물관.부산문화회관
83,07068,부산공고
84,07070,동림맨션
85,07071,성지고등학교
86,07074,우암뉴서울아파트
87,07075,우암초등학교
88,07077,남부중앙새마을금고
89,07079,7부두
90,07045,문현교차로
91,07036,성동초등학교후문
92,07067,국제금융센터(부산은행역)
93,07043,문전교차로
94,05356,경남공고(전포역)
95,05357,전포사거리
96,05358,NC서면점
97,05190,롯데호텔백화점(서면역)
98,05192,부암역.당감입구
99,05340,진양교차로
100,05155,당감1치안센터
102,05153,당평초등학교
103,05292,당감3동우체국
104,05101,개금주공아파트
105,05102,개포초등학교
106,05103,한국신발관
107,05104,개금3동주민센터
108,05108,개금역.개금초등학교
109,05110,냉정고개
110,15111,경남정보대(냉정역)
111,15117,럭키아파트(주례역)
112,15121,주례1동주민센터
113,15283,온골마을입구
114,15098,북부산세무서(감전역)
115,15081,삼대한의원
116,15254,사상우체국
117,15073,서부시외버스터미널(사상역)
118,15069,르네시떼
119,15085,감전동수문앞
121,15143,감전동
122,15182,샤니케익
123,15183,감전동이마트
124,15184,엄궁정비
125,15185,중고차매매시장
126,15188,엄궁삼거리
127,15201,엄궁동주민센터
128,15198,엄궁한신1차아파트
129,10075,하단SK뷰아파트앞
130,10099,가락타운115동
131,10100,가락타운104동
132,10102,강변아파트
133,10109,가락타운2.3단지
134,10111,하남초등학교
135,10112,신남초등학교
136,10115,신평역
137,10119,동성화학
138,10120,무지개아파트
139,10123,삼진냉장
140,10129,동매역
141,10131,신평시장
142,10132,사하경찰서
143,10137,장림
144,10230,대동중고등학교
145,10280,구평e편한세상입구
146,10278,구평동주민센터
147,10140,제일제당
