0,1,2,3,4
BusStop_No,BusStop_Name,Bus_No,Predict_Arrive,Current_Time
09727,운촌,40,15분,2020/06/07 17:01:41
09723,동백역,40,16분,2020/06/07 17:01:43
09721,부산문화여고,40,1분,2020/06/07 17:01:45
09719,올림픽교차로,40,2분,2020/06/07 17:01:47
09717,벡스코 시립미술관,40,3분,2020/06/07 17:01:48
09259,센텀시티역 벡스코,40,5분,2020/06/07 17:01:50
09138,신세계센텀시티,40,6분,2020/06/07 17:01:52
14030,수영현대아파트(민락역),40,9분,2020/06/07 17:01:54
14046,수영교차로(수영역),40,11분,2020/06/07 17:01:55
14056,수영구보건소,40,14분,2020/06/07 17:01:57
14059,광안역,40,,2020/06/07 17:01:59
14071,수영중학교,40,2분,2020/06/07 17:02:01
14074,금련산역,40,3분,2020/06/07 17:02:02
14080,금련산청소년수련원,40,4분,2020/06/07 17:02:04
14087,대남교차로(남천역),40,7분,2020/06/07 17:02:06
07006,경성대 부경대역,40,8분,2020/06/07 17:02:08
07013,경성대학교,40,,2020/06/07 17:02:09
07016,대연동제일은행,40,1분,2020/06/07 17:02:11
07063,못골시장,40,3분,2020/06/07 17:02:13
07165,남구청(못골역),40,4분,2020/06/07 17:02:15
07058,대연고개,40,5분,2020/06/07 17:02:16
07053,지게골역,40,6분,2020/06/07 17:02:18
07047,문현교차로,40,8분,2020/06/07 17:02:20
03143,자성대,40,10분,2020/06/07 17:02:21
03134,부산진시장,40,12분,2020/06/07 17:02:23
03108,부산진역,40,15분,2020/06/07 17:02:25
03097,YMCA,40,17분,2020/06/07 17:02:26
03089,초량역,40,17분,2020/06/07 17:02:28
03058,부산역,40,1분,2020/06/07 17:02:30
01033,영주동,40,4분,2020/06/07 17:02:31
01042,중앙동(중앙역),40,5분,2020/06/07 17:02:33
01047,제일은행앞,40,6분,2020/06/07 17:02:35
01097,국제시장,40,8분,2020/06/07 17:02:36
01112,보수동책방골목,40,9분,2020/06/07 17:02:38
01090,보수사거리,40,10분,2020/06/07 17:02:40
02061,영락교회,40,11분,2020/06/07 17:02:41
02058,동아대부민캠퍼스,40,12분,2020/06/07 17:02:43
02053,서부교회,40,13분,2020/06/07 17:02:45
02062,영락교회,40,5분,2020/06/07 17:02:46
01091,보수사거리,40,6분,2020/06/07 17:02:48
01111,보수동책방골목,40,7분,2020/06/07 17:02:50
01093,국제시장,40,8분,2020/06/07 17:02:51
01096,국제시장.부산근대역사관,40,9분,2020/06/07 17:02:53
01041,중앙동(중앙역),40,11분,2020/06/07 17:02:55
01032,영주동,40,12분,2020/06/07 17:02:56
03063,부산역,40,,2020/06/07 17:02:58
03092,초량역,40,4분,2020/06/07 17:03:00
03096,YMCA,40,4분,2020/06/07 17:03:01
03122,부산진역,40,6분,2020/06/07 17:03:03
03132,부산진시장,40,9분,2020/06/07 17:03:05
03148,범일역,40,,2020/06/07 17:03:06
03149,자유시장,40,1분,2020/06/07 17:03:08
03144,시민회관,40,2분,2020/06/07 17:03:10
07051,문현교차로,40,5분,2020/06/07 17:03:12
07052,지게골역,40,6분,2020/06/07 17:03:13
07231,대연고개,40,7분,2020/06/07 17:03:15
07164,남구청(못골역),40,8분,2020/06/07 17:03:17
07061,못골시장,40,10분,2020/06/07 17:03:19
07015,대연동제일은행,40,11분,2020/06/07 17:03:20
07014,경성대학교,40,1분,2020/06/07 17:03:22
07007,경성대 부경대역,40,2분,2020/06/07 17:03:23
14083,남천역,40,5분,2020/06/07 17:03:25
14082,금련산청소년수련원,40,7분,2020/06/07 17:03:27
14072,광안2동우편취급국,40,9분,2020/06/07 17:03:29
14070,수영중학교,40,9분,2020/06/07 17:03:31
14061,광안역,40,11분,2020/06/07 17:03:32
14053,수영역,40,1분,2020/06/07 17:03:34
14094,수영교차로(수영역),40,3분,2020/06/07 17:03:36
14031,수영현대아파트(민락역),40,5분,2020/06/07 17:03:38
09137,신세계센텀시티,40,7분,2020/06/07 17:03:39
09136,센텀시티역 벡스코,40,9분,2020/06/07 17:03:41
09718,올림픽교차로 환승센터,40,14분,2020/06/07 17:03:43
09720,올림픽교차로,40,16분,2020/06/07 17:03:44
09722,부산문화여고,40,,2020/06/07 17:03:46
09724,동백역,40,1분,2020/06/07 17:03:48
09728,운촌,40,1분,2020/06/07 17:03:50
09101,신동아아파트,40,4분,2020/06/07 17:03:51
09098,우1치안센터,40,5분,2020/06/07 17:03:53
09095,해운대관광고등학교,40,5분,2020/06/07 17:03:55
09092,우일시장,40,7분,2020/06/07 17:03:56
09253,해운대구청어귀삼거리,40,9분,2020/06/07 17:03:58
09091,건널목삼거리,40,10분,2020/06/07 17:03:59
09078,해운대고교,40,1분,2020/06/07 17:04:01
09067,부대앞,40,2분,2020/06/07 17:04:03
09069,양운초등학교,40,3분,2020/06/07 17:04:04
09064,대림3차아파트,40,4분,2020/06/07 17:04:06
09055,대림1차아파트,40,5분,2020/06/07 17:04:08
09052,대동상가,40,6분,2020/06/07 17:04:09
09048,동부아파트,40,,2020/06/07 17:04:11
09045,동신아파트,40,1분,2020/06/07 17:04:13
09043,부흥고 해운대백병원,40,2분,2020/06/07 17:04:14
09258,대우2차아파트,40,3분,2020/06/07 17:04:16
09011,송정1단지주공,40,7분,2020/06/07 17:04:18
09049,송정해수욕장입구,40,7분,2020/06/07 17:04:19
09007,동해선 송정역,40,8분,2020/06/07 17:04:21
09727,운촌,40,14분,2020/06/07 17:04:23
09723,동백역,40,15분,2020/06/07 17:04:24
09721,부산문화여고,40,1분,2020/06/07 17:04:26
09719,올림픽교차로,40,2분,2020/06/07 17:04:28
09717,벡스코 시립미술관,40,3분,2020/06/07 17:04:29
09259,센텀시티역 벡스코,40,5분,2020/06/07 17:04:31
09138,신세계센텀시티,40,6분,2020/06/07 17:04:32
14030,수영현대아파트(민락역),40,9분,2020/06/07 17:04:34
14046,수영교차로(수영역),40,11분,2020/06/07 17:04:35
14056,수영구보건소,40,14분,2020/06/07 17:04:37
14059,광안역,40,15분,2020/06/07 17:04:39
14071,수영중학교,40,17분,2020/06/07 17:04:40
14074,금련산역,40,1분,2020/06/07 17:04:42
14080,금련산청소년수련원,40,2분,2020/06/07 17:04:44
14087,대남교차로(남천역),40,5분,2020/06/07 17:04:45
07006,경성대 부경대역,40,6분,2020/06/07 17:04:47
07013,경성대학교,40,8분,2020/06/07 17:04:49
07016,대연동제일은행,40,8분,2020/06/07 17:04:50
07063,못골시장,40,,2020/06/07 17:04:52
07165,남구청(못골역),40,1분,2020/06/07 17:04:53
07058,대연고개,40,2분,2020/06/07 17:04:55
07053,지게골역,40,3분,2020/06/07 17:04:56
07047,문현교차로,40,5분,2020/06/07 17:04:58
03143,자성대,40,7분,2020/06/07 17:04:59
03134,부산진시장,40,9분,2020/06/07 17:05:01
03108,부산진역,40,12분,2020/06/07 17:05:03
03097,YMCA,40,13분,2020/06/07 17:05:04
03089,초량역,40,14분,2020/06/07 17:05:06
03058,부산역,40,16분,2020/06/07 17:05:07
01033,영주동,40,,2020/06/07 17:05:09
01042,중앙동(중앙역),40,1분,2020/06/07 17:05:10
01047,제일은행앞,40,2분,2020/06/07 17:05:12
01097,국제시장,40,4분,2020/06/07 17:05:13
01112,보수동책방골목,40,5분,2020/06/07 17:05:15
01090,보수사거리,40,7분,2020/06/07 17:05:16
02061,영락교회,40,8분,2020/06/07 17:05:18
02058,동아대부민캠퍼스,40,9분,2020/06/07 17:05:19
