0,1,2,3,4
BusStop_No,BusStop_Name,Bus_No,Predict_Arrive,Current_Time
07079,7부두,68,1분,2020/06/07 07:01:44
07045,문현교차로,68,3분,2020/06/07 07:01:46
03145,시민회관,68,2분,2020/06/07 07:01:47
03150,자유시장,68,2분,2020/06/07 07:01:49
05221,중앙시장,68,4분,2020/06/07 07:01:51
05227,범내골역,68,5분,2020/06/07 07:01:52
05712,서면한전,68,7분,2020/06/07 07:01:54
05710,서면역.서면지하상가,68,8분,2020/06/07 07:01:55
05190,롯데호텔백화점(서면역),68,3분,2020/06/07 07:01:57
05194,부암역,68,,2020/06/07 07:01:59
05268,가야시장(가야역),68,1분,2020/06/07 07:02:01
05069,가야1치안센터,68,3분,2020/06/07 07:02:02
05109,가야전신전화국,68,5분,2020/06/07 07:02:04
05283,개금삼거리,68,5분,2020/06/07 07:02:06
05345,개금역,68,1분,2020/06/07 07:02:08
05110,냉정고개,68,2분,2020/06/07 07:02:09
15111,경남정보대(냉정역),68,2분,2020/06/07 07:02:11
15116,럭키아파트(주례역),68,4분,2020/06/07 07:02:13
15125,주례사거리,68,,2020/06/07 07:02:14
15151,부산구치소,68,1분,2020/06/07 07:02:16
15153,학장,68,2분,2020/06/07 07:02:18
15163,학장교차로,68,2분,2020/06/07 07:02:19
15166,학장교,68,4분,2020/06/07 07:02:21
15167,학장중학교,68,4분,2020/06/07 07:02:23
15173,반도보라아파트,68,6분,2020/06/07 07:02:24
15176,엄궁중학교,68,7분,2020/06/07 07:02:26
15216,엄궁럭키아파트,68,8분,2020/06/07 07:02:28
15188,엄궁삼거리,68,9분,2020/06/07 07:02:29
15201,엄궁동주민센터,68,10분,2020/06/07 07:02:31
15198,엄궁한신1차아파트,68,,2020/06/07 07:02:33
10075,하단SK뷰아파트앞,68,2분,2020/06/07 07:02:35
10088,동아대입구,68,4분,2020/06/07 07:02:37
10084,에덴공원,68,5분,2020/06/07 07:02:38
10232,하단교차로,68,7분,2020/06/07 07:02:40
10077,하단역,68,,2020/06/07 07:02:42
10078,하단역,68,2분,2020/06/07 07:02:44
10081,하단교차로,68,6분,2020/06/07 07:02:46
10087,에덴공원,68,8분,2020/06/07 07:02:47
10092,동아대입구,68,8분,2020/06/07 07:02:49
10093,동산삼거리,68,9분,2020/06/07 07:02:51
15199,엄궁한신1차아파트,68,12분,2020/06/07 07:02:53
15200,엄궁동주민센터,68,13분,2020/06/07 07:02:55
15189,엄궁시장,68,14분,2020/06/07 07:02:56
15196,엄궁사거리,68,15분,2020/06/07 07:02:58
15186,엄궁럭키아파트,68,,2020/06/07 07:03:00
15175,엄궁중학교,68,1분,2020/06/07 07:03:02
15174,반도보라아파트,68,2분,2020/06/07 07:03:03
15168,학장중학교,68,3분,2020/06/07 07:03:05
15165,학장교,68,4분,2020/06/07 07:03:07
15164,학장교차로,68,,2020/06/07 07:03:08
15154,동양아파트,68,2분,2020/06/07 07:03:10
15152,부산구치소,68,4분,2020/06/07 07:03:12
15124,주례사거리,68,5분,2020/06/07 07:03:13
15118,럭키아파트(주례역),68,6분,2020/06/07 07:03:15
15115,좋은삼선병원,68,8분,2020/06/07 07:03:16
15113,경남정보대(냉정역),68,9분,2020/06/07 07:03:18
05112,냉정고개,68,10분,2020/06/07 07:03:19
05343,개금역,68,1분,2020/06/07 07:03:21
05144,개금삼거리,68,2분,2020/06/07 07:03:23
05060,동의대학교입구(동의대역),68,3분,2020/06/07 07:03:24
05006,가야1치안센터,68,5분,2020/06/07 07:03:26
05269,가야시장(가야역),68,6분,2020/06/07 07:03:28
05195,부암역,68,7분,2020/06/07 07:03:30
05319,롯데호텔백화점(서면역),68,9분,2020/06/07 07:03:31
05236,서면시장,68,,2020/06/07 07:03:33
05234,서면복개로,68,1분,2020/06/07 07:03:35
05230,부산진초등학교,68,3분,2020/06/07 07:03:36
05215,중앙시장,68,5분,2020/06/07 07:03:38
03149,자유시장,68,7분,2020/06/07 07:03:40
07079,7부두,68,5분,2020/06/07 07:03:41
07045,문현교차로,68,1분,2020/06/07 07:03:43
03145,시민회관,68,4분,2020/06/07 07:03:44
