0,1,2,3,4
BusStop_No,BusStop_Name,Bus_No,Predict_Arrive,Current_Time
15072,서부시외버스터미널(사상역),138-1,3분,2020/06/03 07:00:27
15255,사상우체국,138-1,4분,2020/06/03 07:00:28
15082,삼대한의원,138-1,5분,2020/06/03 07:00:30
15097,북부산세무서(감전역),138-1,7분,2020/06/03 07:00:32
15284,온골마을입구,138-1,7분,2020/06/03 07:00:33
15122,주례1동주민센터,138-1,8분,2020/06/03 07:00:35
15118,럭키아파트(주례역),138-1,10분,2020/06/03 07:00:37
15115,좋은삼선병원,138-1,12분,2020/06/03 07:00:38
15113,경남정보대(냉정역),138-1,13분,2020/06/03 07:00:40
05112,냉정고개,138-1,14분,2020/06/03 07:00:42
05146,개금역.개금초등학교,138-1,1분,2020/06/03 07:00:43
05147,개금3동주민센터,138-1,1분,2020/06/03 07:00:45
05148,한국신발관,138-1,2분,2020/06/03 07:00:46
05149,개포초등학교,138-1,3분,2020/06/03 07:00:48
05150,개금주공아파트,138-1,4분,2020/06/03 07:00:50
05152,당평초등학교,138-1,5분,2020/06/03 07:00:51
05154,당감1치안센터,138-1,6분,2020/06/03 07:00:53
05158,진양교차로,138-1,8분,2020/06/03 07:00:54
05193,부암역.당감입구,138-1,10분,2020/06/03 07:00:56
05321,롯데호텔백화점(서면역),138-1,13분,2020/06/03 07:00:58
05277,서면부속상가,138-1,1분,2020/06/03 07:00:59
05253,NC서면점,138-1,2분,2020/06/03 07:01:01
05257,전포사거리,138-1,4분,2020/06/03 07:01:02
05259,경남공고(전포역),138-1,5분,2020/06/03 07:01:04
07034,문전교차로,138-1,7분,2020/06/03 07:01:05
07168,국제금융센터(부산은행역),138-1,8분,2020/06/03 07:01:07
07035,성동초등학교후문,138-1,9분,2020/06/03 07:01:09
07067,국제금융센터(부산은행역),138-1,5분,2020/06/03 07:01:10
07043,문전교차로,138-1,5분,2020/06/03 07:01:12
05356,경남공고(전포역),138-1,8분,2020/06/03 07:01:13
05357,전포사거리,138-1,9분,2020/06/03 07:01:15
05358,NC서면점,138-1,12분,2020/06/03 07:01:16
05190,롯데호텔백화점(서면역),138-1,18분,2020/06/03 07:01:18
05192,부암역.당감입구,138-1,20분,2020/06/03 07:01:20
05340,진양교차로,138-1,22분,2020/06/03 07:01:21
05155,당감1치안센터,138-1,,2020/06/03 07:01:23
05153,당평초등학교,138-1,2분,2020/06/03 07:01:24
05292,당감3동우체국,138-1,3분,2020/06/03 07:01:26
05101,개금주공아파트,138-1,3분,2020/06/03 07:01:28
05102,개포초등학교,138-1,4분,2020/06/03 07:01:29
05103,한국신발관,138-1,6분,2020/06/03 07:01:31
05104,개금3동주민센터,138-1,7분,2020/06/03 07:01:32
05108,개금역.개금초등학교,138-1,8분,2020/06/03 07:01:34
05110,냉정고개,138-1,9분,2020/06/03 07:01:36
15111,경남정보대(냉정역),138-1,9분,2020/06/03 07:01:37
15117,럭키아파트(주례역),138-1,11분,2020/06/03 07:01:39
15121,주례1동주민센터,138-1,13분,2020/06/03 07:01:41
15283,온골마을입구,138-1,13분,2020/06/03 07:01:42
15098,북부산세무서(감전역),138-1,14분,2020/06/03 07:01:44
15081,삼대한의원,138-1,15분,2020/06/03 07:01:46
15254,사상우체국,138-1,,2020/06/03 07:01:47
15073,서부시외버스터미널(사상역),138-1,5분,2020/06/03 07:01:49
15069,르네시떼,138-1,8분,2020/06/03 07:01:51
15085,감전동수문앞,138-1,10분,2020/06/03 07:01:52
15143,감전동,138-1,12분,2020/06/03 07:01:54
15072,서부시외버스터미널(사상역),138-1,2분,2020/06/03 07:01:55
15255,사상우체국,138-1,3분,2020/06/03 07:01:57
15082,삼대한의원,138-1,4분,2020/06/03 07:01:58
15097,북부산세무서(감전역),138-1,6분,2020/06/03 07:02:00
15284,온골마을입구,138-1,7분,2020/06/03 07:02:01
15122,주례1동주민센터,138-1,7분,2020/06/03 07:02:03
15118,럭키아파트(주례역),138-1,10분,2020/06/03 07:02:05
15115,좋은삼선병원,138-1,11분,2020/06/03 07:02:06
15113,경남정보대(냉정역),138-1,13분,2020/06/03 07:02:08
05112,냉정고개,138-1,13분,2020/06/03 07:02:09
05146,개금역.개금초등학교,138-1,15분,2020/06/03 07:02:11
05147,개금3동주민센터,138-1,15분,2020/06/03 07:02:12
05148,한국신발관,138-1,,2020/06/03 07:02:14
05149,개포초등학교,138-1,1분,2020/06/03 07:02:15
05150,개금주공아파트,138-1,1분,2020/06/03 07:02:17
05152,당평초등학교,138-1,3분,2020/06/03 07:02:18
05154,당감1치안센터,138-1,4분,2020/06/03 07:02:20
05158,진양교차로,138-1,6분,2020/06/03 07:02:21
05193,부암역.당감입구,138-1,8분,2020/06/03 07:02:23
05321,롯데호텔백화점(서면역),138-1,11분,2020/06/03 07:02:24
05277,서면부속상가,138-1,13분,2020/06/03 07:02:26
05253,NC서면점,138-1,14분,2020/06/03 07:02:27
05257,전포사거리,138-1,1분,2020/06/03 07:02:29
05259,경남공고(전포역),138-1,2분,2020/06/03 07:02:30
07034,문전교차로,138-1,4분,2020/06/03 07:02:32
07168,국제금융센터(부산은행역),138-1,5분,2020/06/03 07:02:33
07035,성동초등학교후문,138-1,5분,2020/06/03 07:02:35
07067,국제금융센터(부산은행역),138-1,3분,2020/06/03 07:02:36
07043,문전교차로,138-1,4분,2020/06/03 07:02:37
05356,경남공고(전포역),138-1,6분,2020/06/03 07:02:39
05357,전포사거리,138-1,7분,2020/06/03 07:02:40
05358,NC서면점,138-1,10분,2020/06/03 07:02:42
05190,롯데호텔백화점(서면역),138-1,17분,2020/06/03 07:02:43
05192,부암역.당감입구,138-1,18분,2020/06/03 07:02:45
05340,진양교차로,138-1,21분,2020/06/03 07:02:46
05155,당감1치안센터,138-1,22분,2020/06/03 07:02:48
05153,당평초등학교,138-1,,2020/06/03 07:02:49
05292,당감3동우체국,138-1,1분,2020/06/03 07:02:51
05101,개금주공아파트,138-1,2분,2020/06/03 07:02:52
05102,개포초등학교,138-1,3분,2020/06/03 07:02:54
05103,한국신발관,138-1,5분,2020/06/03 07:02:55
05104,개금3동주민센터,138-1,5분,2020/06/03 07:02:57
05108,개금역.개금초등학교,138-1,6분,2020/06/03 07:02:58
05110,냉정고개,138-1,8분,2020/06/03 07:03:00
15111,경남정보대(냉정역),138-1,8분,2020/06/03 07:03:02
15117,럭키아파트(주례역),138-1,10분,2020/06/03 07:03:03
15121,주례1동주민센터,138-1,11분,2020/06/03 07:03:05
15283,온골마을입구,138-1,12분,2020/06/03 07:03:06
15098,북부산세무서(감전역),138-1,13분,2020/06/03 07:03:08
15081,삼대한의원,138-1,14분,2020/06/03 07:03:09
15254,사상우체국,138-1,14분,2020/06/03 07:03:11
15073,서부시외버스터미널(사상역),138-1,4분,2020/06/03 07:03:13
15069,르네시떼,138-1,7분,2020/06/03 07:03:14
15085,감전동수문앞,138-1,10분,2020/06/03 07:03:16
15143,감전동,138-1,11분,2020/06/03 07:03:17
15072,서부시외버스터미널(사상역),138-1,,2020/06/03 07:03:19
15255,사상우체국,138-1,2분,2020/06/03 07:03:20
15082,삼대한의원,138-1,2분,2020/06/03 07:03:22
15097,북부산세무서(감전역),138-1,4분,2020/06/03 07:03:23
15284,온골마을입구,138-1,5분,2020/06/03 07:03:25
15122,주례1동주민센터,138-1,6분,2020/06/03 07:03:26
15118,럭키아파트(주례역),138-1,8분,2020/06/03 07:03:28
15115,좋은삼선병원,138-1,10분,2020/06/03 07:03:30
15113,경남정보대(냉정역),138-1,11분,2020/06/03 07:03:31
05112,냉정고개,138-1,12분,2020/06/03 07:03:33
05146,개금역.개금초등학교,138-1,13분,2020/06/03 07:03:34
05147,개금3동주민센터,138-1,14분,2020/06/03 07:03:36
05148,한국신발관,138-1,14분,2020/06/03 07:03:37
05149,개포초등학교,138-1,15분,2020/06/03 07:03:39
05150,개금주공아파트,138-1,,2020/06/03 07:03:40
05152,당평초등학교,138-1,2분,2020/06/03 07:03:42
05154,당감1치안센터,138-1,3분,2020/06/03 07:03:43
05158,진양교차로,138-1,4분,2020/06/03 07:03:45
05193,부암역.당감입구,138-1,6분,2020/06/03 07:03:46
05321,롯데호텔백화점(서면역),138-1,9분,2020/06/03 07:03:48
05277,서면부속상가,138-1,11분,2020/06/03 07:03:49
05253,NC서면점,138-1,12분,2020/06/03 07:03:51
05257,전포사거리,138-1,13분,2020/06/03 07:03:52
05259,경남공고(전포역),138-1,14분,2020/06/03 07:03:54
07034,문전교차로,138-1,2분,2020/06/03 07:03:55
07168,국제금융센터(부산은행역),138-1,2분,2020/06/03 07:03:57
07035,성동초등학교후문,138-1,4분,2020/06/03 07:03:58
07067,국제금융센터(부산은행역),138-1,2분,2020/06/03 07:04:00
07043,문전교차로,138-1,3분,2020/06/03 07:04:01
05356,경남공고(전포역),138-1,5분,2020/06/03 07:04:02
05357,전포사거리,138-1,6분,2020/06/03 07:04:04
05358,NC서면점,138-1,9분,2020/06/03 07:04:05
05190,롯데호텔백화점(서면역),138-1,16분,2020/06/03 07:04:07
05192,부암역.당감입구,138-1,17분,2020/06/03 07:04:08
05340,진양교차로,138-1,20분,2020/06/03 07:04:10
05155,당감1치안센터,138-1,20분,2020/06/03 07:04:11
05153,당평초등학교,138-1,22분,2020/06/03 07:04:13
05292,당감3동우체국,138-1,,2020/06/03 07:04:14
05101,개금주공아파트,138-1,2분,2020/06/03 07:04:16
05102,개포초등학교,138-1,2분,2020/06/03 07:04:17
05103,한국신발관,138-1,4분,2020/06/03 07:04:19
