0,1,2,3,4
BusStop_No,BusStop_Name,Bus_No,Predict_Arrive,Current_Time
15072,서부시외버스터미널(사상역),138-1,13분,2020/06/07 17:01:21
15255,사상우체국,138-1,15분,2020/06/07 17:01:22
15082,삼대한의원,138-1,16분,2020/06/07 17:01:24
15097,북부산세무서(감전역),138-1,18분,2020/06/07 17:01:26
15284,온골마을입구,138-1,18분,2020/06/07 17:01:28
15122,주례1동주민센터,138-1,19분,2020/06/07 17:01:29
15118,럭키아파트(주례역),138-1,22분,2020/06/07 17:01:31
15115,좋은삼선병원,138-1,23분,2020/06/07 17:01:33
15113,경남정보대(냉정역),138-1,24분,2020/06/07 17:01:35
05112,냉정고개,138-1,25분,2020/06/07 17:01:37
05146,개금역.개금초등학교,138-1,27분,2020/06/07 17:01:38
05147,개금3동주민센터,138-1,27분,2020/06/07 17:01:40
05148,한국신발관,138-1,28분,2020/06/07 17:01:42
05149,개포초등학교,138-1,29분,2020/06/07 17:01:44
05150,개금주공아파트,138-1,30분,2020/06/07 17:01:45
05152,당평초등학교,138-1,31분,2020/06/07 17:01:47
05154,당감1치안센터,138-1,32분,2020/06/07 17:01:49
05158,진양교차로,138-1,1분,2020/06/07 17:01:50
05193,부암역.당감입구,138-1,3분,2020/06/07 17:01:52
05321,롯데호텔백화점(서면역),138-1,6분,2020/06/07 17:01:54
05277,서면부속상가,138-1,8분,2020/06/07 17:01:56
05253,NC서면점,138-1,9분,2020/06/07 17:01:57
05257,전포사거리,138-1,11분,2020/06/07 17:01:59
05259,경남공고(전포역),138-1,12분,2020/06/07 17:02:00
07034,문전교차로,138-1,14분,2020/06/07 17:02:02
07168,국제금융센터(부산은행역),138-1,15분,2020/06/07 17:02:04
07035,성동초등학교후문,138-1,16분,2020/06/07 17:02:05
07067,국제금융센터(부산은행역),138-1,20분,2020/06/07 17:02:07
07043,문전교차로,138-1,20분,2020/06/07 17:02:09
05356,경남공고(전포역),138-1,23분,2020/06/07 17:02:10
05357,전포사거리,138-1,24분,2020/06/07 17:02:12
05358,NC서면점,138-1,27분,2020/06/07 17:02:14
05190,롯데호텔백화점(서면역),138-1,5분,2020/06/07 17:02:15
05192,부암역.당감입구,138-1,6분,2020/06/07 17:02:17
05340,진양교차로,138-1,8분,2020/06/07 17:02:19
05155,당감1치안센터,138-1,9분,2020/06/07 17:02:20
05153,당평초등학교,138-1,11분,2020/06/07 17:02:22
05292,당감3동우체국,138-1,12분,2020/06/07 17:02:24
05101,개금주공아파트,138-1,13분,2020/06/07 17:02:26
05102,개포초등학교,138-1,14분,2020/06/07 17:02:27
05103,한국신발관,138-1,16분,2020/06/07 17:02:29
05104,개금3동주민센터,138-1,17분,2020/06/07 17:02:31
05108,개금역.개금초등학교,138-1,18분,2020/06/07 17:02:32
05110,냉정고개,138-1,19분,2020/06/07 17:02:34
15111,경남정보대(냉정역),138-1,20분,2020/06/07 17:02:35
15117,럭키아파트(주례역),138-1,21분,2020/06/07 17:02:37
15121,주례1동주민센터,138-1,23분,2020/06/07 17:02:39
15283,온골마을입구,138-1,23분,2020/06/07 17:02:41
15098,북부산세무서(감전역),138-1,24분,2020/06/07 17:02:42
15081,삼대한의원,138-1,1분,2020/06/07 17:02:44
15254,사상우체국,138-1,2분,2020/06/07 17:02:46
15073,서부시외버스터미널(사상역),138-1,6분,2020/06/07 17:02:48
15069,르네시떼,138-1,10분,2020/06/07 17:02:50
15085,감전동수문앞,138-1,12분,2020/06/07 17:02:51
15143,감전동,138-1,13분,2020/06/07 17:02:53
15072,서부시외버스터미널(사상역),138-1,13분,2020/06/07 17:02:55
15255,사상우체국,138-1,14분,2020/06/07 17:02:56
15082,삼대한의원,138-1,15분,2020/06/07 17:02:58
15097,북부산세무서(감전역),138-1,17분,2020/06/07 17:02:59
15284,온골마을입구,138-1,18분,2020/06/07 17:03:01
15122,주례1동주민센터,138-1,18분,2020/06/07 17:03:02
15118,럭키아파트(주례역),138-1,20분,2020/06/07 17:03:04
15115,좋은삼선병원,138-1,21분,2020/06/07 17:03:06
15113,경남정보대(냉정역),138-1,23분,2020/06/07 17:03:07
05112,냉정고개,138-1,24분,2020/06/07 17:03:09
05146,개금역.개금초등학교,138-1,25분,2020/06/07 17:03:10
05147,개금3동주민센터,138-1,26분,2020/06/07 17:03:12
05148,한국신발관,138-1,26분,2020/06/07 17:03:13
05149,개포초등학교,138-1,27분,2020/06/07 17:03:15
05150,개금주공아파트,138-1,28분,2020/06/07 17:03:17
05152,당평초등학교,138-1,29분,2020/06/07 17:03:18
05154,당감1치안센터,138-1,30분,2020/06/07 17:03:20
05158,진양교차로,138-1,32분,2020/06/07 17:03:21
05193,부암역.당감입구,138-1,2분,2020/06/07 17:03:23
05321,롯데호텔백화점(서면역),138-1,5분,2020/06/07 17:03:24
05277,서면부속상가,138-1,7분,2020/06/07 17:03:26
05253,NC서면점,138-1,8분,2020/06/07 17:03:28
05257,전포사거리,138-1,10분,2020/06/07 17:03:29
05259,경남공고(전포역),138-1,11분,2020/06/07 17:03:31
07034,문전교차로,138-1,13분,2020/06/07 17:03:32
07168,국제금융센터(부산은행역),138-1,12분,2020/06/07 17:03:34
07035,성동초등학교후문,138-1,13분,2020/06/07 17:03:35
07067,국제금융센터(부산은행역),138-1,20분,2020/06/07 17:03:37
07043,문전교차로,138-1,20분,2020/06/07 17:03:39
05356,경남공고(전포역),138-1,23분,2020/06/07 17:03:40
05357,전포사거리,138-1,24분,2020/06/07 17:03:42
05358,NC서면점,138-1,27분,2020/06/07 17:03:44
05190,롯데호텔백화점(서면역),138-1,1분,2020/06/07 17:03:45
05192,부암역.당감입구,138-1,3분,2020/06/07 17:03:47
05340,진양교차로,138-1,5분,2020/06/07 17:03:48
05155,당감1치안센터,138-1,6분,2020/06/07 17:03:50
05153,당평초등학교,138-1,6분,2020/06/07 17:03:51
05292,당감3동우체국,138-1,7분,2020/06/07 17:03:53
05101,개금주공아파트,138-1,8분,2020/06/07 17:03:54
05102,개포초등학교,138-1,9분,2020/06/07 17:03:56
05103,한국신발관,138-1,11분,2020/06/07 17:03:58
05104,개금3동주민센터,138-1,12분,2020/06/07 17:03:59
05108,개금역.개금초등학교,138-1,13분,2020/06/07 17:04:01
05110,냉정고개,138-1,14분,2020/06/07 17:04:02
15111,경남정보대(냉정역),138-1,15분,2020/06/07 17:04:04
15117,럭키아파트(주례역),138-1,16분,2020/06/07 17:04:05
15121,주례1동주민센터,138-1,18분,2020/06/07 17:04:07
15283,온골마을입구,138-1,18분,2020/06/07 17:04:09
15098,북부산세무서(감전역),138-1,19분,2020/06/07 17:04:10
15081,삼대한의원,138-1,21분,2020/06/07 17:04:12
15254,사상우체국,138-1,21분,2020/06/07 17:04:14
15073,서부시외버스터미널(사상역),138-1,4분,2020/06/07 17:04:15
15069,르네시떼,138-1,8분,2020/06/07 17:04:17
15085,감전동수문앞,138-1,10분,2020/06/07 17:04:18
15143,감전동,138-1,11분,2020/06/07 17:04:20
15072,서부시외버스터미널(사상역),138-1,10분,2020/06/07 17:04:22
15255,사상우체국,138-1,11분,2020/06/07 17:04:23
15082,삼대한의원,138-1,12분,2020/06/07 17:04:25
15097,북부산세무서(감전역),138-1,14분,2020/06/07 17:04:26
15284,온골마을입구,138-1,15분,2020/06/07 17:04:28
15122,주례1동주민센터,138-1,15분,2020/06/07 17:04:30
15118,럭키아파트(주례역),138-1,17분,2020/06/07 17:04:31
15115,좋은삼선병원,138-1,19분,2020/06/07 17:04:33
15113,경남정보대(냉정역),138-1,20분,2020/06/07 17:04:35
05112,냉정고개,138-1,21분,2020/06/07 17:04:36
05146,개금역.개금초등학교,138-1,22분,2020/06/07 17:04:38
05147,개금3동주민센터,138-1,23분,2020/06/07 17:04:39
05148,한국신발관,138-1,24분,2020/06/07 17:04:41
05149,개포초등학교,138-1,25분,2020/06/07 17:04:42
05150,개금주공아파트,138-1,25분,2020/06/07 17:04:44
05152,당평초등학교,138-1,27분,2020/06/07 17:04:45
05154,당감1치안센터,138-1,28분,2020/06/07 17:04:47
05158,진양교차로,138-1,29분,2020/06/07 17:04:48
05193,부암역.당감입구,138-1,31분,2020/06/07 17:04:50
05321,롯데호텔백화점(서면역),138-1,3분,2020/06/07 17:04:52
05277,서면부속상가,138-1,5분,2020/06/07 17:04:53
05253,NC서면점,138-1,6분,2020/06/07 17:04:55
05257,전포사거리,138-1,7분,2020/06/07 17:04:56
05259,경남공고(전포역),138-1,8분,2020/06/07 17:04:58
07034,문전교차로,138-1,11분,2020/06/07 17:04:59
07168,국제금융센터(부산은행역),138-1,12분,2020/06/07 17:05:01
07035,성동초등학교후문,138-1,13분,2020/06/07 17:05:02
07067,국제금융센터(부산은행역),138-1,20분,2020/06/07 17:05:04
07043,문전교차로,138-1,20분,2020/06/07 17:05:05
05356,경남공고(전포역),138-1,23분,2020/06/07 17:05:07
05357,전포사거리,138-1,24분,2020/06/07 17:05:08
05358,NC서면점,138-1,27분,2020/06/07 17:05:10
05190,롯데호텔백화점(서면역),138-1,34분,2020/06/07 17:05:11
05192,부암역.당감입구,138-1,1분,2020/06/07 17:05:13
05340,진양교차로,138-1,3분,2020/06/07 17:05:15
05155,당감1치안센터,138-1,4분,2020/06/07 17:05:16
05153,당평초등학교,138-1,5분,2020/06/07 17:05:18
05292,당감3동우체국,138-1,6분,2020/06/07 17:05:19
05101,개금주공아파트,138-1,8분,2020/06/07 17:05:21
05102,개포초등학교,138-1,8분,2020/06/07 17:05:22
05103,한국신발관,138-1,10분,2020/06/07 17:05:24
05104,개금3동주민센터,138-1,11분,2020/06/07 17:05:25
05108,개금역.개금초등학교,138-1,12분,2020/06/07 17:05:27
05110,냉정고개,138-1,14분,2020/06/07 17:05:28
15111,경남정보대(냉정역),138-1,14분,2020/06/07 17:05:30
15117,럭키아파트(주례역),138-1,16분,2020/06/07 17:05:32
15121,주례1동주민센터,138-1,18분,2020/06/07 17:05:33
15283,온골마을입구,138-1,18분,2020/06/07 17:05:35
15098,북부산세무서(감전역),138-1,19분,2020/06/07 17:05:36
15081,삼대한의원,138-1,20분,2020/06/07 17:05:38
15254,사상우체국,138-1,21분,2020/06/07 17:05:40
15073,서부시외버스터미널(사상역),138-1,,2020/06/07 17:05:41
15069,르네시떼,138-1,4분,2020/06/07 17:05:43
15085,감전동수문앞,138-1,6분,2020/06/07 17:05:44
15143,감전동,138-1,7분,2020/06/07 17:05:46
15072,서부시외버스터미널(사상역),138-1,8분,2020/06/07 17:05:48
15255,사상우체국,138-1,9분,2020/06/07 17:05:49
15082,삼대한의원,138-1,10분,2020/06/07 17:05:51
15097,북부산세무서(감전역),138-1,12분,2020/06/07 17:05:52
15284,온골마을입구,138-1,13분,2020/06/07 17:05:54
15122,주례1동주민센터,138-1,14분,2020/06/07 17:05:56
15118,럭키아파트(주례역),138-1,16분,2020/06/07 17:05:57
15115,좋은삼선병원,138-1,18분,2020/06/07 17:05:59
15113,경남정보대(냉정역),138-1,19분,2020/06/07 17:06:01
05112,냉정고개,138-1,20분,2020/06/07 17:06:02
05146,개금역.개금초등학교,138-1,21분,2020/06/07 17:06:04
05147,개금3동주민센터,138-1,22분,2020/06/07 17:06:05
05148,한국신발관,138-1,23분,2020/06/07 17:06:07
05149,개포초등학교,138-1,22분,2020/06/07 17:06:08
05150,개금주공아파트,138-1,23분,2020/06/07 17:06:10
05152,당평초등학교,138-1,24분,2020/06/07 17:06:11
05154,당감1치안센터,138-1,25분,2020/06/07 17:06:13
05158,진양교차로,138-1,27분,2020/06/07 17:06:15
05193,부암역.당감입구,138-1,30분,2020/06/07 17:06:16
05321,롯데호텔백화점(서면역),138-1,33분,2020/06/07 17:06:18
05277,서면부속상가,138-1,2분,2020/06/07 17:06:19
05253,NC서면점,138-1,3분,2020/06/07 17:06:21
05257,전포사거리,138-1,4분,2020/06/07 17:06:22
05259,경남공고(전포역),138-1,5분,2020/06/07 17:06:24
07034,문전교차로,138-1,8분,2020/06/07 17:06:25
07168,국제금융센터(부산은행역),138-1,8분,2020/06/07 17:06:27
07035,성동초등학교후문,138-1,10분,2020/06/07 17:06:28
07067,국제금융센터(부산은행역),138-1,17분,2020/06/07 17:06:30
07043,문전교차로,138-1,17분,2020/06/07 17:06:31
05356,경남공고(전포역),138-1,20분,2020/06/07 17:06:33
05357,전포사거리,138-1,21분,2020/06/07 17:06:34
05358,NC서면점,138-1,24분,2020/06/07 17:06:36
05190,롯데호텔백화점(서면역),138-1,31분,2020/06/07 17:06:37
05192,부암역.당감입구,138-1,32분,2020/06/07 17:06:39
05340,진양교차로,138-1,2분,2020/06/07 17:06:41
