0,1,2,3,4
BusStop_No,BusStop_Name,Bus_No,Predict_Arrive,Current_Time
09727,운촌,40,3분,2020/06/06 07:02:10
09723,동백역,40,4분,2020/06/06 07:02:11
09721,부산문화여고,40,5분,2020/06/06 07:02:13
09719,올림픽교차로,40,7분,2020/06/06 07:02:15
09717,벡스코 시립미술관,40,8분,2020/06/06 07:02:16
09259,센텀시티역 벡스코,40,,2020/06/06 07:02:18
09138,신세계센텀시티,40,1분,2020/06/06 07:02:20
14030,수영현대아파트(민락역),40,4분,2020/06/06 07:02:21
14046,수영교차로(수영역),40,6분,2020/06/06 07:02:23
14056,수영구보건소,40,9분,2020/06/06 07:02:25
14059,광안역,40,10분,2020/06/06 07:02:26
14071,수영중학교,40,12분,2020/06/06 07:02:28
14074,금련산역,40,13분,2020/06/06 07:02:30
14080,금련산청소년수련원,40,14분,2020/06/06 07:02:32
14087,대남교차로(남천역),40,2분,2020/06/06 07:02:33
07006,경성대 부경대역,40,3분,2020/06/06 07:02:35
07013,경성대학교,40,5분,2020/06/06 07:02:37
07016,대연동제일은행,40,6분,2020/06/06 07:02:38
07063,못골시장,40,6분,2020/06/06 07:02:40
07165,남구청(못골역),40,8분,2020/06/06 07:02:42
07058,대연고개,40,9분,2020/06/06 07:02:43
07053,지게골역,40,10분,2020/06/06 07:02:45
07047,문현교차로,40,1분,2020/06/06 07:02:47
03143,자성대,40,3분,2020/06/06 07:02:48
03134,부산진시장,40,5분,2020/06/06 07:02:50
03108,부산진역,40,8분,2020/06/06 07:02:51
03097,YMCA,40,10분,2020/06/06 07:02:53
03089,초량역,40,10분,2020/06/06 07:02:54
03058,부산역,40,12분,2020/06/06 07:02:56
01033,영주동,40,14분,2020/06/06 07:02:58
01042,중앙동(중앙역),40,16분,2020/06/06 07:02:59
01047,제일은행앞,40,17분,2020/06/06 07:03:01
01097,국제시장,40,,2020/06/06 07:03:03
01112,보수동책방골목,40,1분,2020/06/06 07:03:04
01090,보수사거리,40,3분,2020/06/06 07:03:06
02061,영락교회,40,4분,2020/06/06 07:03:07
02058,동아대부민캠퍼스,40,5분,2020/06/06 07:03:09
02053,서부교회,40,6분,2020/06/06 07:03:11
02062,영락교회,40,1분,2020/06/06 07:03:12
01091,보수사거리,40,3분,2020/06/06 07:03:14
01111,보수동책방골목,40,4분,2020/06/06 07:03:16
01093,국제시장,40,4분,2020/06/06 07:03:17
01096,국제시장.부산근대역사관,40,5분,2020/06/06 07:03:19
01041,중앙동(중앙역),40,8분,2020/06/06 07:03:20
01032,영주동,40,9분,2020/06/06 07:03:22
03063,부산역,40,11분,2020/06/06 07:03:24
03092,초량역,40,14분,2020/06/06 07:03:25
03096,YMCA,40,,2020/06/06 07:03:27
03122,부산진역,40,2분,2020/06/06 07:03:29
03132,부산진시장,40,5분,2020/06/06 07:03:30
03148,범일역,40,6분,2020/06/06 07:03:32
03149,자유시장,40,7분,2020/06/06 07:03:33
03144,시민회관,40,8분,2020/06/06 07:03:35
07051,문현교차로,40,11분,2020/06/06 07:03:37
