0,1,2,3,4
BusStop_No,BusStop_Name,Bus_No,Predict_Arrive,Current_Time
05295,초읍삼거리,81,도착정보 없음,2020/06/06 17:00:12
05353,어린이대공원,81,도착정보 없음,2020/06/06 17:00:14
05042,어린이대공원입구,81,도착정보 없음,2020/06/06 17:00:16
05044,삼광사입구,81,도착정보 없음,2020/06/06 17:00:17
05046,성곡시장입구,81,도착정보 없음,2020/06/06 17:00:19
05047,성곡시장,81,도착정보 없음,2020/06/06 17:00:21
05051,LG사이언스홀,81,1분,2020/06/06 17:00:23
05163,부암교차로,81,1분,2020/06/06 17:00:24
05165,부산진구청,81,3분,2020/06/06 17:00:26
05188,부전시장입구,81,4분,2020/06/06 17:00:28
05711,서면역.서면지하상가,81,3분,2020/06/06 17:00:29
05713,서면한전,81,4분,2020/06/06 17:00:31
05229,범내골역,81,5분,2020/06/06 17:00:33
05217,중앙시장,81,,2020/06/06 17:00:35
03139,범일역,81,1분,2020/06/06 17:00:36
03134,부산진시장,81,3분,2020/06/06 17:00:38
03107,봉생병원,81,2분,2020/06/06 17:00:40
03108,부산진역,81,3분,2020/06/06 17:00:41
03100,고관입구,81,4분,2020/06/06 17:00:43
03081,초량역,81,6분,2020/06/06 17:00:45
03058,부산역,81,,2020/06/06 17:00:46
01031,영주동,81,2분,2020/06/06 17:00:48
01042,중앙동(중앙역),81,3분,2020/06/06 17:00:50
01041,중앙동(중앙역),81,2분,2020/06/06 17:00:52
01032,영주동,81,3분,2020/06/06 17:00:53
03060,부산역,81,5분,2020/06/06 17:00:55
03091,초량역,81,4분,2020/06/06 17:00:57
03095,YMCA,81,5분,2020/06/06 17:00:58
03121,부산진역,81,6분,2020/06/06 17:01:00
03131,부산진시장,81,9분,2020/06/06 17:01:02
03140,범일역.범일동부산은행,81,,2020/06/06 17:01:04
05218,중앙시장,81,1분,2020/06/06 17:01:05
05227,범내골역,81,3분,2020/06/06 17:01:07
05712,서면한전,81,4분,2020/06/06 17:01:09
05710,서면역.서면지하상가,81,5분,2020/06/06 17:01:10
05186,부전시장입구,81,도착정보 없음,2020/06/06 17:01:12
05166,부산진구청,81,5분,2020/06/06 17:01:14
05164,부암교차로,81,6분,2020/06/06 17:01:16
05050,부산시설공단,81,8분,2020/06/06 17:01:17
05048,성곡시장,81,9분,2020/06/06 17:01:19
05045,삼광사입구,81,10분,2020/06/06 17:01:21
05043,어린이대공원입구,81,11분,2020/06/06 17:01:22
