0,1,2
Bus_No,Bus_Location,Date
17,신평,2020/06/02_14:43:07
17,구평동주민센터,2020/06/02_14:43:07
17,고신대학교복음병원,2020/06/02_14:43:07
17,감천2동,2020/06/02_14:43:07
17,남부민초등학교,2020/06/02_14:43:07
17,CJ대한통운,2020/06/02_14:43:07
17,범내골역,2020/06/02_14:43:07
17,부산역,2020/06/02_14:43:07
17,롯데호텔백화점(서면역),2020/06/02_14:43:07
17,당감초등학교,2020/06/02_14:43:07
17,국제백양아파트,2020/06/02_14:43:07
17,국제프라자아파트,2020/06/02_14:43:07
17,당감동,2020/06/02_14:43:07
17,범내골역,2020/06/02_14:43:07
17,진양교차로,2020/06/02_14:43:07
17,고관입구,2020/06/02_14:43:07
17,영주동,2020/06/02_14:43:07
17,남포동,2020/06/02_14:43:07
17,신익아파트,2020/06/02_14:43:07
17,감천2동,2020/06/02_14:43:07
17,구평삼거리,2020/06/02_14:43:07
17,신평,2020/06/02_14:43:07
17,신평,2020/06/02_14:43:27
17,구평동주민센터,2020/06/02_14:43:27
17,고신대학교복음병원,2020/06/02_14:43:27
17,영합의원,2020/06/02_14:43:27
17,남부민초등학교,2020/06/02_14:43:27
17,CJ대한통운,2020/06/02_14:43:27
17,범내골역,2020/06/02_14:43:27
17,YMCA,2020/06/02_14:43:27
17,부암역.당감입구,2020/06/02_14:43:27
17,당감초등학교,2020/06/02_14:43:27
17,국제백양아파트,2020/06/02_14:43:27
17,국제프라자아파트,2020/06/02_14:43:27
17,(구)당감4동주민센터,2020/06/02_14:43:27
17,범곡교차로,2020/06/02_14:43:27
17,부암역.당감입구,2020/06/02_14:43:27
17,고관입구,2020/06/02_14:43:27
17,영주동,2020/06/02_14:43:27
17,남포동,2020/06/02_14:43:27
17,신익아파트,2020/06/02_14:43:27
17,감천2동,2020/06/02_14:43:27
17,구평삼거리,2020/06/02_14:43:27
17,신평,2020/06/02_14:43:27
17,신평,2020/06/02_14:43:47
17,구평동주민센터,2020/06/02_14:43:47
17,고신대학교복음병원,2020/06/02_14:43:47
17,영합의원,2020/06/02_14:43:47
17,남부민초등학교,2020/06/02_14:43:47
17,CJ대한통운,2020/06/02_14:43:47
17,범내골역,2020/06/02_14:43:47
17,YMCA,2020/06/02_14:43:47
17,부암역.당감입구,2020/06/02_14:43:47
17,화승삼성아파트,2020/06/02_14:43:47
17,국제백양아파트,2020/06/02_14:43:47
17,국제프라자아파트,2020/06/02_14:43:47
17,(구)당감4동주민센터,2020/06/02_14:43:47
17,범곡교차로,2020/06/02_14:43:47
17,부암역.당감입구,2020/06/02_14:43:47
17,고관입구,2020/06/02_14:43:47
17,영주동,2020/06/02_14:43:47
17,남포동,2020/06/02_14:43:47
17,신익아파트,2020/06/02_14:43:47
17,영합의원,2020/06/02_14:43:47
17,구평삼거리,2020/06/02_14:43:47
17,신평,2020/06/02_14:43:47
17,신평,2020/06/02_14:44:07
17,구평동주민센터,2020/06/02_14:44:07
17,고신대학교복음병원,2020/06/02_14:44:07
17,영합의원,2020/06/02_14:44:07
17,남부민시장입구,2020/06/02_14:44:07
17,CJ대한통운,2020/06/02_14:44:07
17,서면한전,2020/06/02_14:44:07
17,YMCA,2020/06/02_14:44:07
17,부암역.당감입구,2020/06/02_14:44:07
17,화승삼성아파트,2020/06/02_14:44:07
17,국제백양아파트,2020/06/02_14:44:07
17,화인아파트,2020/06/02_14:44:07
17,화승삼성아파트,2020/06/02_14:44:07
17,범곡교차로,2020/06/02_14:44:07
17,부암역.당감입구,2020/06/02_14:44:07
17,고관입구,2020/06/02_14:44:07
17,영주동,2020/06/02_14:44:07
17,남포동,2020/06/02_14:44:07
17,송도입구,2020/06/02_14:44:07
17,영합의원,2020/06/02_14:44:07
17,구평삼거리,2020/06/02_14:44:07
17,신평,2020/06/02_14:44:07
17,신평,2020/06/02_14:44:27
17,구평동주민센터,2020/06/02_14:44:27
17,고신대학교복음병원,2020/06/02_14:44:27
17,영합의원,2020/06/02_14:44:27
17,남부민시장입구,2020/06/02_14:44:27
17,CJ대한통운,2020/06/02_14:44:27
17,서면한전,2020/06/02_14:44:27
17,YMCA,2020/06/02_14:44:27
17,부암역.당감입구,2020/06/02_14:44:27
17,화승삼성아파트,2020/06/02_14:44:27
17,국제백양아파트,2020/06/02_14:44:27
17,화인아파트,2020/06/02_14:44:27
17,화승삼성아파트,2020/06/02_14:44:27
17,범곡교차로,2020/06/02_14:44:27
17,부암역.당감입구,2020/06/02_14:44:27
17,초량역,2020/06/02_14:44:27
17,영주동,2020/06/02_14:44:27
17,남포동,2020/06/02_14:44:27
17,고신대학교복음병원,2020/06/02_14:44:27
17,영합의원,2020/06/02_14:44:27
17,구평동주민센터,2020/06/02_14:44:27
17,신평,2020/06/02_14:44:27
17,신평,2020/06/02_14:44:47
17,구평동주민센터,2020/06/02_14:44:47
17,고신대학교복음병원,2020/06/02_14:44:47
17,감천사거리,2020/06/02_14:44:47
17,남부민시장입구,2020/06/02_14:44:47
17,CJ대한통운,2020/06/02_14:44:47
17,서면한전,2020/06/02_14:44:47
17,YMCA,2020/06/02_14:44:47
17,부암역.당감입구,2020/06/02_14:44:47
17,화승삼성아파트,2020/06/02_14:44:47
17,당감주공3단지상가,2020/06/02_14:44:47
17,화인아파트,2020/06/02_14:44:47
17,화승삼성아파트,2020/06/02_14:44:47
17,범곡교차로,2020/06/02_14:44:47
17,롯데호텔백화점(서면역),2020/06/02_14:44:47
17,초량역,2020/06/02_14:44:47
17,영주동,2020/06/02_14:44:47
17,남포동,2020/06/02_14:44:47
17,고신대학교복음병원,2020/06/02_14:44:47
17,영합의원,2020/06/02_14:44:47
17,구평e편한세상입구,2020/06/02_14:44:47
17,신평,2020/06/02_14:44:47
17,신평,2020/06/02_14:45:07
17,구평삼거리,2020/06/02_14:45:07
17,고신대학교복음병원,2020/06/02_14:45:07
17,감천사거리,2020/06/02_14:45:07
17,남부민시장입구,2020/06/02_14:45:07
17,CJ대한통운,2020/06/02_14:45:07
17,서면한전,2020/06/02_14:45:07
17,YMCA,2020/06/02_14:45:07
17,부암역.당감입구,2020/06/02_14:45:07
17,화승삼성아파트,2020/06/02_14:45:07
17,당감주공3단지상가,2020/06/02_14:45:07
17,화인아파트,2020/06/02_14:45:07
17,화승삼성아파트,2020/06/02_14:45:07
