0,1,2,3,4
BusStop_No,BusStop_Name,Bus_No,Predict_Arrive,Current_Time
15072,서부시외버스터미널(사상역),138-1,6분,2020/06/08 07:00:36
15255,사상우체국,138-1,8분,2020/06/08 07:00:38
15082,삼대한의원,138-1,8분,2020/06/08 07:00:40
15097,북부산세무서(감전역),138-1,10분,2020/06/08 07:00:41
15284,온골마을입구,138-1,11분,2020/06/08 07:00:43
15122,주례1동주민센터,138-1,11분,2020/06/08 07:00:45
15118,럭키아파트(주례역),138-1,14분,2020/06/08 07:00:47
15115,좋은삼선병원,138-1,15분,2020/06/08 07:00:49
15113,경남정보대(냉정역),138-1,16분,2020/06/08 07:00:50
05112,냉정고개,138-1,17분,2020/06/08 07:00:52
05146,개금역.개금초등학교,138-1,1분,2020/06/08 07:00:54
05147,개금3동주민센터,138-1,2분,2020/06/08 07:00:55
05148,한국신발관,138-1,2분,2020/06/08 07:00:57
05149,개포초등학교,138-1,3분,2020/06/08 07:00:59
05150,개금주공아파트,138-1,4분,2020/06/08 07:01:00
05152,당평초등학교,138-1,5분,2020/06/08 07:01:02
05154,당감1치안센터,138-1,6분,2020/06/08 07:01:04
05158,진양교차로,138-1,8분,2020/06/08 07:01:05
05193,부암역.당감입구,138-1,10분,2020/06/08 07:01:07
05321,롯데호텔백화점(서면역),138-1,13분,2020/06/08 07:01:09
05277,서면부속상가,138-1,15분,2020/06/08 07:01:10
05253,NC서면점,138-1,16분,2020/06/08 07:01:12
05257,전포사거리,138-1,17분,2020/06/08 07:01:14
05259,경남공고(전포역),138-1,1분,2020/06/08 07:01:15
07034,문전교차로,138-1,3분,2020/06/08 07:01:17
07168,국제금융센터(부산은행역),138-1,4분,2020/06/08 07:01:19
07035,성동초등학교후문,138-1,5분,2020/06/08 07:01:20
07067,국제금융센터(부산은행역),138-1,6분,2020/06/08 07:01:22
07043,문전교차로,138-1,6분,2020/06/08 07:01:23
05356,경남공고(전포역),138-1,8분,2020/06/08 07:01:25
05357,전포사거리,138-1,9분,2020/06/08 07:01:27
05358,NC서면점,138-1,12분,2020/06/08 07:01:28
05190,롯데호텔백화점(서면역),138-1,18분,2020/06/08 07:01:30
05192,부암역.당감입구,138-1,20분,2020/06/08 07:01:32
05340,진양교차로,138-1,22분,2020/06/08 07:01:33
05155,당감1치안센터,138-1,,2020/06/08 07:01:35
05153,당평초등학교,138-1,2분,2020/06/08 07:01:36
05292,당감3동우체국,138-1,3분,2020/06/08 07:01:38
05101,개금주공아파트,138-1,4분,2020/06/08 07:01:40
05102,개포초등학교,138-1,5분,2020/06/08 07:01:41
05103,한국신발관,138-1,7분,2020/06/08 07:01:43
05104,개금3동주민센터,138-1,7분,2020/06/08 07:01:45
05108,개금역.개금초등학교,138-1,8분,2020/06/08 07:01:46
05110,냉정고개,138-1,10분,2020/06/08 07:01:48
15111,경남정보대(냉정역),138-1,10분,2020/06/08 07:01:50
15117,럭키아파트(주례역),138-1,12분,2020/06/08 07:01:52
15121,주례1동주민센터,138-1,14분,2020/06/08 07:01:53
15283,온골마을입구,138-1,14분,2020/06/08 07:01:55
15098,북부산세무서(감전역),138-1,15분,2020/06/08 07:01:57
15081,삼대한의원,138-1,,2020/06/08 07:01:58
15254,사상우체국,138-1,1분,2020/06/08 07:02:00
15073,서부시외버스터미널(사상역),138-1,5분,2020/06/08 07:02:02
15069,르네시떼,138-1,9분,2020/06/08 07:02:04
15085,감전동수문앞,138-1,11분,2020/06/08 07:02:05
15143,감전동,138-1,13분,2020/06/08 07:02:07
15072,서부시외버스터미널(사상역),138-1,3분,2020/06/08 07:02:08
15255,사상우체국,138-1,5분,2020/06/08 07:02:10
15082,삼대한의원,138-1,5분,2020/06/08 07:02:12
15097,북부산세무서(감전역),138-1,7분,2020/06/08 07:02:13
15284,온골마을입구,138-1,8분,2020/06/08 07:02:15
15122,주례1동주민센터,138-1,9분,2020/06/08 07:02:16
15118,럭키아파트(주례역),138-1,11분,2020/06/08 07:02:18
15115,좋은삼선병원,138-1,13분,2020/06/08 07:02:20
15113,경남정보대(냉정역),138-1,14분,2020/06/08 07:02:21
05112,냉정고개,138-1,15분,2020/06/08 07:02:23
05146,개금역.개금초등학교,138-1,16분,2020/06/08 07:02:25
05147,개금3동주민센터,138-1,17분,2020/06/08 07:02:26
05148,한국신발관,138-1,,2020/06/08 07:02:28
05149,개포초등학교,138-1,1분,2020/06/08 07:02:29
05150,개금주공아파트,138-1,1분,2020/06/08 07:02:31
05152,당평초등학교,138-1,3분,2020/06/08 07:02:32
05154,당감1치안센터,138-1,4분,2020/06/08 07:02:34
05158,진양교차로,138-1,5분,2020/06/08 07:02:35
05193,부암역.당감입구,138-1,7분,2020/06/08 07:02:37
05321,롯데호텔백화점(서면역),138-1,11분,2020/06/08 07:02:38
05277,서면부속상가,138-1,13분,2020/06/08 07:02:40
05253,NC서면점,138-1,14분,2020/06/08 07:02:41
05257,전포사거리,138-1,15분,2020/06/08 07:02:43
05259,경남공고(전포역),138-1,1분,2020/06/08 07:02:45
07034,문전교차로,138-1,3분,2020/06/08 07:02:46
07168,국제금융센터(부산은행역),138-1,4분,2020/06/08 07:02:48
07035,성동초등학교후문,138-1,4분,2020/06/08 07:02:49
07067,국제금융센터(부산은행역),138-1,4분,2020/06/08 07:02:51
07043,문전교차로,138-1,4분,2020/06/08 07:02:52
05356,경남공고(전포역),138-1,6분,2020/06/08 07:02:54
05357,전포사거리,138-1,7분,2020/06/08 07:02:55
05358,NC서면점,138-1,10분,2020/06/08 07:02:57
05190,롯데호텔백화점(서면역),138-1,17분,2020/06/08 07:02:58
05192,부암역.당감입구,138-1,18분,2020/06/08 07:03:00
05340,진양교차로,138-1,21분,2020/06/08 07:03:01
05155,당감1치안센터,138-1,22분,2020/06/08 07:03:03
05153,당평초등학교,138-1,,2020/06/08 07:03:05
05292,당감3동우체국,138-1,1분,2020/06/08 07:03:06
05101,개금주공아파트,138-1,2분,2020/06/08 07:03:08
05102,개포초등학교,138-1,3분,2020/06/08 07:03:09
05103,한국신발관,138-1,5분,2020/06/08 07:03:11
05104,개금3동주민센터,138-1,5분,2020/06/08 07:03:12
05108,개금역.개금초등학교,138-1,6분,2020/06/08 07:03:14
05110,냉정고개,138-1,8분,2020/06/08 07:03:15
15111,경남정보대(냉정역),138-1,8분,2020/06/08 07:03:17
15117,럭키아파트(주례역),138-1,10분,2020/06/08 07:03:19
15121,주례1동주민센터,138-1,12분,2020/06/08 07:03:20
15283,온골마을입구,138-1,12분,2020/06/08 07:03:22
15098,북부산세무서(감전역),138-1,13분,2020/06/08 07:03:23
15081,삼대한의원,138-1,14분,2020/06/08 07:03:25
15254,사상우체국,138-1,,2020/06/08 07:03:26
15073,서부시외버스터미널(사상역),138-1,5분,2020/06/08 07:03:28
15069,르네시떼,138-1,8분,2020/06/08 07:03:30
15085,감전동수문앞,138-1,10분,2020/06/08 07:03:31
15143,감전동,138-1,12분,2020/06/08 07:03:32
15072,서부시외버스터미널(사상역),138-1,2분,2020/06/08 07:03:34
15255,사상우체국,138-1,3분,2020/06/08 07:03:36
15082,삼대한의원,138-1,4분,2020/06/08 07:03:37
15097,북부산세무서(감전역),138-1,6분,2020/06/08 07:03:39
15284,온골마을입구,138-1,7분,2020/06/08 07:03:40
15122,주례1동주민센터,138-1,8분,2020/06/08 07:03:42
15118,럭키아파트(주례역),138-1,10분,2020/06/08 07:03:44
15115,좋은삼선병원,138-1,11분,2020/06/08 07:03:45
15113,경남정보대(냉정역),138-1,13분,2020/06/08 07:03:47
05112,냉정고개,138-1,13분,2020/06/08 07:03:49
05146,개금역.개금초등학교,138-1,15분,2020/06/08 07:03:50
05147,개금3동주민센터,138-1,15분,2020/06/08 07:03:52
05148,한국신발관,138-1,15분,2020/06/08 07:03:53
05149,개포초등학교,138-1,16분,2020/06/08 07:03:55
05150,개금주공아파트,138-1,17분,2020/06/08 07:03:56
05152,당평초등학교,138-1,1분,2020/06/08 07:03:58
05154,당감1치안센터,138-1,2분,2020/06/08 07:03:59
05158,진양교차로,138-1,3분,2020/06/08 07:04:01
05193,부암역.당감입구,138-1,5분,2020/06/08 07:04:02
05321,롯데호텔백화점(서면역),138-1,9분,2020/06/08 07:04:04
05277,서면부속상가,138-1,11분,2020/06/08 07:04:06
05253,NC서면점,138-1,12분,2020/06/08 07:04:07
05257,전포사거리,138-1,13분,2020/06/08 07:04:09
05259,경남공고(전포역),138-1,14분,2020/06/08 07:04:10
07034,문전교차로,138-1,2분,2020/06/08 07:04:12
07168,국제금융센터(부산은행역),138-1,2분,2020/06/08 07:04:13
07035,성동초등학교후문,138-1,4분,2020/06/08 07:04:15
07067,국제금융센터(부산은행역),138-1,2분,2020/06/08 07:04:16
07043,문전교차로,138-1,3분,2020/06/08 07:04:18
05356,경남공고(전포역),138-1,5분,2020/06/08 07:04:19
05357,전포사거리,138-1,6분,2020/06/08 07:04:21
05358,NC서면점,138-1,9분,2020/06/08 07:04:22
05190,롯데호텔백화점(서면역),138-1,15분,2020/06/08 07:04:24
05192,부암역.당감입구,138-1,17분,2020/06/08 07:04:25
05340,진양교차로,138-1,19분,2020/06/08 07:04:27
05155,당감1치안센터,138-1,20분,2020/06/08 07:04:29
05153,당평초등학교,138-1,21분,2020/06/08 07:04:30
05292,당감3동우체국,138-1,,2020/06/08 07:04:32
05101,개금주공아파트,138-1,2분,2020/06/08 07:04:33
05102,개포초등학교,138-1,2분,2020/06/08 07:04:35
05103,한국신발관,138-1,4분,2020/06/08 07:04:36
05104,개금3동주민센터,138-1,5분,2020/06/08 07:04:38
05108,개금역.개금초등학교,138-1,6분,2020/06/08 07:04:39
05110,냉정고개,138-1,7분,2020/06/08 07:04:41
15111,경남정보대(냉정역),138-1,7분,2020/06/08 07:04:42
15117,럭키아파트(주례역),138-1,9분,2020/06/08 07:04:44
15121,주례1동주민센터,138-1,11분,2020/06/08 07:04:46
15283,온골마을입구,138-1,11분,2020/06/08 07:04:47
15098,북부산세무서(감전역),138-1,12분,2020/06/08 07:04:49
15081,삼대한의원,138-1,13분,2020/06/08 07:04:50
15254,사상우체국,138-1,14분,2020/06/08 07:04:52
15073,서부시외버스터미널(사상역),138-1,4분,2020/06/08 07:04:54
15069,르네시떼,138-1,7분,2020/06/08 07:04:55
15085,감전동수문앞,138-1,10분,2020/06/08 07:04:57
15143,감전동,138-1,11분,2020/06/08 07:04:58
15072,서부시외버스터미널(사상역),138-1,,2020/06/08 07:05:00
15255,사상우체국,138-1,2분,2020/06/08 07:05:02
15082,삼대한의원,138-1,2분,2020/06/08 07:05:03
15097,북부산세무서(감전역),138-1,4분,2020/06/08 07:05:05
15284,온골마을입구,138-1,5분,2020/06/08 07:05:06
15122,주례1동주민센터,138-1,6분,2020/06/08 07:05:08
15118,럭키아파트(주례역),138-1,8분,2020/06/08 07:05:10
15115,좋은삼선병원,138-1,10분,2020/06/08 07:05:11
15113,경남정보대(냉정역),138-1,11분,2020/06/08 07:05:13
05112,냉정고개,138-1,12분,2020/06/08 07:05:15
05146,개금역.개금초등학교,138-1,13분,2020/06/08 07:05:16
05147,개금3동주민센터,138-1,14분,2020/06/08 07:05:18
05148,한국신발관,138-1,14분,2020/06/08 07:05:19
05149,개포초등학교,138-1,16분,2020/06/08 07:05:21
05150,개금주공아파트,138-1,16분,2020/06/08 07:05:23
05152,당평초등학교,138-1,,2020/06/08 07:05:24
05154,당감1치안센터,138-1,1분,2020/06/08 07:05:26
05158,진양교차로,138-1,2분,2020/06/08 07:05:27
05193,부암역.당감입구,138-1,4분,2020/06/08 07:05:29
05321,롯데호텔백화점(서면역),138-1,8분,2020/06/08 07:05:30
05277,서면부속상가,138-1,10분,2020/06/08 07:05:32
05253,NC서면점,138-1,11분,2020/06/08 07:05:34
05257,전포사거리,138-1,12분,2020/06/08 07:05:35
05259,경남공고(전포역),138-1,13분,2020/06/08 07:05:37
07034,문전교차로,138-1,16분,2020/06/08 07:05:38
07168,국제금융센터(부산은행역),138-1,,2020/06/08 07:05:40
07035,성동초등학교후문,138-1,2분,2020/06/08 07:05:41
07067,국제금융센터(부산은행역),138-1,1분,2020/06/08 07:05:43
07043,문전교차로,138-1,1분,2020/06/08 07:05:44
05356,경남공고(전포역),138-1,4분,2020/06/08 07:05:46
05357,전포사거리,138-1,5분,2020/06/08 07:05:47
05358,NC서면점,138-1,7분,2020/06/08 07:05:48
05190,롯데호텔백화점(서면역),138-1,14분,2020/06/08 07:05:50
05192,부암역.당감입구,138-1,16분,2020/06/08 07:05:52
05340,진양교차로,138-1,18분,2020/06/08 07:05:53
05155,당감1치안센터,138-1,19분,2020/06/08 07:05:55
05153,당평초등학교,138-1,20분,2020/06/08 07:05:56
05292,당감3동우체국,138-1,21분,2020/06/08 07:05:58
05101,개금주공아파트,138-1,22분,2020/06/08 07:05:59
05102,개포초등학교,138-1,23분,2020/06/08 07:06:01
05103,한국신발관,138-1,2분,2020/06/08 07:06:02
05104,개금3동주민센터,138-1,2분,2020/06/08 07:06:04
05108,개금역.개금초등학교,138-1,3분,2020/06/08 07:06:06
05110,냉정고개,138-1,5분,2020/06/08 07:06:07
15111,경남정보대(냉정역),138-1,5분,2020/06/08 07:06:09
15117,럭키아파트(주례역),138-1,7분,2020/06/08 07:06:10
15121,주례1동주민센터,138-1,9분,2020/06/08 07:06:12
15283,온골마을입구,138-1,9분,2020/06/08 07:06:14
15098,북부산세무서(감전역),138-1,10분,2020/06/08 07:06:15
15081,삼대한의원,138-1,11분,2020/06/08 07:06:17
15254,사상우체국,138-1,12분,2020/06/08 07:06:18
15073,서부시외버스터미널(사상역),138-1,16분,2020/06/08 07:06:20
15069,르네시떼,138-1,3분,2020/06/08 07:06:22
15085,감전동수문앞,138-1,5분,2020/06/08 07:06:23
15143,감전동,138-1,7분,2020/06/08 07:06:25
15072,서부시외버스터미널(사상역),138-1,9분,2020/06/08 07:06:26
15255,사상우체국,138-1,,2020/06/08 07:06:28
15082,삼대한의원,138-1,1분,2020/06/08 07:06:30
15097,북부산세무서(감전역),138-1,2분,2020/06/08 07:06:31
15284,온골마을입구,138-1,3분,2020/06/08 07:06:33
15122,주례1동주민센터,138-1,4분,2020/06/08 07:06:34
15118,럭키아파트(주례역),138-1,6분,2020/06/08 07:06:36
15115,좋은삼선병원,138-1,8분,2020/06/08 07:06:38
15113,경남정보대(냉정역),138-1,9분,2020/06/08 07:06:39
05112,냉정고개,138-1,10분,2020/06/08 07:06:41
05146,개금역.개금초등학교,138-1,11분,2020/06/08 07:06:43
05147,개금3동주민센터,138-1,12분,2020/06/08 07:06:44
05148,한국신발관,138-1,12분,2020/06/08 07:06:46
05149,개포초등학교,138-1,13분,2020/06/08 07:06:47
05150,개금주공아파트,138-1,14분,2020/06/08 07:06:49
05152,당평초등학교,138-1,15분,2020/06/08 07:06:50
05154,당감1치안센터,138-1,,2020/06/08 07:06:52
05158,진양교차로,138-1,2분,2020/06/08 07:06:54
05193,부암역.당감입구,138-1,4분,2020/06/08 07:06:55
05321,롯데호텔백화점(서면역),138-1,7분,2020/06/08 07:06:57
05277,서면부속상가,138-1,9분,2020/06/08 07:06:58
05253,NC서면점,138-1,10분,2020/06/08 07:07:00
05257,전포사거리,138-1,11분,2020/06/08 07:07:01
05259,경남공고(전포역),138-1,12분,2020/06/08 07:07:03
07034,문전교차로,138-1,15분,2020/06/08 07:07:04
07168,국제금융센터(부산은행역),138-1,16분,2020/06/08 07:07:06
07035,성동초등학교후문,138-1,17분,2020/06/08 07:07:07
07067,국제금융센터(부산은행역),138-1,19분,2020/06/08 07:07:09
07043,문전교차로,138-1,20분,2020/06/08 07:07:10
05356,경남공고(전포역),138-1,2분,2020/06/08 07:07:12
05357,전포사거리,138-1,3분,2020/06/08 07:07:13
05358,NC서면점,138-1,6분,2020/06/08 07:07:15
05190,롯데호텔백화점(서면역),138-1,12분,2020/06/08 07:07:16
05192,부암역.당감입구,138-1,14분,2020/06/08 07:07:18
05340,진양교차로,138-1,16분,2020/06/08 07:07:20
05155,당감1치안센터,138-1,17분,2020/06/08 07:07:21
05153,당평초등학교,138-1,19분,2020/06/08 07:07:23
05292,당감3동우체국,138-1,20분,2020/06/08 07:07:24
05101,개금주공아파트,138-1,21분,2020/06/08 07:07:26
05102,개포초등학교,138-1,20분,2020/06/08 07:07:27
05103,한국신발관,138-1,2분,2020/06/08 07:07:29
05104,개금3동주민센터,138-1,,2020/06/08 07:07:30
05108,개금역.개금초등학교,138-1,1분,2020/06/08 07:07:32
05110,냉정고개,138-1,3분,2020/06/08 07:07:33
