0,1,2,3,4
BusStop_No,BusStop_Name,Bus_No,Predict_Arrive,Current_Time
07079,7부두,68,5분,2020/06/05 07:00:11
07045,문현교차로,68,1분,2020/06/05 07:00:13
03145,시민회관,68,4분,2020/06/05 07:00:14
03150,자유시장,68,,2020/06/05 07:00:16
05221,중앙시장,68,1분,2020/06/05 07:00:18
05227,범내골역,68,2분,2020/06/05 07:00:19
05712,서면한전,68,4분,2020/06/05 07:00:21
05710,서면역.서면지하상가,68,5분,2020/06/05 07:00:23
05190,롯데호텔백화점(서면역),68,8분,2020/06/05 07:00:25
05194,부암역,68,10분,2020/06/05 07:00:26
05268,가야시장(가야역),68,1분,2020/06/05 07:00:28
05069,가야1치안센터,68,2분,2020/06/05 07:00:30
05109,가야전신전화국,68,1분,2020/06/05 07:00:31
05283,개금삼거리,68,,2020/06/05 07:00:33
05345,개금역,68,2분,2020/06/05 07:00:35
05110,냉정고개,68,3분,2020/06/05 07:00:36
15111,경남정보대(냉정역),68,3분,2020/06/05 07:00:38
15116,럭키아파트(주례역),68,5분,2020/06/05 07:00:40
15125,주례사거리,68,1분,2020/06/05 07:00:41
15151,부산구치소,68,2분,2020/06/05 07:00:43
15153,학장,68,3분,2020/06/05 07:00:44
15163,학장교차로,68,2분,2020/06/05 07:00:46
15166,학장교,68,3분,2020/06/05 07:00:48
15167,학장중학교,68,4분,2020/06/05 07:00:49
15173,반도보라아파트,68,5분,2020/06/05 07:00:51
15176,엄궁중학교,68,6분,2020/06/05 07:00:53
15216,엄궁럭키아파트,68,7분,2020/06/05 07:00:54
15188,엄궁삼거리,68,9분,2020/06/05 07:00:56
15201,엄궁동주민센터,68,,2020/06/05 07:00:57
15198,엄궁한신1차아파트,68,1분,2020/06/05 07:00:59
10075,하단SK뷰아파트앞,68,3분,2020/06/05 07:01:01
10088,동아대입구,68,1분,2020/06/05 07:01:03
10084,에덴공원,68,2분,2020/06/05 07:01:04
10232,하단교차로,68,4분,2020/06/05 07:01:06
10077,하단역,68,,2020/06/05 07:01:08
10078,하단역,68,3분,2020/06/05 07:01:10
10081,하단교차로,68,7분,2020/06/05 07:01:12
10087,에덴공원,68,8분,2020/06/05 07:01:13
10092,동아대입구,68,9분,2020/06/05 07:01:15
10093,동산삼거리,68,,2020/06/05 07:01:17
15199,엄궁한신1차아파트,68,3분,2020/06/05 07:01:18
15200,엄궁동주민센터,68,4분,2020/06/05 07:01:20
15189,엄궁시장,68,5분,2020/06/05 07:01:22
15196,엄궁사거리,68,,2020/06/05 07:01:23
15186,엄궁럭키아파트,68,1분,2020/06/05 07:01:25
15175,엄궁중학교,68,2분,2020/06/05 07:01:27
15174,반도보라아파트,68,3분,2020/06/05 07:01:28
15168,학장중학교,68,4분,2020/06/05 07:01:30
15165,학장교,68,6분,2020/06/05 07:01:32
15164,학장교차로,68,,2020/06/05 07:01:33
15154,동양아파트,68,2분,2020/06/05 07:01:35
15152,부산구치소,68,3분,2020/06/05 07:01:36
15124,주례사거리,68,4분,2020/06/05 07:01:38
15118,럭키아파트(주례역),68,6분,2020/06/05 07:01:40
15115,좋은삼선병원,68,7분,2020/06/05 07:01:41
15113,경남정보대(냉정역),68,,2020/06/05 07:01:43
05112,냉정고개,68,1분,2020/06/05 07:01:44
05343,개금역,68,2분,2020/06/05 07:01:46
05144,개금삼거리,68,3분,2020/06/05 07:01:48
05060,동의대학교입구(동의대역),68,4분,2020/06/05 07:01:49
05006,가야1치안센터,68,6분,2020/06/05 07:01:51
05269,가야시장(가야역),68,7분,2020/06/05 07:01:53
05195,부암역,68,1분,2020/06/05 07:01:54
05319,롯데호텔백화점(서면역),68,3분,2020/06/05 07:01:56
05236,서면시장,68,5분,2020/06/05 07:01:58
05234,서면복개로,68,6분,2020/06/05 07:01:59
05230,부산진초등학교,68,8분,2020/06/05 07:02:01
05215,중앙시장,68,,2020/06/05 07:02:02
03149,자유시장,68,1분,2020/06/05 07:02:04
07079,7부두,68,4분,2020/06/05 07:02:06
07045,문현교차로,68,6분,2020/06/05 07:02:07
03145,시민회관,68,2분,2020/06/05 07:02:09
03150,자유시장,68,3분,2020/06/05 07:02:10
05221,중앙시장,68,4분,2020/06/05 07:02:12
05227,범내골역,68,1분,2020/06/05 07:02:13
05712,서면한전,68,2분,2020/06/05 07:02:15
05710,서면역.서면지하상가,68,3분,2020/06/05 07:02:17
05190,롯데호텔백화점(서면역),68,6분,2020/06/05 07:02:19
05194,부암역,68,9분,2020/06/05 07:02:20
05268,가야시장(가야역),68,10분,2020/06/05 07:02:22
05069,가야1치안센터,68,,2020/06/05 07:02:23
05109,가야전신전화국,68,1분,2020/06/05 07:02:25
05283,개금삼거리,68,2분,2020/06/05 07:02:27
05345,개금역,68,1분,2020/06/05 07:02:28
05110,냉정고개,68,2분,2020/06/05 07:02:30
15111,경남정보대(냉정역),68,2분,2020/06/05 07:02:31
15116,럭키아파트(주례역),68,3분,2020/06/05 07:02:33
15125,주례사거리,68,5분,2020/06/05 07:02:34
15151,부산구치소,68,,2020/06/05 07:02:36
15153,학장,68,1분,2020/06/05 07:02:37
15163,학장교차로,68,,2020/06/05 07:02:39
15166,학장교,68,1분,2020/06/05 07:02:40
15167,학장중학교,68,2분,2020/06/05 07:02:42
15173,반도보라아파트,68,3분,2020/06/05 07:02:43
15176,엄궁중학교,68,4분,2020/06/05 07:02:45
15216,엄궁럭키아파트,68,5분,2020/06/05 07:02:46
