0,1,2,3,4
BusStop_No,BusStop_Name,Bus_No,Predict_Arrive,Current_Time
15072,서부시외버스터미널(사상역),138-1,3분,2020/06/04 07:00:14
15255,사상우체국,138-1,4분,2020/06/04 07:00:16
15082,삼대한의원,138-1,5분,2020/06/04 07:00:17
15097,북부산세무서(감전역),138-1,7분,2020/06/04 07:00:19
15284,온골마을입구,138-1,7분,2020/06/04 07:00:21
15122,주례1동주민센터,138-1,8분,2020/06/04 07:00:22
15118,럭키아파트(주례역),138-1,11분,2020/06/04 07:00:24
15115,좋은삼선병원,138-1,12분,2020/06/04 07:00:26
15113,경남정보대(냉정역),138-1,,2020/06/04 07:00:27
05112,냉정고개,138-1,1분,2020/06/04 07:00:29
05146,개금역.개금초등학교,138-1,2분,2020/06/04 07:00:31
05147,개금3동주민센터,138-1,3분,2020/06/04 07:00:32
05148,한국신발관,138-1,3분,2020/06/04 07:00:34
05149,개포초등학교,138-1,5분,2020/06/04 07:00:36
05150,개금주공아파트,138-1,5분,2020/06/04 07:00:37
05152,당평초등학교,138-1,7분,2020/06/04 07:00:39
05154,당감1치안센터,138-1,8분,2020/06/04 07:00:40
05158,진양교차로,138-1,9분,2020/06/04 07:00:42
05193,부암역.당감입구,138-1,11분,2020/06/04 07:00:44
05321,롯데호텔백화점(서면역),138-1,14분,2020/06/04 07:00:45
05277,서면부속상가,138-1,1분,2020/06/04 07:00:47
05253,NC서면점,138-1,2분,2020/06/04 07:00:49
05257,전포사거리,138-1,3분,2020/06/04 07:00:50
05259,경남공고(전포역),138-1,5분,2020/06/04 07:00:52
07034,문전교차로,138-1,7분,2020/06/04 07:00:53
07168,국제금융센터(부산은행역),138-1,8분,2020/06/04 07:00:55
07035,성동초등학교후문,138-1,9분,2020/06/04 07:00:56
07067,국제금융센터(부산은행역),138-1,6분,2020/06/04 07:00:58
07043,문전교차로,138-1,7분,2020/06/04 07:01:00
05356,경남공고(전포역),138-1,9분,2020/06/04 07:01:01
05357,전포사거리,138-1,10분,2020/06/04 07:01:03
05358,NC서면점,138-1,13분,2020/06/04 07:01:04
05190,롯데호텔백화점(서면역),138-1,19분,2020/06/04 07:01:06
05192,부암역.당감입구,138-1,21분,2020/06/04 07:01:08
05340,진양교차로,138-1,23분,2020/06/04 07:01:09
05155,당감1치안센터,138-1,,2020/06/04 07:01:11
05153,당평초등학교,138-1,2분,2020/06/04 07:01:13
05292,당감3동우체국,138-1,3분,2020/06/04 07:01:14
05101,개금주공아파트,138-1,4분,2020/06/04 07:01:16
05102,개포초등학교,138-1,5분,2020/06/04 07:01:17
05103,한국신발관,138-1,7분,2020/06/04 07:01:19
