0,1,2,3,4
BusStop_No,BusStop_Name,Bus_No,Predict_Arrive,Current_Time
15072,서부시외버스터미널(사상역),138-1,6분,2020/06/04 17:00:06
15255,사상우체국,138-1,8분,2020/06/04 17:00:08
15082,삼대한의원,138-1,9분,2020/06/04 17:00:09
15097,북부산세무서(감전역),138-1,10분,2020/06/04 17:00:11
15284,온골마을입구,138-1,11분,2020/06/04 17:00:13
15122,주례1동주민센터,138-1,12분,2020/06/04 17:00:15
15118,럭키아파트(주례역),138-1,2분,2020/06/04 17:00:16
15115,좋은삼선병원,138-1,3분,2020/06/04 17:00:19
15113,경남정보대(냉정역),138-1,5분,2020/06/04 17:00:20
05112,냉정고개,138-1,6분,2020/06/04 17:00:22
05146,개금역.개금초등학교,138-1,7분,2020/06/04 17:00:24
05147,개금3동주민센터,138-1,8분,2020/06/04 17:00:25
05148,한국신발관,138-1,7분,2020/06/04 17:00:27
05149,개포초등학교,138-1,8분,2020/06/04 17:00:29
05150,개금주공아파트,138-1,8분,2020/06/04 17:00:30
05152,당평초등학교,138-1,10분,2020/06/04 17:00:32
05154,당감1치안센터,138-1,11분,2020/06/04 17:00:34
05158,진양교차로,138-1,12분,2020/06/04 17:00:35
05193,부암역.당감입구,138-1,1분,2020/06/04 17:00:37
05321,롯데호텔백화점(서면역),138-1,4분,2020/06/04 17:00:39
05277,서면부속상가,138-1,6분,2020/06/04 17:00:41
05253,NC서면점,138-1,7분,2020/06/04 17:00:43
05257,전포사거리,138-1,9분,2020/06/04 17:00:44
05259,경남공고(전포역),138-1,10분,2020/06/04 17:00:46
07034,문전교차로,138-1,12분,2020/06/04 17:00:48
07168,국제금융센터(부산은행역),138-1,13분,2020/06/04 17:00:49
07035,성동초등학교후문,138-1,14분,2020/06/04 17:00:51
07067,국제금융센터(부산은행역),138-1,15분,2020/06/04 17:00:53
07043,문전교차로,138-1,15분,2020/06/04 17:00:54
05356,경남공고(전포역),138-1,2분,2020/06/04 17:00:56
05357,전포사거리,138-1,3분,2020/06/04 17:00:58
05358,NC서면점,138-1,6분,2020/06/04 17:01:00
05190,롯데호텔백화점(서면역),138-1,12분,2020/06/04 17:01:01
05192,부암역.당감입구,138-1,14분,2020/06/04 17:01:03
05340,진양교차로,138-1,16분,2020/06/04 17:01:05
05155,당감1치안센터,138-1,17분,2020/06/04 17:01:06
05153,당평초등학교,138-1,19분,2020/06/04 17:01:08
05292,당감3동우체국,138-1,20분,2020/06/04 17:01:10
05101,개금주공아파트,138-1,1분,2020/06/04 17:01:11
05102,개포초등학교,138-1,1분,2020/06/04 17:01:13
05103,한국신발관,138-1,3분,2020/06/04 17:01:15
05104,개금3동주민센터,138-1,4분,2020/06/04 17:01:17
05108,개금역.개금초등학교,138-1,5분,2020/06/04 17:01:18
05110,냉정고개,138-1,6분,2020/06/04 17:01:20
15111,경남정보대(냉정역),138-1,7분,2020/06/04 17:01:21
15117,럭키아파트(주례역),138-1,8분,2020/06/04 17:01:23
15121,주례1동주민센터,138-1,10분,2020/06/04 17:01:25
15283,온골마을입구,138-1,11분,2020/06/04 17:01:27
15098,북부산세무서(감전역),138-1,12분,2020/06/04 17:01:28
15081,삼대한의원,138-1,13분,2020/06/04 17:01:30
15254,사상우체국,138-1,14분,2020/06/04 17:01:32
15073,서부시외버스터미널(사상역),138-1,18분,2020/06/04 17:01:34
15069,르네시떼,138-1,,2020/06/04 17:01:35
15085,감전동수문앞,138-1,2분,2020/06/04 17:01:37
