0,1,2,3,4
BusStop_No,BusStop_Name,Bus_No,Predict_Arrive,Current_Time
01041,중앙동(중앙역),17,10분,2020/06/07 17:00:19
01032,영주동,17,11분,2020/06/07 17:00:21
03060,부산역,17,13분,2020/06/07 17:00:23
03095,YMCA,17,,2020/06/07 17:00:25
03120,부산진역,17,1분,2020/06/07 17:00:26
03138,좌천동가구거리(좌천역),17,3분,2020/06/07 17:00:28
03175,한성기린아파트,17,5분,2020/06/07 17:00:30
03015,범곡교차로,17,5분,2020/06/07 17:00:31
05227,범내골역,17,2분,2020/06/07 17:00:33
05712,서면한전,17,4분,2020/06/07 17:00:34
05710,서면역.서면지하상가,17,5분,2020/06/07 17:00:36
05189,롯데호텔백화점(서면역),17,2분,2020/06/07 17:00:38
05192,부암역.당감입구,17,4분,2020/06/07 17:00:40
05340,진양교차로,17,6분,2020/06/07 17:00:41
05155,당감1치안센터,17,7분,2020/06/07 17:00:43
05087,당감초등학교,17,9분,2020/06/07 17:00:45
05084,화승삼성아파트,17,11분,2020/06/07 17:00:46
05320,(구)당감4동주민센터,17,,2020/06/07 17:00:48
05008,청수탕,17,,2020/06/07 17:00:50
05074,용사촌입구,17,1분,2020/06/07 17:00:51
05302,동원초등학교,17,1분,2020/06/07 17:00:53
05290,선암사입구,17,3분,2020/06/07 17:00:54
05236,서면시장,17,6분,2020/06/07 17:00:56
05233,서면복개로,17,7분,2020/06/07 17:00:58
05228,범내골역,17,10분,2020/06/07 17:00:59
03002,범곡교차로,17,1분,2020/06/07 17:01:01
03136,좌천동가구거리(좌천역),17,3분,2020/06/07 17:01:02
03107,봉생병원,17,5분,2020/06/07 17:01:04
03111,부산진역,17,6분,2020/06/07 17:01:06
03099,고관입구,17,7분,2020/06/07 17:01:08
03082,초량역,17,,2020/06/07 17:01:09
03054,부산역,17,3분,2020/06/07 17:01:11
01031,영주동,17,4분,2020/06/07 17:01:13
01042,중앙동(중앙역),17,5분,2020/06/07 17:01:14
01056,부산데파트,17,6분,2020/06/07 17:01:16
01073,남포동,17,1분,2020/06/07 17:01:18
02091,자갈치역.충무동교차로,17,3분,2020/06/07 17:01:19
02102,남부민시장입구,17,5분,2020/06/07 17:01:21
02109,남부민초등학교,17,6분,2020/06/07 17:01:23
02114,천마우편취급국,17,7분,2020/06/07 17:01:24
02122,남부민2동주민센터,17,8분,2020/06/07 17:01:26
02123,부산관광고교,17,9분,2020/06/07 17:01:28
02124,신익아파트,17,,2020/06/07 17:01:29
01041,중앙동(중앙역),17,8분,2020/06/07 17:01:31
01032,영주동,17,9분,2020/06/07 17:01:32
03060,부산역,17,12분,2020/06/07 17:01:34
03095,YMCA,17,16분,2020/06/07 17:01:36
03120,부산진역,17,,2020/06/07 17:01:37
03138,좌천동가구거리(좌천역),17,2분,2020/06/07 17:01:39
03175,한성기린아파트,17,4분,2020/06/07 17:01:40
03015,범곡교차로,17,5분,2020/06/07 17:01:42
05227,범내골역,17,2분,2020/06/07 17:01:43
05712,서면한전,17,4분,2020/06/07 17:01:45
05710,서면역.서면지하상가,17,5분,2020/06/07 17:01:47
05189,롯데호텔백화점(서면역),17,1분,2020/06/07 17:01:48
05192,부암역.당감입구,17,3분,2020/06/07 17:01:50
