0,1,2,3,4
BusStop_No,BusStop_Name,Bus_No,Predict_Arrive,Current_Time
05295,초읍삼거리,81,도착정보 없음,2020/06/03 07:05:43
05353,어린이대공원,81,도착정보 없음,2020/06/03 07:05:44
05042,어린이대공원입구,81,도착정보 없음,2020/06/03 07:05:46
05044,삼광사입구,81,도착정보 없음,2020/06/03 07:05:48
05046,성곡시장입구,81,도착정보 없음,2020/06/03 07:05:49
05047,성곡시장,81,5분,2020/06/03 07:05:51
05051,LG사이언스홀,81,1분,2020/06/03 07:05:53
05163,부암교차로,81,2분,2020/06/03 07:05:54
05165,부산진구청,81,4분,2020/06/03 07:05:56
05188,부전시장입구,81,5분,2020/06/03 07:05:57
05711,서면역.서면지하상가,81,3분,2020/06/03 07:05:59
05713,서면한전,81,1분,2020/06/03 07:06:01
05229,범내골역,81,2분,2020/06/03 07:06:03
05217,중앙시장,81,3분,2020/06/03 07:06:04
03139,범일역,81,4분,2020/06/03 07:06:06
03134,부산진시장,81,1분,2020/06/03 07:06:07
03107,봉생병원,81,3분,2020/06/03 07:06:09
03108,부산진역,81,4분,2020/06/03 07:06:11
03100,고관입구,81,5분,2020/06/03 07:06:13
03081,초량역,81,,2020/06/03 07:06:14
03058,부산역,81,2분,2020/06/03 07:06:16
01031,영주동,81,4분,2020/06/03 07:06:18
01042,중앙동(중앙역),81,5분,2020/06/03 07:06:19
01041,중앙동(중앙역),81,6분,2020/06/03 07:06:21
01032,영주동,81,7분,2020/06/03 07:06:23
03060,부산역,81,2분,2020/06/03 07:06:25
03091,초량역,81,1분,2020/06/03 07:06:27
03095,YMCA,81,1분,2020/06/03 07:06:28
03121,부산진역,81,3분,2020/06/03 07:06:30
03131,부산진시장,81,2분,2020/06/03 07:06:32
03140,범일역.범일동부산은행,81,3분,2020/06/03 07:06:34
05218,중앙시장,81,4분,2020/06/03 07:06:35
05227,범내골역,81,,2020/06/03 07:06:37
05712,서면한전,81,2분,2020/06/03 07:06:38
05710,서면역.서면지하상가,81,3분,2020/06/03 07:06:40
05186,부전시장입구,81,도착정보 없음,2020/06/03 07:06:42
05166,부산진구청,81,7분,2020/06/03 07:06:44
05164,부암교차로,81,8분,2020/06/03 07:06:45
05050,부산시설공단,81,10분,2020/06/03 07:06:47
05048,성곡시장,81,,2020/06/03 07:06:48
05045,삼광사입구,81,1분,2020/06/03 07:06:50
05043,어린이대공원입구,81,2분,2020/06/03 07:06:52
05354,어린이대공원,81,3분,2020/06/03 07:06:54
05295,초읍삼거리,81,도착정보 없음,2020/06/03 07:06:55
05353,어린이대공원,81,도착정보 없음,2020/06/03 07:06:57
05042,어린이대공원입구,81,,2020/06/03 07:06:58
05044,삼광사입구,81,1분,2020/06/03 07:07:00
05046,성곡시장입구,81,2분,2020/06/03 07:07:01
05047,성곡시장,81,3분,2020/06/03 07:07:03
05051,LG사이언스홀,81,5분,2020/06/03 07:07:04
05163,부암교차로,81,1분,2020/06/03 07:07:06
05165,부산진구청,81,2분,2020/06/03 07:07:07
05188,부전시장입구,81,4분,2020/06/03 07:07:09
05711,서면역.서면지하상가,81,3분,2020/06/03 07:07:11
05713,서면한전,81,1분,2020/06/03 07:07:12
05229,범내골역,81,,2020/06/03 07:07:14
05217,중앙시장,81,2분,2020/06/03 07:07:16
03139,범일역,81,3분,2020/06/03 07:07:17
03134,부산진시장,81,4분,2020/06/03 07:07:19
03107,봉생병원,81,2분,2020/06/03 07:07:20
03108,부산진역,81,3분,2020/06/03 07:07:22
03100,고관입구,81,4분,2020/06/03 07:07:24
03081,초량역,81,6분,2020/06/03 07:07:25
03058,부산역,81,,2020/06/03 07:07:27
01031,영주동,81,2분,2020/06/03 07:07:28
01042,중앙동(중앙역),81,3분,2020/06/03 07:07:30
01041,중앙동(중앙역),81,6분,2020/06/03 07:07:32
01032,영주동,81,7분,2020/06/03 07:07:34
03060,부산역,81,2분,2020/06/03 07:07:35
03091,초량역,81,,2020/06/03 07:07:37
03095,YMCA,81,,2020/06/03 07:07:39
03121,부산진역,81,1분,2020/06/03 07:07:40
03131,부산진시장,81,,2020/06/03 07:07:42
03140,범일역.범일동부산은행,81,1분,2020/06/03 07:07:43
05218,중앙시장,81,3분,2020/06/03 07:07:45
05227,범내골역,81,,2020/06/03 07:07:46
05712,서면한전,81,1분,2020/06/03 07:07:48
05710,서면역.서면지하상가,81,2분,2020/06/03 07:07:50
05186,부전시장입구,81,도착정보 없음,2020/06/03 07:07:51
05166,부산진구청,81,6분,2020/06/03 07:07:53
05164,부암교차로,81,7분,2020/06/03 07:07:54
05050,부산시설공단,81,10분,2020/06/03 07:07:56
05048,성곡시장,81,10분,2020/06/03 07:07:57
05045,삼광사입구,81,11분,2020/06/03 07:07:59
05043,어린이대공원입구,81,1분,2020/06/03 07:08:01
05354,어린이대공원,81,1분,2020/06/03 07:08:02
05295,초읍삼거리,81,도착정보 없음,2020/06/03 07:08:04
05353,어린이대공원,81,도착정보 없음,2020/06/03 07:08:05
05042,어린이대공원입구,81,도착정보 없음,2020/06/03 07:08:07
05044,삼광사입구,81,1분,2020/06/03 07:08:08
05046,성곡시장입구,81,2분,2020/06/03 07:08:10
05047,성곡시장,81,2분,2020/06/03 07:08:11
05051,LG사이언스홀,81,4분,2020/06/03 07:08:13
05163,부암교차로,81,5분,2020/06/03 07:08:14
05165,부산진구청,81,1분,2020/06/03 07:08:16
05188,부전시장입구,81,3분,2020/06/03 07:08:17
05711,서면역.서면지하상가,81,6분,2020/06/03 07:08:19
05713,서면한전,81,1분,2020/06/03 07:08:21
05229,범내골역,81,,2020/06/03 07:08:22
05217,중앙시장,81,1분,2020/06/03 07:08:24
03139,범일역,81,2분,2020/06/03 07:08:25
03134,부산진시장,81,1분,2020/06/03 07:08:27
03107,봉생병원,81,1분,2020/06/03 07:08:29
03108,부산진역,81,2분,2020/06/03 07:08:30
03100,고관입구,81,3분,2020/06/03 07:08:32
03081,초량역,81,5분,2020/06/03 07:08:34
03058,부산역,81,,2020/06/03 07:08:35
01031,영주동,81,1분,2020/06/03 07:08:37
01042,중앙동(중앙역),81,3분,2020/06/03 07:08:39
01041,중앙동(중앙역),81,4분,2020/06/03 07:08:40
01032,영주동,81,5분,2020/06/03 07:08:42
03060,부산역,81,,2020/06/03 07:08:44
03091,초량역,81,4분,2020/06/03 07:08:45
03095,YMCA,81,5분,2020/06/03 07:08:47
03121,부산진역,81,,2020/06/03 07:08:48
03131,부산진시장,81,,2020/06/03 07:08:50
03140,범일역.범일동부산은행,81,1분,2020/06/03 07:08:51
05218,중앙시장,81,2분,2020/06/03 07:08:53
05227,범내골역,81,,2020/06/03 07:08:55
05712,서면한전,81,1분,2020/06/03 07:08:56
05710,서면역.서면지하상가,81,2분,2020/06/03 07:08:58
05186,부전시장입구,81,도착정보 없음,2020/06/03 07:08:59
05166,부산진구청,81,5분,2020/06/03 07:09:01
05164,부암교차로,81,6분,2020/06/03 07:09:02
05050,부산시설공단,81,8분,2020/06/03 07:09:04
05048,성곡시장,81,9분,2020/06/03 07:09:06
05045,삼광사입구,81,10분,2020/06/03 07:09:07
05043,어린이대공원입구,81,11분,2020/06/03 07:09:08
05354,어린이대공원,81,,2020/06/03 07:09:10
05295,초읍삼거리,81,도착정보 없음,2020/06/03 07:09:11
05353,어린이대공원,81,도착정보 없음,2020/06/03 07:09:13
05042,어린이대공원입구,81,도착정보 없음,2020/06/03 07:09:15
05044,삼광사입구,81,도착정보 없음,2020/06/03 07:09:16
05046,성곡시장입구,81,,2020/06/03 07:09:18
05047,성곡시장,81,1분,2020/06/03 07:09:19
05051,LG사이언스홀,81,3분,2020/06/03 07:09:21
05163,부암교차로,81,4분,2020/06/03 07:09:22
05165,부산진구청,81,1분,2020/06/03 07:09:24
05188,부전시장입구,81,2분,2020/06/03 07:09:26
05711,서면역.서면지하상가,81,5분,2020/06/03 07:09:27
05713,서면한전,81,6분,2020/06/03 07:09:29
05229,범내골역,81,,2020/06/03 07:09:31
05217,중앙시장,81,,2020/06/03 07:09:32
03139,범일역,81,1분,2020/06/03 07:09:34
03134,부산진시장,81,2분,2020/06/03 07:09:36
03107,봉생병원,81,2분,2020/06/03 07:09:37
03108,부산진역,81,,2020/06/03 07:09:39
03100,고관입구,81,1분,2020/06/03 07:09:40
03081,초량역,81,4분,2020/06/03 07:09:42
03058,부산역,81,5분,2020/06/03 07:09:43
01031,영주동,81,,2020/06/03 07:09:45
01042,중앙동(중앙역),81,2분,2020/06/03 07:09:46
01041,중앙동(중앙역),81,3분,2020/06/03 07:09:48
01032,영주동,81,4분,2020/06/03 07:09:50
03060,부산역,81,6분,2020/06/03 07:09:51
03091,초량역,81,4분,2020/06/03 07:09:53
03095,YMCA,81,5분,2020/06/03 07:09:55
03121,부산진역,81,6분,2020/06/03 07:09:56
03131,부산진시장,81,2분,2020/06/03 07:09:58
03140,범일역.범일동부산은행,81,,2020/06/03 07:09:59
05218,중앙시장,81,1분,2020/06/03 07:10:01
05227,범내골역,81,3분,2020/06/03 07:10:02
05712,서면한전,81,4분,2020/06/03 07:10:04
05710,서면역.서면지하상가,81,,2020/06/03 07:10:06
05186,부전시장입구,81,도착정보 없음,2020/06/03 07:10:07
05166,부산진구청,81,11분,2020/06/03 07:10:09
05164,부암교차로,81,,2020/06/03 07:10:10
05050,부산시설공단,81,2분,2020/06/03 07:10:12
05048,성곡시장,81,3분,2020/06/03 07:10:13
05045,삼광사입구,81,4분,2020/06/03 07:10:15
05043,어린이대공원입구,81,5분,2020/06/03 07:10:16
05354,어린이대공원,81,6분,2020/06/03 07:10:18
05295,초읍삼거리,81,도착정보 없음,2020/06/03 07:10:19
05353,어린이대공원,81,도착정보 없음,2020/06/03 07:10:21
05042,어린이대공원입구,81,도착정보 없음,2020/06/03 07:10:22
05044,삼광사입구,81,도착정보 없음,2020/06/03 07:10:24
05046,성곡시장입구,81,도착정보 없음,2020/06/03 07:10:25
05047,성곡시장,81,,2020/06/03 07:10:27
05051,LG사이언스홀,81,1분,2020/06/03 07:10:28
05163,부암교차로,81,2분,2020/06/03 07:10:30
05165,부산진구청,81,4분,2020/06/03 07:10:31
05188,부전시장입구,81,1분,2020/06/03 07:10:33
05711,서면역.서면지하상가,81,4분,2020/06/03 07:10:34
05713,서면한전,81,5분,2020/06/03 07:10:36
05229,범내골역,81,,2020/06/03 07:10:38
05217,중앙시장,81,2분,2020/06/03 07:10:39
03139,범일역,81,3분,2020/06/03 07:10:41
03134,부산진시장,81,1분,2020/06/03 07:10:43
03107,봉생병원,81,1분,2020/06/03 07:10:44
03108,부산진역,81,2분,2020/06/03 07:10:46
03100,고관입구,81,,2020/06/03 07:10:47
03081,초량역,81,2분,2020/06/03 07:10:49
03058,부산역,81,4분,2020/06/03 07:10:50
01031,영주동,81,6분,2020/06/03 07:10:52
01042,중앙동(중앙역),81,,2020/06/03 07:10:54
01041,중앙동(중앙역),81,3분,2020/06/03 07:10:55
01032,영주동,81,3분,2020/06/03 07:10:57
03060,부산역,81,6분,2020/06/03 07:10:59
03091,초량역,81,,2020/06/03 07:11:01
03095,YMCA,81,1분,2020/06/03 07:11:02
03121,부산진역,81,2분,2020/06/03 07:11:04
03131,부산진시장,81,,2020/06/03 07:11:06
03140,범일역.범일동부산은행,81,1분,2020/06/03 07:11:07
05218,중앙시장,81,1분,2020/06/03 07:11:09
05227,범내골역,81,2분,2020/06/03 07:11:10
05712,서면한전,81,4분,2020/06/03 07:11:12
05710,서면역.서면지하상가,81,5분,2020/06/03 07:11:14
05186,부전시장입구,81,도착정보 없음,2020/06/03 07:11:15
05166,부산진구청,81,10분,2020/06/03 07:11:17
05164,부암교차로,81,11분,2020/06/03 07:11:19
05050,부산시설공단,81,1분,2020/06/03 07:11:20
05048,성곡시장,81,1분,2020/06/03 07:11:22
05045,삼광사입구,81,2분,2020/06/03 07:11:23
05043,어린이대공원입구,81,3분,2020/06/03 07:11:25
05354,어린이대공원,81,4분,2020/06/03 07:11:26
05295,초읍삼거리,81,도착정보 없음,2020/06/03 07:11:28
05353,어린이대공원,81,1분,2020/06/03 07:11:29
05042,어린이대공원입구,81,2분,2020/06/03 07:11:31
05044,삼광사입구,81,3분,2020/06/03 07:11:32
05046,성곡시장입구,81,4분,2020/06/03 07:11:34
05047,성곡시장,81,4분,2020/06/03 07:11:36
05051,LG사이언스홀,81,1분,2020/06/03 07:11:37
05163,부암교차로,81,2분,2020/06/03 07:11:39
05165,부산진구청,81,4분,2020/06/03 07:11:40
05188,부전시장입구,81,1분,2020/06/03 07:11:42
05711,서면역.서면지하상가,81,3분,2020/06/03 07:11:43
05713,서면한전,81,4분,2020/06/03 07:11:45
05229,범내골역,81,6분,2020/06/03 07:11:47
05217,중앙시장,81,,2020/06/03 07:11:48
03139,범일역,81,2분,2020/06/03 07:11:50
03134,부산진시장,81,3분,2020/06/03 07:11:52
03107,봉생병원,81,,2020/06/03 07:11:53
03108,부산진역,81,1분,2020/06/03 07:11:55
03100,고관입구,81,,2020/06/03 07:11:56
03081,초량역,81,2분,2020/06/03 07:11:58
03058,부산역,81,4분,2020/06/03 07:12:00
01031,영주동,81,5분,2020/06/03 07:12:01
01042,중앙동(중앙역),81,,2020/06/03 07:12:03
01041,중앙동(중앙역),81,1분,2020/06/03 07:12:05
01032,영주동,81,1분,2020/06/03 07:12:06
03060,부산역,81,4분,2020/06/03 07:12:08
03091,초량역,81,,2020/06/03 07:12:10
03095,YMCA,81,1분,2020/06/03 07:12:11
03121,부산진역,81,2분,2020/06/03 07:12:13
03131,부산진시장,81,5분,2020/06/03 07:12:15
03140,범일역.범일동부산은행,81,,2020/06/03 07:12:16
05218,중앙시장,81,1분,2020/06/03 07:12:18
05227,범내골역,81,,2020/06/03 07:12:19
05712,서면한전,81,2분,2020/06/03 07:12:21
05710,서면역.서면지하상가,81,3분,2020/06/03 07:12:23
05186,부전시장입구,81,도착정보 없음,2020/06/03 07:12:24
05166,부산진구청,81,9분,2020/06/03 07:12:26
05164,부암교차로,81,10분,2020/06/03 07:12:27
05050,부산시설공단,81,12분,2020/06/03 07:12:29
05048,성곡시장,81,12분,2020/06/03 07:12:30
05045,삼광사입구,81,,2020/06/03 07:12:32
05043,어린이대공원입구,81,1분,2020/06/03 07:12:33
05354,어린이대공원,81,2분,2020/06/03 07:12:35
05295,초읍삼거리,81,도착정보 없음,2020/06/03 07:12:36
05353,어린이대공원,81,도착정보 없음,2020/06/03 07:12:38
