BusStop_No,Bus_No,Predict_Arrive,Current_Time
9727,40,1분,2020-06-03 17:02:10
9723,40,1분,2020-06-03 17:02:12
9721,40,2분,2020-06-03 17:02:14
9719,40,4분,2020-06-03 17:02:16
9717,40,5분,2020-06-03 17:02:17
9259,40,6분,2020-06-03 17:02:19
9138,40,7분,2020-06-03 17:02:21
14030,40,11분,2020-06-03 17:02:23
14056,40,3분,2020-06-03 17:02:26
14059,40,5분,2020-06-03 17:02:28
14071,40,6분,2020-06-03 17:02:30
14074,40,7분,2020-06-03 17:02:31
14087,40,3분,2020-06-03 17:02:35
7006,40,4분,2020-06-03 17:02:37
7013,40,6분,2020-06-03 17:02:39
7016,40,7분,2020-06-03 17:02:40
7063,40,8분,2020-06-03 17:02:42
7165,40,10분,2020-06-03 17:02:44
7058,40,10분,2020-06-03 17:02:45
7047,40,2분,2020-06-03 17:02:49
3143,40,4분,2020-06-03 17:02:51
3108,40,3분,2020-06-03 17:02:54
3097,40,5분,2020-06-03 17:02:56
3089,40,5분,2020-06-03 17:02:57
3058,40,7분,2020-06-03 17:02:59
1033,40,9분,2020-06-03 17:03:01
1042,40,10분,2020-06-03 17:03:02
1047,40,11분,2020-06-03 17:03:04
1097,40,13분,2020-06-03 17:03:06
1090,40,1분,2020-06-03 17:03:09
2061,40,2분,2020-06-03 17:03:11
2058,40,3분,2020-06-03 17:03:12
2053,40,4분,2020-06-03 17:03:14
2062,40,7분,2020-06-03 17:03:16
1091,40,8분,2020-06-03 17:03:18
1111,40,9분,2020-06-03 17:03:19
1093,40,10분,2020-06-03 17:03:21
1096,40,10분,2020-06-03 17:03:23
1041,40,2분,2020-06-03 17:03:24
1032,40,2분,2020-06-03 17:03:26
3063,40,5분,2020-06-03 17:03:28
3092,40,8분,2020-06-03 17:03:30
3096,40,9분,2020-06-03 17:03:31
3122,40,10분,2020-06-03 17:03:33
3132,40,13분,2020-06-03 17:03:35
3149,40,1분,2020-06-03 17:03:38
3144,40,2분,2020-06-03 17:03:40
7051,40,5분,2020-06-03 17:03:42
7052,40,6분,2020-06-03 17:03:44
7231,40,7분,2020-06-03 17:03:46
7164,40,8분,2020-06-03 17:03:48
7015,40,2분,2020-06-03 17:03:51
7014,40,3분,2020-06-03 17:03:53
7007,40,4분,2020-06-03 17:03:55
14083,40,7분,2020-06-03 17:03:57
14082,40,9분,2020-06-03 17:03:58
14072,40,10분,2020-06-03 17:04:00
14070,40,11분,2020-06-03 17:04:02
14061,40,1분,2020-06-03 17:04:04
14053,40,3분,2020-06-03 17:04:05
14094,40,5분,2020-06-03 17:04:07
14031,40,7분,2020-06-03 17:04:09
9137,40,9분,2020-06-03 17:04:10
9718,40,5분,2020-06-03 17:04:14
9720,40,7분,2020-06-03 17:04:16
9722,40,8분,2020-06-03 17:04:17
9724,40,9분,2020-06-03 17:04:19
9728,40,10분,2020-06-03 17:04:21
9101,40,12분,2020-06-03 17:04:22
9098,40,13분,2020-06-03 17:04:24
9095,40,13분,2020-06-03 17:04:26
9092,40,15분,2020-06-03 17:04:27
9253,40,17분,2020-06-03 17:04:29
9091,40,1분,2020-06-03 17:04:31
9078,40,2분,2020-06-03 17:04:32
9067,40,3분,2020-06-03 17:04:34
9069,40,5분,2020-06-03 17:04:36
9064,40,5분,2020-06-03 17:04:37
9055,40,6분,2020-06-03 17:04:39
9052,40,7분,2020-06-03 17:04:41
9043,40,1분,2020-06-03 17:04:46
9258,40,3분,2020-06-03 17:04:47
9011,40,6분,2020-06-03 17:04:49
9049,40,7분,2020-06-03 17:04:51
9727,40,6분,2020-06-03 17:04:54
9723,40,7분,2020-06-03 17:04:56
9721,40,1분,2020-06-03 17:04:57
9719,40,2분,2020-06-03 17:04:59
9717,40,3분,2020-06-03 17:05:00
9259,40,5분,2020-06-03 17:05:02
9138,40,5분,2020-06-03 17:05:04
14030,40,9분,2020-06-03 17:05:05
14046,40,11분,2020-06-03 17:05:07
14056,40,1분,2020-06-03 17:05:08
14059,40,2분,2020-06-03 17:05:10
14071,40,4분,2020-06-03 17:05:11
14074,40,5분,2020-06-03 17:05:13
14080,40,6분,2020-06-03 17:05:15
7006,40,2분,2020-06-03 17:05:18
7013,40,3분,2020-06-03 17:05:19
7016,40,4분,2020-06-03 17:05:21
7063,40,6분,2020-06-03 17:05:23
7165,40,7분,2020-06-03 17:05:24
7058,40,8분,2020-06-03 17:05:26
7053,40,9분,2020-06-03 17:05:27
7047,40,11분,2020-06-03 17:05:29
3143,40,1분,2020-06-03 17:05:31
3134,40,2분,2020-06-03 17:05:32
3097,40,1분,2020-06-03 17:05:36
3089,40,2분,2020-06-03 17:05:37
3058,40,3분,2020-06-03 17:05:39
1033,40,6분,2020-06-03 17:05:40
1042,40,7분,2020-06-03 17:05:42
1047,40,8분,2020-06-03 17:05:44
1097,40,9분,2020-06-03 17:05:45
1112,40,10분,2020-06-03 17:05:47
1090,40,12분,2020-06-03 17:05:48
2061,40,13분,2020-06-03 17:05:50
2053,40,1분,2020-06-03 17:05:53
2062,40,6분,2020-06-03 17:05:54
1091,40,8분,2020-06-03 17:05:56
1111,40,9분,2020-06-03 17:05:57
1093,40,9분,2020-06-03 17:05:59
1096,40,10분,2020-06-03 17:06:00
1041,40,13분,2020-06-03 17:06:02
1032,40,14분,2020-06-03 17:06:04
3063,40,2분,2020-06-03 17:06:05
3092,40,5분,2020-06-03 17:06:07
3096,40,6분,2020-06-03 17:06:08
3122,40,7분,2020-06-03 17:06:10
3132,40,10분,2020-06-03 17:06:12
3148,40,12분,2020-06-03 17:06:13
3149,40,13분,2020-06-03 17:06:15
3144,40,14분,2020-06-03 17:06:16
7051,40,3분,2020-06-03 17:06:18
7052,40,4분,2020-06-03 17:06:19
7231,40,5분,2020-06-03 17:06:21
7164,40,6분,2020-06-03 17:06:23
7061,40,7분,2020-06-03 17:06:24
7015,40,1분,2020-06-03 17:06:26
7014,40,2분,2020-06-03 17:06:27
7007,40,4분,2020-06-03 17:06:29
14083,40,6분,2020-06-03 17:06:30
14082,40,8분,2020-06-03 17:06:32
14072,40,10분,2020-06-03 17:06:34
14070,40,10분,2020-06-03 17:06:35
14061,40,11분,2020-06-03 17:06:37
14094,40,3분,2020-06-03 17:06:40
14031,40,4분,2020-06-03 17:06:42
9137,40,6분,2020-06-03 17:06:43
9136,40,8분,2020-06-03 17:06:45
9718,40,4분,2020-06-03 17:06:46
9720,40,6분,2020-06-03 17:06:48
9722,40,7분,2020-06-03 17:06:50
9724,40,8분,2020-06-03 17:06:51
9728,40,9분,2020-06-03 17:06:53
9101,40,11분,2020-06-03 17:06:55
9098,40,12분,2020-06-03 17:06:56
9095,40,13분,2020-06-03 17:06:57
9092,40,15분,2020-06-03 17:06:59
9253,40,16분,2020-06-03 17:07:01
9091,40,18분,2020-06-03 17:07:02
9067,40,2분,2020-06-03 17:07:05
9069,40,3분,2020-06-03 17:07:07
9064,40,4분,2020-06-03 17:07:08
9055,40,5분,2020-06-03 17:07:10
9052,40,5분,2020-06-03 17:07:11
9048,40,6분,2020-06-03 17:07:13
9045,40,7분,2020-06-03 17:07:14
9043,40,1분,2020-06-03 17:07:16
9258,40,2분,2020-06-03 17:07:18
9011,40,5분,2020-06-03 17:07:19
9049,40,6분,2020-06-03 17:07:21
9007,40,8분,2020-06-03 17:07:22
9727,40,4분,2020-06-03 17:07:24
9723,40,5분,2020-06-03 17:07:26
9721,40,6분,2020-06-03 17:07:27
9719,40,8분,2020-06-03 17:07:29
9717,40,1분,2020-06-03 17:07:30
9259,40,2분,2020-06-03 17:07:32
9138,40,3분,2020-06-03 17:07:34
14030,40,7분,2020-06-03 17:07:36
14046,40,8분,2020-06-03 17:07:37
14056,40,11분,2020-06-03 17:07:39
14071,40,2분,2020-06-03 17:07:42
14074,40,3분,2020-06-03 17:07:44
14080,40,4분,2020-06-03 17:07:45
14087,40,7분,2020-06-03 17:07:47
7006,40,8분,2020-06-03 17:07:49
7013,40,1분,2020-06-03 17:07:50
7016,40,2분,2020-06-03 17:07:52
7063,40,3분,2020-06-03 17:07:54
7165,40,5분,2020-06-03 17:07:55
7058,40,6분,2020-06-03 17:07:57
7053,40,7분,2020-06-03 17:07:59
7047,40,8분,2020-06-03 17:08:00
3143,40,10분,2020-06-03 17:08:02
3134,40,1분,2020-06-03 17:08:03
3108,40,4분,2020-06-03 17:08:05
3097,40,6분,2020-06-03 17:08:07
3089,40,6분,2020-06-03 17:08:08
3058,40,1분,2020-06-03 17:08:10
1033,40,3분,2020-06-03 17:08:11
1042,40,4분,2020-06-03 17:08:13
1047,40,6분,2020-06-03 17:08:15
1097,40,7분,2020-06-03 17:08:16
1112,40,8분,2020-06-03 17:08:18
1090,40,10분,2020-06-03 17:08:19
2061,40,11분,2020-06-03 17:08:21
2058,40,12분,2020-06-03 17:08:22
2053,40,13분,2020-06-03 17:08:24
2062,40,3분,2020-06-03 17:08:26
1091,40,5분,2020-06-03 17:08:27
1111,40,6분,2020-06-03 17:08:29
1093,40,6분,2020-06-03 17:08:30
1096,40,7분,2020-06-03 17:08:32
1041,40,10분,2020-06-03 17:08:33
1032,40,11분,2020-06-03 17:08:35
3063,40,13분,2020-06-03 17:08:37
3092,40,3분,2020-06-03 17:08:38
3096,40,4분,2020-06-03 17:08:40
3122,40,5분,2020-06-03 17:08:41
3132,40,8분,2020-06-03 17:08:43
3148,40,9분,2020-06-03 17:08:45
3149,40,10분,2020-06-03 17:08:46
3144,40,11분,2020-06-03 17:08:48
7052,40,1분,2020-06-03 17:08:51
7231,40,2분,2020-06-03 17:08:53
7164,40,3분,2020-06-03 17:08:54
7061,40,5분,2020-06-03 17:08:56
7015,40,6분,2020-06-03 17:08:58
7014,40,1분,2020-06-03 17:08:59
7007,40,2분,2020-06-03 17:09:01
14083,40,4분,2020-06-03 17:09:02
14082,40,6분,2020-06-03 17:09:04
14072,40,8분,2020-06-03 17:09:06
14070,40,9분,2020-06-03 17:09:07
