0,1,2,3,4,5,6
BusStop_No,Bus_No,Predict_Arrive,Date,hour,min,sec
15072,138-1,3분,2020-06-03,17,00,48
15255,138-1,5분,2020-06-03,17,00,50
15082,138-1,5분,2020-06-03,17,00,52
15097,138-1,7분,2020-06-03,17,00,54
15284,138-1,8분,2020-06-03,17,00,56
15122,138-1,8분,2020-06-03,17,00,57
15118,138-1,11분,2020-06-03,17,00,59
15115,138-1,12분,2020-06-03,17,01,01
15113,138-1,13분,2020-06-03,17,01,03
5146,138-1,2분,2020-06-03,17,01,06
5147,138-1,2분,2020-06-03,17,01,08
5148,138-1,3분,2020-06-03,17,01,09
5149,138-1,4분,2020-06-03,17,01,11
5150,138-1,4분,2020-06-03,17,01,13
5152,138-1,6분,2020-06-03,17,01,15
5154,138-1,7분,2020-06-03,17,01,16
5158,138-1,9분,2020-06-03,17,01,18
5193,138-1,11분,2020-06-03,17,01,20
5321,138-1,1분,2020-06-03,17,01,22
5277,138-1,3분,2020-06-03,17,01,23
5253,138-1,4분,2020-06-03,17,01,25
5257,138-1,5분,2020-06-03,17,01,27
5259,138-1,7분,2020-06-03,17,01,29
7168,138-1,1분,2020-06-03,17,01,32
7035,138-1,2분,2020-06-03,17,01,34
7067,138-1,15분,2020-06-03,17,01,35
7043,138-1,15분,2020-06-03,17,01,37
5356,138-1,2분,2020-06-03,17,01,38
5357,138-1,3분,2020-06-03,17,01,40
5358,138-1,6분,2020-06-03,17,01,42
5190,138-1,12분,2020-06-03,17,01,43
5192,138-1,14분,2020-06-03,17,01,45
5340,138-1,17분,2020-06-03,17,01,46
5155,138-1,17분,2020-06-03,17,01,48
5153,138-1,19분,2020-06-03,17,01,50
5292,138-1,20분,2020-06-03,17,01,51
5101,138-1,21분,2020-06-03,17,01,53
5102,138-1,22분,2020-06-03,17,01,55
5103,138-1,1분,2020-06-03,17,01,57
5104,138-1,2분,2020-06-03,17,01,59
5108,138-1,3분,2020-06-03,17,02,00
5110,138-1,5분,2020-06-03,17,02,02
15111,138-1,5분,2020-06-03,17,02,04
15117,138-1,7분,2020-06-03,17,02,05
15121,138-1,8분,2020-06-03,17,02,07
15283,138-1,9분,2020-06-03,17,02,09
15098,138-1,10분,2020-06-03,17,02,11
15081,138-1,11분,2020-06-03,17,02,12
15254,138-1,12분,2020-06-03,17,02,14
15073,138-1,16분,2020-06-03,17,02,16
15069,138-1,19분,2020-06-03,17,02,18
15085,138-1,2분,2020-06-03,17,02,19
15143,138-1,3분,2020-06-03,17,02,21
15072,138-1,3분,2020-06-03,17,02,23
15255,138-1,4분,2020-06-03,17,02,24
15082,138-1,5분,2020-06-03,17,02,26
15097,138-1,6분,2020-06-03,17,02,28
15284,138-1,7분,2020-06-03,17,02,29
15122,138-1,8분,2020-06-03,17,02,31
15118,138-1,10분,2020-06-03,17,02,32
15115,138-1,12분,2020-06-03,17,02,34
15113,138-1,13분,2020-06-03,17,02,36
5112,138-1,14분,2020-06-03,17,02,37
5146,138-1,1분,2020-06-03,17,02,39
5147,138-1,1분,2020-06-03,17,02,40
5148,138-1,2분,2020-06-03,17,02,42
5149,138-1,3분,2020-06-03,17,02,44
5150,138-1,4분,2020-06-03,17,02,45
5152,138-1,5분,2020-06-03,17,02,47
5154,138-1,6분,2020-06-03,17,02,48
5158,138-1,8분,2020-06-03,17,02,50
5193,138-1,10분,2020-06-03,17,02,51
5321,138-1,13분,2020-06-03,17,02,53
5277,138-1,1분,2020-06-03,17,02,55
5253,138-1,3분,2020-06-03,17,02,56
5257,138-1,4분,2020-06-03,17,02,58
5259,138-1,5분,2020-06-03,17,02,59
7034,138-1,7분,2020-06-03,17,03,01
7168,138-1,8분,2020-06-03,17,03,02
7035,138-1,1분,2020-06-03,17,03,04
7067,138-1,15분,2020-06-03,17,03,05
7043,138-1,15분,2020-06-03,17,03,07
5356,138-1,2분,2020-06-03,17,03,08
5357,138-1,3분,2020-06-03,17,03,10
5358,138-1,6분,2020-06-03,17,03,11
5190,138-1,12분,2020-06-03,17,03,13
5192,138-1,14분,2020-06-03,17,03,15
5340,138-1,17분,2020-06-03,17,03,16
5155,138-1,17분,2020-06-03,17,03,18
5153,138-1,19분,2020-06-03,17,03,19
5292,138-1,20분,2020-06-03,17,03,21
5101,138-1,21분,2020-06-03,17,03,22
5102,138-1,22분,2020-06-03,17,03,24
5103,138-1,24분,2020-06-03,17,03,26
5104,138-1,24분,2020-06-03,17,03,27
5110,138-1,1분,2020-06-03,17,03,30
15111,138-1,2분,2020-06-03,17,03,32
15117,138-1,4분,2020-06-03,17,03,34
15121,138-1,5분,2020-06-03,17,03,35
15283,138-1,6분,2020-06-03,17,03,37
15098,138-1,7분,2020-06-03,17,03,38
