0,1,2,3,4,5,6
BusStop_No,Bus_No,Predict_Arrive,Date,hour,min,sec
7079,68,6분,2020-06-03,17,00,23
7045,68,1분,2020-06-03,17,00,25
3145,68,3분,2020-06-03,17,00,27
3150,68,4분,2020-06-03,17,00,28
5227,68,2분,2020-06-03,17,00,32
5712,68,3분,2020-06-03,17,00,34
5710,68,4분,2020-06-03,17,00,35
5190,68,3분,2020-06-03,17,00,37
5194,68,5분,2020-06-03,17,00,39
5069,68,2분,2020-06-03,17,00,43
5109,68,4분,2020-06-03,17,00,44
5283,68,4분,2020-06-03,17,00,46
5345,68,6분,2020-06-03,17,00,48
15111,68,1분,2020-06-03,17,00,51
15116,68,2분,2020-06-03,17,00,53
15125,68,1분,2020-06-03,17,00,55
15151,68,2분,2020-06-03,17,00,56
15153,68,3분,2020-06-03,17,00,58
15166,68,1분,2020-06-03,17,01,02
15167,68,2분,2020-06-03,17,01,04
15173,68,3분,2020-06-03,17,01,05
15176,68,4분,2020-06-03,17,01,07
15188,68,2분,2020-06-03,17,01,11
15201,68,3분,2020-06-03,17,01,12
15198,68,4분,2020-06-03,17,01,14
10075,68,1분,2020-06-03,17,01,16
10084,68,1분,2020-06-03,17,01,20
10077,68,3분,2020-06-03,17,01,23
10078,68,3분,2020-06-03,17,01,25
10081,68,10분,2020-06-03,17,01,27
10087,68,11분,2020-06-03,17,01,29
10093,68,1분,2020-06-03,17,01,32
15199,68,4분,2020-06-03,17,01,34
15200,68,4분,2020-06-03,17,01,36
15189,68,5분,2020-06-03,17,01,38
15196,68,6분,2020-06-03,17,01,40
15175,68,2분,2020-06-03,17,01,43
15174,68,2분,2020-06-03,17,01,45
15168,68,4분,2020-06-03,17,01,47
15165,68,5분,2020-06-03,17,01,48
15154,68,2분,2020-06-03,17,01,52
15152,68,3분,2020-06-03,17,01,53
15124,68,1분,2020-06-03,17,01,55
15118,68,2분,2020-06-03,17,01,57
15113,68,1분,2020-06-03,17,02,00
5112,68,2분,2020-06-03,17,02,02
5343,68,3분,2020-06-03,17,02,03
5144,68,4분,2020-06-03,17,02,05
5060,68,6분,2020-06-03,17,02,07
5006,68,1분,2020-06-03,17,02,09
5269,68,2분,2020-06-03,17,02,10
5195,68,3분,2020-06-03,17,02,12
5319,68,6분,2020-06-03,17,02,14
5236,68,7분,2020-06-03,17,02,16
5234,68,8분,2020-06-03,17,02,17
5230,68,1분,2020-06-03,17,02,19
5215,68,3분,2020-06-03,17,02,21
3149,68,4분,2020-06-03,17,02,23
7079,68,5분,2020-06-03,17,02,24
7045,68,7분,2020-06-03,17,02,26
3145,68,2분,2020-06-03,17,02,27
3150,68,3분,2020-06-03,17,02,29
5221,68,4분,2020-06-03,17,02,30
5712,68,1분,2020-06-03,17,02,34
5710,68,2분,2020-06-03,17,02,35
5190,68,6분,2020-06-03,17,02,37
5194,68,2분,2020-06-03,17,02,39
5268,68,3분,2020-06-03,17,02,41
5109,68,2분,2020-06-03,17,02,44
5283,68,2분,2020-06-03,17,02,45
5345,68,4분,2020-06-03,17,02,47
5110,68,5분,2020-06-03,17,02,48
15111,68,5분,2020-06-03,17,02,50
15125,68,2분,2020-06-03,17,02,53
15153,68,1분,2020-06-03,17,02,57
15163,68,3분,2020-06-03,17,02,58
15166,68,5분,2020-06-03,17,03,00
15173,68,2분,2020-06-03,17,03,03
15176,68,3분,2020-06-03,17,03,05
15216,68,4분,2020-06-03,17,03,06
15188,68,1분,2020-06-03,17,03,08
15201,68,2분,2020-06-03,17,03,09
15198,68,3분,2020-06-03,17,03,11
10075,68,5분,2020-06-03,17,03,13
10084,68,1분,2020-06-03,17,03,16
10232,68,2분,2020-06-03,17,03,19
10077,68,3분,2020-06-03,17,03,21
10078,68,7분,2020-06-03,17,03,22
10081,68,3분,2020-06-03,17,03,24
10087,68,4분,2020-06-03,17,03,26
10092,68,5분,2020-06-03,17,03,28
10093,68,6분,2020-06-03,17,03,29
15199,68,2분,2020-06-03,17,03,31
15200,68,3분,2020-06-03,17,03,33
15189,68,4분,2020-06-03,17,03,34
15196,68,5분,2020-06-03,17,03,36
15186,68,6분,2020-06-03,17,03,37
15175,68,7분,2020-06-03,17,03,39
15174,68,1분,2020-06-03,17,03,41
15168,68,2분,2020-06-03,17,03,42
15165,68,3분,2020-06-03,17,03,44
15164,68,4분,2020-06-03,17,03,45
15154,68,1분,2020-06-03,17,03,47
15152,68,2분,2020-06-03,17,03,48
15124,68,4분,2020-06-03,17,03,50
15118,68,5분,2020-06-03,17,03,51
15115,68,1분,2020-06-03,17,03,53
15113,68,2분,2020-06-03,17,03,55
5343,68,1분,2020-06-03,17,03,58
5144,68,2분,2020-06-03,17,04,00
5060,68,3분,2020-06-03,17,04,01
5006,68,5분,2020-06-03,17,04,03
5195,68,2분,2020-06-03,17,04,06
5319,68,4분,2020-06-03,17,04,08
5236,68,5분,2020-06-03,17,04,09
