0,1,2,3,4,5,6
BusStop_No,Bus_No,Predict_Arrive,Date,hour,min,sec
1041,17,1분,2020-06-03,17,01,02
1032,17,2분,2020-06-03,17,01,04
3060,17,4분,2020-06-03,17,01,06
3095,17,8분,2020-06-03,17,01,08
3120,17,9분,2020-06-03,17,01,10
3138,17,2분,2020-06-03,17,01,12
3175,17,3분,2020-06-03,17,01,13
3015,17,4분,2020-06-03,17,01,15
5227,17,2분,2020-06-03,17,01,17
5712,17,3분,2020-06-03,17,01,18
5710,17,4분,2020-06-03,17,01,20
5189,17,8분,2020-06-03,17,01,22
5192,17,10분,2020-06-03,17,01,24
5340,17,13분,2020-06-03,17,01,25
5155,17,13분,2020-06-03,17,01,27
5087,17,2분,2020-06-03,17,01,29
5084,17,4분,2020-06-03,17,01,31
5320,17,5분,2020-06-03,17,01,32
5008,17,6분,2020-06-03,17,01,34
5074,17,6분,2020-06-03,17,01,36
5302,17,7분,2020-06-03,17,01,37
5290,17,8분,2020-06-03,17,01,39
5236,17,2분,2020-06-03,17,01,41
5233,17,3분,2020-06-03,17,01,42
5228,17,5분,2020-06-03,17,01,44
3002,17,2분,2020-06-03,17,01,46
3136,17,3분,2020-06-03,17,01,47
3107,17,5분,2020-06-03,17,01,49
3111,17,6분,2020-06-03,17,01,51
3099,17,7분,2020-06-03,17,01,53
3054,17,3분,2020-06-03,17,01,56
1031,17,3분,2020-06-03,17,01,58
1056,17,1분,2020-06-03,17,02,01
1073,17,3분,2020-06-03,17,02,03
2091,17,5분,2020-06-03,17,02,04
2102,17,7분,2020-06-03,17,02,06
2109,17,8분,2020-06-03,17,02,08
2114,17,9분,2020-06-03,17,02,10
2122,17,1분,2020-06-03,17,02,11
2123,17,1분,2020-06-03,17,02,13
2124,17,2분,2020-06-03,17,02,15
1041,17,1분,2020-06-03,17,02,16
1032,17,1분,2020-06-03,17,02,18
3060,17,3분,2020-06-03,17,02,20
3095,17,7분,2020-06-03,17,02,22
3120,17,8분,2020-06-03,17,02,23
3138,17,1분,2020-06-03,17,02,25
3175,17,2분,2020-06-03,17,02,27
3015,17,3분,2020-06-03,17,02,28
5227,17,2분,2020-06-03,17,02,30
5712,17,3분,2020-06-03,17,02,31
5710,17,4분,2020-06-03,17,02,33
5189,17,8분,2020-06-03,17,02,35
5192,17,10분,2020-06-03,17,02,36
5340,17,13분,2020-06-03,17,02,38
5155,17,13분,2020-06-03,17,02,39
5084,17,3분,2020-06-03,17,02,42
5320,17,4분,2020-06-03,17,02,44
5008,17,5분,2020-06-03,17,02,45
5074,17,5분,2020-06-03,17,02,47
5302,17,6분,2020-06-03,17,02,49
5290,17,7분,2020-06-03,17,02,50
5233,17,2분,2020-06-03,17,02,53
5228,17,4분,2020-06-03,17,02,55
3002,17,2분,2020-06-03,17,02,56
3136,17,3분,2020-06-03,17,02,58
3107,17,5분,2020-06-03,17,03,00
3111,17,6분,2020-06-03,17,03,01
3099,17,7분,2020-06-03,17,03,03
3082,17,10분,2020-06-03,17,03,05
3054,17,2분,2020-06-03,17,03,06
1031,17,3분,2020-06-03,17,03,08
1042,17,4분,2020-06-03,17,03,10
1056,17,1분,2020-06-03,17,03,11
1073,17,3분,2020-06-03,17,03,13
2091,17,4분,2020-06-03,17,03,14
2102,17,6분,2020-06-03,17,03,16
2109,17,8분,2020-06-03,17,03,17
2114,17,8분,2020-06-03,17,03,19
2122,17,10분,2020-06-03,17,03,20
2123,17,10분,2020-06-03,17,03,22
1041,17,5분,2020-06-03,17,03,25
3060,17,2분,2020-06-03,17,03,28
3095,17,6분,2020-06-03,17,03,30
3120,17,7분,2020-06-03,17,03,32
3138,17,9분,2020-06-03,17,03,33
3175,17,1분,2020-06-03,17,03,35
3015,17,2분,2020-06-03,17,03,37
5227,17,1분,2020-06-03,17,03,38
5712,17,2분,2020-06-03,17,03,40
5710,17,3분,2020-06-03,17,03,42
