0,1,2,3,4,5,6,7,8
BusStop_No,Bus_No,Predict_Arrive,Date,hour,min,sec,stop hour,stop min
15072,138-1,3분,2020-06-03,17,0,48,17,3
15255,138-1,5분,2020-06-03,17,0,50,17,5
15082,138-1,5분,2020-06-03,17,0,52,17,5
15097,138-1,7분,2020-06-03,17,0,54,17,7
15284,138-1,8분,2020-06-03,17,0,56,17,8
15122,138-1,8분,2020-06-03,17,0,57,17,8
15118,138-1,11분,2020-06-03,17,0,59,17,11
15115,138-1,12분,2020-06-03,17,1,1,17,13
15113,138-1,13분,2020-06-03,17,1,3,17,14
5146,138-1,2분,2020-06-03,17,1,6,17,3
5147,138-1,2분,2020-06-03,17,1,8,17,3
5148,138-1,3분,2020-06-03,17,1,9,17,4
5149,138-1,4분,2020-06-03,17,1,11,17,5
5150,138-1,4분,2020-06-03,17,1,13,17,5
5152,138-1,6분,2020-06-03,17,1,15,17,7
5154,138-1,7분,2020-06-03,17,1,16,17,8
5158,138-1,9분,2020-06-03,17,1,18,17,10
5193,138-1,11분,2020-06-03,17,1,20,17,12
5321,138-1,1분,2020-06-03,17,1,22,17,2
5277,138-1,3분,2020-06-03,17,1,23,17,4
5253,138-1,4분,2020-06-03,17,1,25,17,5
5257,138-1,5분,2020-06-03,17,1,27,17,6
5259,138-1,7분,2020-06-03,17,1,29,17,8
7168,138-1,1분,2020-06-03,17,1,32,17,2
7035,138-1,2분,2020-06-03,17,1,34,17,3
7067,138-1,15분,2020-06-03,17,1,35,17,16
7043,138-1,15분,2020-06-03,17,1,37,17,16
5356,138-1,2분,2020-06-03,17,1,38,17,3
5357,138-1,3분,2020-06-03,17,1,40,17,4
5358,138-1,6분,2020-06-03,17,1,42,17,7
5190,138-1,12분,2020-06-03,17,1,43,17,13
5192,138-1,14분,2020-06-03,17,1,45,17,15
5340,138-1,17분,2020-06-03,17,1,46,17,18
5155,138-1,17분,2020-06-03,17,1,48,17,18
5153,138-1,19분,2020-06-03,17,1,50,17,20
5292,138-1,20분,2020-06-03,17,1,51,17,21
5101,138-1,21분,2020-06-03,17,1,53,17,22
5102,138-1,22분,2020-06-03,17,1,55,17,23
5103,138-1,1분,2020-06-03,17,1,57,17,2
5104,138-1,2분,2020-06-03,17,1,59,17,3
5108,138-1,3분,2020-06-03,17,2,0,17,5
5110,138-1,5분,2020-06-03,17,2,2,17,7
15111,138-1,5분,2020-06-03,17,2,4,17,7
15117,138-1,7분,2020-06-03,17,2,5,17,9
15121,138-1,8분,2020-06-03,17,2,7,17,10
15283,138-1,9분,2020-06-03,17,2,9,17,11
15098,138-1,10분,2020-06-03,17,2,11,17,12
15081,138-1,11분,2020-06-03,17,2,12,17,13
15254,138-1,12분,2020-06-03,17,2,14,17,14
15073,138-1,16분,2020-06-03,17,2,16,17,18
15069,138-1,19분,2020-06-03,17,2,18,17,21
15085,138-1,2분,2020-06-03,17,2,19,17,4
15143,138-1,3분,2020-06-03,17,2,21,17,5
15072,138-1,3분,2020-06-03,17,2,23,17,5
15255,138-1,4분,2020-06-03,17,2,24,17,6
15082,138-1,5분,2020-06-03,17,2,26,17,7
15097,138-1,6분,2020-06-03,17,2,28,17,8
15284,138-1,7분,2020-06-03,17,2,29,17,9
15122,138-1,8분,2020-06-03,17,2,31,17,10
15118,138-1,10분,2020-06-03,17,2,32,17,12
15115,138-1,12분,2020-06-03,17,2,34,17,14
15113,138-1,13분,2020-06-03,17,2,36,17,15
5112,138-1,14분,2020-06-03,17,2,37,17,16
5146,138-1,1분,2020-06-03,17,2,39,17,3
5147,138-1,1분,2020-06-03,17,2,40,17,3
5148,138-1,2분,2020-06-03,17,2,42,17,4
5149,138-1,3분,2020-06-03,17,2,44,17,5
5150,138-1,4분,2020-06-03,17,2,45,17,6
5152,138-1,5분,2020-06-03,17,2,47,17,7
5154,138-1,6분,2020-06-03,17,2,48,17,8
5158,138-1,8분,2020-06-03,17,2,50,17,10
5193,138-1,10분,2020-06-03,17,2,51,17,12
5321,138-1,13분,2020-06-03,17,2,53,17,15
5277,138-1,1분,2020-06-03,17,2,55,17,3
5253,138-1,3분,2020-06-03,17,2,56,17,5
5257,138-1,4분,2020-06-03,17,2,58,17,6
5259,138-1,5분,2020-06-03,17,2,59,17,7
7034,138-1,7분,2020-06-03,17,3,1,17,10
7168,138-1,8분,2020-06-03,17,3,2,17,11
7035,138-1,1분,2020-06-03,17,3,4,17,4
7067,138-1,15분,2020-06-03,17,3,5,17,18
7043,138-1,15분,2020-06-03,17,3,7,17,18
5356,138-1,2분,2020-06-03,17,3,8,17,5
5357,138-1,3분,2020-06-03,17,3,10,17,6
5358,138-1,6분,2020-06-03,17,3,11,17,9
5190,138-1,12분,2020-06-03,17,3,13,17,15
5192,138-1,14분,2020-06-03,17,3,15,17,17
5340,138-1,17분,2020-06-03,17,3,16,17,20
5155,138-1,17분,2020-06-03,17,3,18,17,20
5153,138-1,19분,2020-06-03,17,3,19,17,22
5292,138-1,20분,2020-06-03,17,3,21,17,23
5101,138-1,21분,2020-06-03,17,3,22,17,24
5102,138-1,22분,2020-06-03,17,3,24,17,25
5103,138-1,24분,2020-06-03,17,3,26,17,27
5104,138-1,24분,2020-06-03,17,3,27,17,27
5110,138-1,1분,2020-06-03,17,3,30,17,4
15111,138-1,2분,2020-06-03,17,3,32,17,5
15117,138-1,4분,2020-06-03,17,3,34,17,7
15121,138-1,5분,2020-06-03,17,3,35,17,8
15283,138-1,6분,2020-06-03,17,3,37,17,9
15098,138-1,7분,2020-06-03,17,3,38,17,10
15081,138-1,8분,2020-06-03,17,3,40,17,11
15254,138-1,9분,2020-06-03,17,3,41,17,12
15073,138-1,13분,2020-06-03,17,3,43,17,16
15069,138-1,16분,2020-06-03,17,3,45,17,19
15085,138-1,1분,2020-06-03,17,3,46,17,4
15143,138-1,3분,2020-06-03,17,3,48,17,6
15072,138-1,2분,2020-06-03,17,3,49,17,5
15255,138-1,3분,2020-06-03,17,3,51,17,6
15082,138-1,4분,2020-06-03,17,3,52,17,7
15097,138-1,6분,2020-06-03,17,3,54,17,9
15284,138-1,7분,2020-06-03,17,3,56,17,10
